Goal	Drop	Early	Total
10000	0	0	10000
Wall Time[s]	18.704181909561157
State	Action	Q-value
0	0	-13.505483
0	1	-13.497739
0	2	-13.514173
0	3	-13.509703
1	0	-12.750982
1	1	-12.743502
1	2	-12.762907
1	3	-12.761578
2	0	-11.909675
2	1	-11.902184
2	2	-11.902574
2	3	-11.926236
3	0	-11.016105
3	1	-11.009167
3	2	-11.018037
3	3	-11.022213
4	0	-10.107757
4	1	-10.093564
4	2	-10.100614
4	3	-10.102214
5	0	-9.171242
5	1	-9.156231
5	2	-9.174380
5	3	-9.184361
6	0	-8.205561
6	1	-8.199861
6	2	-8.199721
6	3	-8.279518
7	0	-7.237921
7	1	-7.236715
7	2	-7.238497
7	3	-7.306226
8	0	-6.318015
8	1	-6.245835
8	2	-6.255421
8	3	-6.593167
9	0	-5.367704
9	1	-5.259876
9	2	-5.260284
9	3	-5.506711
10	0	-4.352778
10	1	-4.266289
10	2	-4.285952
10	3	-4.632063
11	0	-3.387046
11	1	-3.390290
11	2	-3.230892
11	3	-3.622882
12	0	-14.251559
12	1	-14.175234
12	2	-15.490243
12	3	-14.634328
13	0	-13.292469
13	1	-13.120297
13	2	-15.199962
13	3	-14.539160
14	0	-12.427076
14	1	-12.067191
14	2	-13.693707
14	3	-13.391860
15	0	-11.496831
15	1	-11.001836
15	2	-12.202554
15	3	-12.519674
16	0	-10.496542
16	1	-9.862206
16	2	-12.109453
16	3	-11.372956
17	0	-9.714927
17	1	-8.803694
17	2	-9.857160
17	3	-10.326455
18	0	-8.590866
18	1	-7.705335
18	2	-9.607657
18	3	-9.327674
19	0	-7.658487
19	1	-6.594917
19	2	-8.460105
19	3	-8.113343
20	0	-6.775309
20	1	-5.486114
20	2	-6.870711
20	3	-7.204255
21	0	-5.647810
21	1	-4.424346
21	2	-5.783643
21	3	-6.124536
22	0	-4.879835
22	1	-3.279496
22	2	-3.453245
22	3	-5.130067
23	0	-3.980385
23	1	-3.043237
23	2	-2.087970
23	3	-4.135946
24	0	-15.212360
24	1	-16.350601
24	2	-17.842928
24	3	-15.664763
25	0	-13.937601
25	1	-14.204628
25	2	-67.275092
25	3	-13.980462
26	0	-12.557630
26	1	-12.530892
26	2	-60.619406
26	3	-12.585433
27	0	-11.275916
27	1	-11.277277
27	2	-50.065598
27	3	-11.665844
28	0	-10.630920
28	1	-10.694967
28	2	-57.877237
28	3	-10.643239
29	0	-9.204124
29	1	-9.196554
29	2	-45.920121
29	3	-9.212087
30	0	-8.339137
30	1	-8.324335
30	2	-39.981570
30	3	-8.678416
31	0	-7.039565
31	1	-7.035439
31	2	-45.677254
31	3	-7.088263
32	0	-6.228049
32	1	-6.036560
32	2	-37.169370
32	3	-6.502401
33	0	-4.883768
33	1	-4.322057
33	2	-38.620884
33	3	-4.952196
34	0	-2.578520
34	1	-2.108652
34	2	-39.842041
34	3	-2.908725
35	0	-3.022137
35	1	-2.003728
35	2	-1.000000
35	3	-3.431032
36	0	-16.268488
36	1	-113.363268
36	2	-17.957799
36	3	-18.747342
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-1777	589
-1306	613
-451	352
-1142	548
-206	206
-1359	765
-404	404
-1515	723
-848	551
-561	264
-552	354
-473	275
-1250	656
-1543	850
-759	363
-61	61
-373	274
-109	109
-547	349
-215	215
-514	316
-425	326
-421	322
-129	129
-162	162
-338	239
-188	188
-983	587
-644	446
-112	112
-124	124
-183	183
-153	153
-423	225
-642	444
-914	320
-387	288
-161	161
-481	283
-236	236
-261	162
-154	154
-491	293
-396	297
-446	248
-99	99
-439	241
-400	202
-627	330
-506	308
-95	95
-60	60
-673	277
-90	90
-140	140
-417	318
-292	193
-75	75
-556	358
-113	113
-354	255
-118	118
-305	206
-77	77
-1120	427
-340	241
-491	194
-175	175
-595	397
-568	271
-201	201
-184	184
-249	150
-143	143
-249	150
-93	93
-785	389
-195	195
-155	155
-80	80
-49	49
-281	182
-284	185
-90	90
-714	318
-203	104
-125	125
-94	94
-461	263
-199	199
-239	140
-242	143
-118	118
-694	298
-194	95
-301	202
-48	48
-151	151
-66	66
-272	173
-170	170
-79	79
-565	169
-92	92
-94	94
-65	65
-600	303
-102	102
-87	87
-163	163
-453	156
-290	92
-71	71
-157	157
-252	153
-49	49
-124	124
-84	84
-161	161
-76	76
-330	132
-203	104
-124	124
-186	87
-175	175
-104	104
-59	59
-121	121
-190	91
-343	244
-84	84
-272	173
-255	156
-201	102
-88	88
-174	174
-219	120
-329	230
-57	57
-32	32
-160	160
-191	92
-63	63
-273	174
-257	158
-131	131
-861	366
-105	105
-253	154
-121	121
-112	112
-194	95
-118	118
-62	62
-71	71
-189	90
-469	172
-197	98
-100	100
-1000	406
-90	90
-361	163
-193	193
-191	92
-86	86
-54	54
-192	93
-45	45
-47	47
-258	159
-180	81
-31	31
-100	100
-63	63
-25	25
-97	97
-292	94
-51	51
-203	104
-90	90
-130	130
-264	66
-71	71
-338	140
-127	127
-70	70
-73	73
-85	85
-69	69
-206	107
-342	144
-217	118
-63	63
-143	143
-647	251
-86	86
-82	82
-94	94
-92	92
-65	65
-94	94
-69	69
-57	57
-98	98
-76	76
-67	67
-92	92
-235	136
-241	142
-278	80
-74	74
-79	79
-57	57
-79	79
-101	101
-233	134
-70	70
-99	99
-72	72
-211	112
-68	68
-107	107
-47	47
-170	71
-86	86
-657	261
-233	134
-151	151
-53	53
-123	123
-98	98
-99	99
-65	65
-182	83
-130	130
-49	49
-135	135
-42	42
-72	72
-192	93
-210	111
-101	101
-178	79
-239	140
-86	86
-192	93
-122	122
-67	67
-64	64
-118	118
-679	184
-68	68
-59	59
-344	146
-58	58
-66	66
-131	131
-25	25
-80	80
-25	25
-55	55
-59	59
-50	50
-198	99
-31	31
-56	56
-267	69
-96	96
-78	78
-77	77
-31	31
-45	45
-74	74
-167	68
-63	63
-41	41
-48	48
-108	108
-54	54
-32	32
-45	45
-64	64
-229	130
-73	73
-46	46
-85	85
-69	69
-159	60
-161	62
-72	72
-76	76
-44	44
-46	46
-67	67
-71	71
-27	27
-48	48
-45	45
-57	57
-75	75
-163	64
-57	57
-51	51
-65	65
-178	79
-261	162
-199	100
-94	94
-68	68
-83	83
-53	53
-79	79
-238	139
-59	59
-60	60
-125	125
-63	63
-86	86
-161	62
-29	29
-591	294
-85	85
-248	50
-91	91
-195	96
-85	85
-53	53
-208	109
-49	49
-101	101
-97	97
-59	59
-92	92
-76	76
-82	82
-55	55
-326	128
-171	72
-97	97
-87	87
-29	29
-78	78
-152	53
-59	59
-78	78
-113	113
-299	101
-310	112
-292	94
-212	113
-101	101
-50	50
-201	102
-85	85
-67	67
-79	79
-35	35
-290	92
-176	77
-190	91
-70	70
-38	38
-77	77
-53	53
-96	96
-157	58
-65	65
-49	49
-78	78
-56	56
-78	78
-35	35
-209	110
-53	53
-246	147
-47	47
-43	43
-92	92
-50	50
-56	56
-223	124
-194	95
-173	74
-77	77
-43	43
-100	100
-177	78
-67	67
-206	107
-141	42
-53	53
-57	57
-170	71
-53	53
-60	60
-30	30
-43	43
-34	34
-51	51
-127	28
-310	112
-162	63
-73	73
-55	55
-96	96
-166	67
-155	56
-90	90
-167	68
-159	60
-61	61
-39	39
-199	100
-24	24
-136	136
-210	111
-56	56
-48	48
-39	39
-97	97
-96	96
-48	48
-63	63
-44	44
-46	46
-66	66
-323	125
-67	67
-40	40
-160	61
-57	57
-268	169
-19	19
-159	60
-67	67
-290	92
-39	39
-58	58
-86	86
-107	107
-34	34
-43	43
-219	120
-346	148
-52	52
-51	51
-79	79
-63	63
-145	46
-33	33
-86	86
-39	39
-124	124
-134	35
-33	33
-69	69
-175	76
-160	61
-61	61
-43	43
-36	36
-159	60
-85	85
-330	132
-144	45
-53	53
-47	47
-289	91
-43	43
-37	37
-57	57
-84	84
-46	46
-189	90
-55	55
-42	42
-207	108
-38	38
-153	54
-87	87
-46	46
-66	66
-28	28
-79	79
-23	23
-66	66
-62	62
-41	41
-43	43
-59	59
-68	68
-66	66
-53	53
-58	58
-436	139
-29	29
-74	74
-162	63
-31	31
-54	54
-166	67
-409	112
-40	40
-162	63
-184	85
-83	83
-41	41
-31	31
-31	31
-464	167
-211	112
-45	45
-60	60
-37	37
-65	65
-83	83
-29	29
-162	63
-50	50
-52	52
-44	44
-48	48
-54	54
-68	68
-41	41
-75	75
-305	107
-66	66
-193	94
-50	50
-57	57
-167	68
-52	52
-63	63
-47	47
-56	56
-66	66
-53	53
-53	53
-150	51
-37	37
-70	70
-36	36
-43	43
-56	56
-160	61
-54	54
-175	76
-41	41
-35	35
-51	51
-45	45
-188	89
-179	80
-201	102
-43	43
-50	50
-39	39
-43	43
-61	61
-48	48
-46	46
-60	60
-47	47
-198	99
-30	30
-66	66
-31	31
-60	60
-35	35
-55	55
-50	50
-45	45
-448	151
-39	39
-67	67
-41	41
-59	59
-37	37
-45	45
-56	56
-40	40
-64	64
-192	93
-58	58
-37	37
-525	129
-53	53
-32	32
-320	122
-193	94
-64	64
-35	35
-41	41
-57	57
-40	40
-45	45
-194	95
-44	44
-313	115
-49	49
-189	90
-156	57
-30	30
-45	45
-263	65
-80	80
-32	32
-82	82
-27	27
-46	46
-61	61
-72	72
-41	41
-63	63
-166	67
-43	43
-53	53
-29	29
-55	55
-56	56
-55	55
-58	58
-25	25
-37	37
-60	60
-42	42
-134	35
-65	65
-373	76
-38	38
-39	39
-63	63
-48	48
-29	29
-51	51
-33	33
-39	39
-155	56
-62	62
-137	38
-33	33
-51	51
-31	31
-48	48
-37	37
-47	47
-29	29
-27	27
-54	54
-27	27
-55	55
-42	42
-37	37
-34	34
-38	38
-29	29
-62	62
-29	29
-49	49
-23	23
-21	21
-35	35
-54	54
-149	50
-35	35
-161	62
-20	20
-53	53
-30	30
-35	35
-45	45
-53	53
-29	29
-32	32
-145	46
-48	48
-135	36
-64	64
-168	69
-25	25
-147	48
-27	27
-87	87
-137	38
-26	26
-29	29
-323	125
-42	42
-45	45
-336	39
-175	76
-31	31
-81	81
-43	43
-42	42
-27	27
-69	69
-38	38
-199	100
-64	64
-37	37
-58	58
-56	56
-41	41
-73	73
-27	27
-176	77
-408	111
-127	28
-58	58
-187	88
-34	34
-36	36
-60	60
-30	30
-54	54
-40	40
-40	40
-49	49
-291	93
-85	85
-29	29
-59	59
-37	37
-31	31
-31	31
-37	37
-45	45
-37	37
-33	33
-29	29
-153	54
-23	23
-50	50
-48	48
-43	43
-35	35
-129	30
-47	47
-48	48
-81	81
-29	29
-36	36
-42	42
-48	48
-75	75
-41	41
-62	62
-35	35
-29	29
-57	57
-41	41
-37	37
-54	54
-48	48
-29	29
-61	61
-51	51
-131	32
-217	118
-57	57
-27	27
-37	37
-73	73
-159	60
-39	39
-62	62
-58	58
-41	41
-23	23
-46	46
-33	33
-59	59
-33	33
-145	46
-41	41
-77	77
-37	37
-26	26
-69	69
-57	57
-242	44
-156	57
-31	31
-131	32
-21	21
-33	33
-186	87
-44	44
-171	72
-281	83
-35	35
-62	62
-35	35
-42	42
-35	35
-45	45
-39	39
-56	56
-57	57
-64	64
-39	39
-27	27
-44	44
-43	43
-72	72
-35	35
-65	65
-37	37
-38	38
-37	37
-57	57
-195	96
-41	41
-27	27
-43	43
-47	47
-53	53
-38	38
-35	35
-49	49
-25	25
-41	41
-259	61
-165	66
-44	44
-36	36
-177	78
-51	51
-44	44
-38	38
-35	35
-29	29
-49	49
-368	71
-44	44
-277	79
-41	41
-176	77
-25	25
-41	41
-180	81
-46	46
-156	57
-39	39
-67	67
-119	20
-38	38
-39	39
-42	42
-57	57
-42	42
-169	70
-25	25
-37	37
-146	47
-25	25
-51	51
-33	33
-52	52
-35	35
-49	49
-50	50
-43	43
-174	75
-40	40
-39	39
-39	39
-173	74
-27	27
-49	49
-27	27
-39	39
-38	38
-52	52
-40	40
-19	19
-47	47
-37	37
-53	53
-20	20
-34	34
-29	29
-41	41
-52	52
-31	31
-29	29
-135	36
-44	44
-27	27
-64	64
-33	33
-23	23
-41	41
-138	39
-45	45
-35	35
-41	41
-56	56
-30	30
-29	29
-27	27
-45	45
-42	42
-27	27
-31	31
-29	29
-180	81
-313	115
-125	26
-38	38
-153	54
-31	31
-59	59
-27	27
-33	33
-33	33
-45	45
-42	42
-23	23
-32	32
-37	37
-25	25
-42	42
-37	37
-35	35
-50	50
-30	30
-40	40
-35	35
-45	45
-35	35
-34	34
-21	21
-33	33
-37	37
-33	33
-24	24
-60	60
-259	61
-29	29
-241	43
-154	55
-28	28
-129	30
-193	94
-42	42
-39	39
-178	79
-35	35
-46	46
-40	40
-21	21
-29	29
-155	56
-37	37
-143	44
-50	50
-30	30
-42	42
-31	31
-42	42
-171	72
-43	43
-41	41
-70	70
-28	28
-39	39
-59	59
-31	31
-42	42
-62	62
-35	35
-35	35
-39	39
-123	24
-313	115
-21	21
-51	51
-27	27
-31	31
-29	29
-166	67
-35	35
-31	31
-25	25
-143	44
-45	45
-40	40
-39	39
-32	32
-40	40
-28	28
-43	43
-32	32
-32	32
-23	23
-137	38
-260	62
-125	26
-37	37
-28	28
-147	48
-23	23
-41	41
-25	25
-29	29
-24	24
-28	28
-23	23
-48	48
-44	44
-25	25
-125	26
-58	58
-35	35
-21	21
-45	45
-31	31
-52	52
-37	37
-27	27
-144	45
-36	36
-141	42
-154	55
-49	49
-29	29
-36	36
-27	27
-61	61
-40	40
-39	39
-41	41
-23	23
-54	54
-25	25
-37	37
-42	42
-127	28
-136	37
-37	37
-36	36
-28	28
-23	23
-172	73
-67	67
-151	52
-37	37
-29	29
-46	46
-28	28
-27	27
-38	38
-45	45
-33	33
-33	33
-34	34
-47	47
-27	27
-37	37
-370	73
-47	47
-136	37
-35	35
-46	46
-47	47
-22	22
-31	31
-39	39
-30	30
-185	86
-35	35
-61	61
-167	68
-27	27
-42	42
-37	37
-52	52
-33	33
-56	56
-33	33
-20	20
-41	41
-137	38
-27	27
-37	37
-47	47
-148	49
-30	30
-25	25
-19	19
-38	38
-53	53
-25	25
-23	23
-40	40
-58	58
-26	26
-35	35
-39	39
-47	47
-28	28
-38	38
-39	39
-39	39
-32	32
-19	19
-41	41
-56	56
-34	34
-123	24
-50	50
-27	27
-61	61
-127	28
-43	43
-33	33
-41	41
-40	40
-39	39
-28	28
-25	25
-40	40
-21	21
-41	41
-36	36
-29	29
-29	29
-29	29
-31	31
-25	25
-21	21
-38	38
-42	42
-249	51
-22	22
-33	33
-35	35
-40	40
-245	47
-40	40
-34	34
-21	21
-48	48
-27	27
-37	37
-40	40
-31	31
-27	27
-57	57
-29	29
-39	39
-23	23
-51	51
-35	35
-27	27
-46	46
-21	21
-37	37
-35	35
-27	27
-31	31
-37	37
-25	25
-39	39
-43	43
-35	35
-25	25
-37	37
-37	37
-37	37
-145	46
-172	73
-41	41
-37	37
-43	43
-42	42
-141	42
-23	23
-47	47
-27	27
-39	39
-29	29
-50	50
-29	29
-163	64
-133	34
-43	43
-27	27
-34	34
-52	52
-23	23
-231	33
-24	24
-29	29
-26	26
-25	25
-51	51
-33	33
-25	25
-45	45
-31	31
-127	28
-44	44
-17	17
-25	25
-21	21
-41	41
-139	40
-22	22
-39	39
-33	33
-138	39
-36	36
-35	35
-30	30
-39	39
-32	32
-31	31
-23	23
-38	38
-29	29
-30	30
-29	29
-25	25
-169	70
-39	39
-31	31
-29	29
-27	27
-29	29
-35	35
-43	43
-31	31
-26	26
-53	53
-37	37
-146	47
-37	37
-23	23
-50	50
-36	36
-27	27
-37	37
-19	19
-27	27
-31	31
-43	43
-33	33
-27	27
-31	31
-45	45
-238	40
-33	33
-131	32
-29	29
-27	27
-37	37
-141	42
-26	26
-21	21
-68	68
-27	27
-44	44
-29	29
-34	34
-35	35
-29	29
-29	29
-25	25
-32	32
-37	37
-31	31
-28	28
-125	26
-34	34
-24	24
-49	49
-27	27
-123	24
-32	32
-154	55
-28	28
-26	26
-29	29
-31	31
-43	43
-37	37
-29	29
-25	25
-23	23
-141	42
-37	37
-21	21
-25	25
-50	50
-29	29
-40	40
-24	24
-21	21
-23	23
-35	35
-38	38
-23	23
-151	52
-23	23
-29	29
-23	23
-40	40
-140	41
-28	28
-21	21
-143	44
-29	29
-19	19
-25	25
-31	31
-28	28
-35	35
-27	27
-21	21
-44	44
-29	29
-31	31
-32	32
-27	27
-30	30
-151	52
-22	22
-22	22
-23	23
-21	21
-147	48
-21	21
-25	25
-51	51
-29	29
-29	29
-25	25
-21	21
-21	21
-21	21
-42	42
-21	21
-28	28
-43	43
-19	19
-26	26
-121	22
-132	33
-35	35
-17	17
-35	35
-25	25
-30	30
-21	21
-21	21
-33	33
-147	48
-37	37
-33	33
-44	44
-26	26
-15	15
-32	32
-25	25
-39	39
-21	21
-23	23
-33	33
-27	27
-33	33
-24	24
-24	24
-34	34
-139	40
-25	25
-151	52
-17	17
-29	29
-19	19
-25	25
-15	15
-26	26
-39	39
-22	22
-29	29
-30	30
-35	35
-17	17
-23	23
-35	35
-30	30
-21	21
-18	18
-35	35
-25	25
-23	23
-32	32
-35	35
-30	30
-25	25
-19	19
-24	24
-32	32
-27	27
-21	21
-51	51
-126	27
-23	23
-27	27
-23	23
-23	23
-27	27
-25	25
-19	19
-25	25
-31	31
-29	29
-31	31
-21	21
-30	30
-37	37
-20	20
-39	39
-23	23
-31	31
-32	32
-38	38
-26	26
-21	21
-17	17
-28	28
-17	17
-150	51
-45	45
-25	25
-23	23
-33	33
-36	36
-26	26
-20	20
-41	41
-220	22
-17	17
-28	28
-22	22
-29	29
-139	40
-39	39
-29	29
-151	52
-19	19
-136	37
-19	19
-30	30
-25	25
-29	29
-31	31
-29	29
-29	29
-15	15
-33	33
-25	25
-47	47
-26	26
-24	24
-29	29
-42	42
-37	37
-33	33
-27	27
-139	40
-30	30
-19	19
-23	23
-32	32
-35	35
-25	25
-33	33
-26	26
-27	27
-24	24
-29	29
-36	36
-145	46
-43	43
-17	17
-23	23
-32	32
-25	25
-22	22
-34	34
-35	35
-25	25
-19	19
-37	37
-20	20
-30	30
-52	52
-136	37
-38	38
-30	30
-25	25
-29	29
-21	21
-20	20
-22	22
-27	27
-23	23
-27	27
-23	23
-25	25
-24	24
-33	33
-133	34
-24	24
-20	20
-34	34
-23	23
-24	24
-21	21
-23	23
-31	31
-25	25
-30	30
-35	35
-25	25
-28	28
-28	28
-27	27
-140	41
-22	22
-40	40
-19	19
-33	33
-39	39
-23	23
-21	21
-27	27
-29	29
-27	27
-27	27
-17	17
-21	21
-29	29
-22	22
-29	29
-33	33
-23	23
-31	31
-21	21
-23	23
-21	21
-24	24
-25	25
-31	31
-19	19
-28	28
-13	13
-121	22
-19	19
-29	29
-23	23
-29	29
-25	25
-24	24
-32	32
-134	35
-33	33
-23	23
-30	30
-21	21
-29	29
-27	27
-25	25
-22	22
-25	25
-21	21
-20	20
-36	36
-42	42
-28	28
-24	24
-25	25
-21	21
-25	25
-23	23
-133	34
-30	30
-20	20
-25	25
-16	16
-30	30
-31	31
-28	28
-20	20
-27	27
-34	34
-27	27
-27	27
-25	25
-27	27
-18	18
-19	19
-29	29
-27	27
-132	33
-29	29
-140	41
-22	22
-29	29
-18	18
-30	30
-19	19
-33	33
-19	19
-15	15
-27	27
-19	19
-39	39
-20	20
-30	30
-33	33
-23	23
-35	35
-22	22
-25	25
-29	29
-19	19
-32	32
-17	17
-21	21
-156	57
-25	25
-21	21
-21	21
-23	23
-23	23
-27	27
-20	20
-35	35
-19	19
-33	33
-23	23
-29	29
-19	19
-138	39
-33	33
-25	25
-15	15
-22	22
-23	23
-25	25
-27	27
-31	31
-18	18
-24	24
-23	23
-19	19
-23	23
-19	19
-33	33
-20	20
-21	21
-24	24
-25	25
-25	25
-23	23
-46	46
-21	21
-23	23
-25	25
-19	19
-22	22
-125	26
-26	26
-29	29
-25	25
-19	19
-25	25
-27	27
-26	26
-26	26
-27	27
-15	15
-27	27
-129	30
-26	26
-17	17
-23	23
-49	49
-23	23
-27	27
-21	21
-29	29
-21	21
-27	27
-21	21
-19	19
-23	23
-31	31
-24	24
-23	23
-25	25
-26	26
-21	21
-27	27
-25	25
-130	31
-23	23
-27	27
-27	27
-19	19
-25	25
-25	25
-19	19
-22	22
-35	35
-21	21
-27	27
-27	27
-23	23
-134	35
-30	30
-27	27
-22	22
-24	24
-129	30
-25	25
-17	17
-24	24
-19	19
-26	26
-30	30
-35	35
-29	29
-19	19
-19	19
-21	21
-23	23
-28	28
-26	26
-24	24
-28	28
-121	22
-20	20
-17	17
-25	25
-22	22
-24	24
-43	43
-25	25
-25	25
-26	26
-21	21
-25	25
-25	25
-33	33
-119	20
-17	17
-17	17
-33	33
-19	19
-155	56
-17	17
-17	17
-19	19
-15	15
-23	23
-25	25
-23	23
-28	28
-15	15
-32	32
-28	28
-27	27
-28	28
-23	23
-19	19
-16	16
-31	31
-23	23
-25	25
-29	29
-19	19
-21	21
-19	19
-23	23
-21	21
-23	23
-19	19
-27	27
-17	17
-24	24
-30	30
-23	23
-21	21
-26	26
-24	24
-25	25
-27	27
-30	30
-25	25
-19	19
-25	25
-25	25
-15	15
-22	22
-21	21
-15	15
-17	17
-25	25
-17	17
-19	19
-28	28
-19	19
-232	34
-127	28
-121	22
-20	20
-32	32
-21	21
-20	20
-27	27
-26	26
-21	21
-21	21
-23	23
-146	47
-141	42
-22	22
-19	19
-17	17
-149	50
-33	33
-27	27
-129	30
-20	20
-26	26
-26	26
-17	17
-33	33
-44	44
-24	24
-19	19
-28	28
-131	32
-119	20
-29	29
-32	32
-17	17
-21	21
-23	23
-29	29
-31	31
-27	27
-21	21
-21	21
-27	27
-26	26
-31	31
-138	39
-21	21
-25	25
-31	31
-25	25
-123	24
-136	37
-25	25
-17	17
-24	24
-25	25
-27	27
-30	30
-27	27
-23	23
-27	27
-131	32
-28	28
-21	21
-15	15
-126	27
-31	31
-21	21
-26	26
-19	19
-15	15
-33	33
-29	29
-17	17
-28	28
-27	27
-24	24
-125	26
-29	29
-19	19
-17	17
-21	21
-29	29
-33	33
-23	23
-21	21
-19	19
-25	25
-39	39
-23	23
-21	21
-19	19
-24	24
-21	21
-24	24
-23	23
-37	37
-36	36
-28	28
-25	25
-27	27
-18	18
-21	21
-25	25
-23	23
-17	17
-23	23
-15	15
-25	25
-21	21
-25	25
-23	23
-17	17
-37	37
-27	27
-21	21
-25	25
-17	17
-22	22
-28	28
-25	25
-19	19
-139	40
-21	21
-15	15
-32	32
-21	21
-23	23
-27	27
-25	25
-19	19
-30	30
-25	25
-126	27
-17	17
-33	33
-24	24
-23	23
-19	19
-17	17
-15	15
-15	15
-29	29
-26	26
-29	29
-23	23
-21	21
-19	19
-27	27
-23	23
-21	21
-27	27
-21	21
-31	31
-21	21
-22	22
-25	25
-26	26
-17	17
-23	23
-20	20
-17	17
-21	21
-21	21
-24	24
-31	31
-25	25
-21	21
-22	22
-19	19
-15	15
-23	23
-15	15
-22	22
-17	17
-24	24
-25	25
-132	33
-21	21
-21	21
-15	15
-28	28
-23	23
-34	34
-20	20
-24	24
-20	20
-21	21
-24	24
-15	15
-143	44
-20	20
-20	20
-27	27
-25	25
-31	31
-27	27
-23	23
-119	20
-21	21
-27	27
-15	15
-19	19
-27	27
-32	32
-27	27
-19	19
-444	48
-19	19
-21	21
-27	27
-28	28
-22	22
-19	19
-27	27
-19	19
-26	26
-19	19
-24	24
-22	22
-32	32
-15	15
-24	24
-17	17
-123	24
-22	22
-26	26
-15	15
-19	19
-23	23
-25	25
-20	20
-23	23
-26	26
-20	20
-23	23
-25	25
-31	31
-19	19
-21	21
-21	21
-19	19
-135	36
-27	27
-35	35
-23	23
-20	20
-23	23
-23	23
-19	19
-24	24
-31	31
-19	19
-21	21
-35	35
-130	31
-22	22
-19	19
-21	21
-22	22
-26	26
-22	22
-20	20
-24	24
-23	23
-27	27
-25	25
-20	20
-23	23
-22	22
-17	17
-19	19
-17	17
-23	23
-23	23
-21	21
-15	15
-19	19
-19	19
-21	21
-28	28
-25	25
-21	21
-19	19
-19	19
-27	27
-17	17
-19	19
-19	19
-15	15
-124	25
-17	17
-26	26
-17	17
-23	23
-17	17
-20	20
-23	23
-30	30
-21	21
-26	26
-21	21
-23	23
-22	22
-21	21
-19	19
-19	19
-17	17
-19	19
-31	31
-25	25
-17	17
-20	20
-19	19
-19	19
-123	24
-17	17
-126	27
-25	25
-118	19
-25	25
-22	22
-17	17
-25	25
-21	21
-24	24
