Goal	Drop	Early	Total
9855	0	145	10000
Wall Time[s]	170.14369440078735
State	Action	Q-value
0	0	-3047.000000
0	1	-169.000000
0	2	-3603.000000
0	3	-3213.000000
1	0	-3014.000000
1	1	-4096.000000
1	2	-1887.000000
1	3	-2753.000000
2	0	-3428.000000
2	1	-16.000000
2	2	-232.000000
2	3	-201.000000
3	0	-2479.000000
3	1	-283.000000
3	2	-201.000000
3	3	-2099.000000
4	0	-1793.000000
4	1	-2127.000000
4	2	-14.000000
4	3	-450.000000
5	0	-860.000000
5	1	-9.000000
5	2	-619.000000
5	3	-798.000000
6	0	-9.000000
6	1	-30.000000
6	2	-28.000000
6	3	-135.000000
7	0	-2105.000000
7	1	-7.000000
7	2	-76.000000
7	3	-6744.000000
8	0	-53.000000
8	1	-7.000000
8	2	-632.000000
8	3	-30.000000
9	0	-13.000000
9	1	-9.000000
9	2	-5.000000
9	3	-13.000000
10	0	-12.000000
10	1	-49.000000
10	2	-10.000000
10	3	-14.000000
11	0	-13.000000
11	1	-47.000000
11	2	-9.000000
11	3	-5.000000
12	0	-2332.000000
12	1	-793.000000
12	2	-6513.000000
12	3	-4376.000000
13	0	-2704.000000
13	1	-832.000000
13	2	-2703.000000
13	3	-3314.000000
14	0	-2222.000000
14	1	-1044.000000
14	2	-217.000000
14	3	-713.000000
15	0	-4265.000000
15	1	-2537.000000
15	2	-16.000000
15	3	-5956.000000
16	0	-2082.000000
16	1	-453.000000
16	2	-41.000000
16	3	-1731.000000
17	0	-10.000000
17	1	-969.000000
17	2	-1489.000000
17	3	-2037.000000
18	0	-3154.000000
18	1	-5006.000000
18	2	-2869.000000
18	3	-793.000000
19	0	-8.000000
19	1	-375.000000
19	2	-2219.000000
19	3	-128.000000
20	0	-1883.000000
20	1	-2040.000000
20	2	-7.000000
20	3	-4186.000000
21	0	-1593.000000
21	1	-4.000000
21	2	-108.000000
21	3	-28.000000
22	0	-14.000000
22	1	-3.000000
22	2	-120.000000
22	3	-11.000000
23	0	-10.000000
23	1	-9.000000
23	2	-2.000000
23	3	-9.000000
24	0	-837.000000
24	1	-338.000000
24	2	-987.000000
24	3	-76.000000
25	0	-4531.000000
25	1	-2003.000000
25	2	-635.000000
25	3	-3880.000000
26	0	-2125.000000
26	1	-24.000000
26	2	-4744.000000
26	3	-3027.000000
27	0	-2063.000000
27	1	-282.000000
