Goal	Drop	Early	Total
80000	0	0	80000
Wall Time[s]	93.11918449401855
State	Action	Q-value
0	0	-2.845557
0	1	-2.845515
0	2	-2.896563
0	3	-2.845562
1	0	-2.842825
1	1	-2.842682
1	2	-2.844627
1	3	-2.842926
2	0	-2.836754
2	1	-2.836785
2	2	-2.838435
2	3	-2.836975
3	0	-2.827616
3	1	-2.827411
3	2	-2.827984
3	3	-2.828121
4	0	-2.813595
4	1	-2.813254
4	2	-2.813475
4	3	-2.813529
5	0	-2.792946
5	1	-2.791981
5	2	-2.793799
5	3	-2.792419
6	0	-2.760726
6	1	-2.759700
6	2	-2.761021
6	3	-2.762024
7	0	-2.712554
7	1	-2.711175
7	2	-2.714887
7	3	-2.711312
8	0	-2.640130
8	1	-2.637165
8	2	-2.638812
8	3	-2.640774
9	0	-2.525496
9	1	-2.524375
9	2	-2.524382
9	3	-2.528690
10	0	-2.359321
10	1	-2.351456
10	2	-2.352577
10	3	-2.359905
11	0	-2.083499
11	1	-2.083499
11	2	-2.072041
11	3	-2.077656
12	0	-2.847037
12	1	-2.846984
12	2	-4.430633
12	3	-2.847084
13	0	-2.842007
13	1	-2.841704
13	2	-3.040732
13	3	-2.841794
14	0	-2.833589
14	1	-2.833484
14	2	-2.914358
14	3	-2.833616
15	0	-2.821553
15	1	-2.820921
15	2	-2.886447
15	3	-2.821532
16	0	-2.803087
16	1	-2.801784
16	2	-2.816173
16	3	-2.802137
17	0	-2.773406
17	1	-2.772576
17	2	-2.844422
17	3	-2.774246
18	0	-2.729596
18	1	-2.727766
18	2	-2.751752
18	3	-2.729358
19	0	-2.663231
19	1	-2.658859
19	2	-2.763590
19	3	-2.661497
20	0	-2.557381
20	1	-2.552529
20	2	-2.590165
20	3	-2.554523
21	0	-2.402806
21	1	-2.388692
21	2	-7.297465
21	3	-2.389644
22	0	-2.139565
22	1	-2.136497
22	2	-2.140139
22	3	-2.138128
23	0	-1.723521
23	1	-1.748464
23	2	-1.650000
23	3	-1.664223
24	0	-2.850397
24	1	-2.846519
24	2	-65.238462
