Goal	Drop	Early	Total
5000	0	0	5000
Wall Time[s]	9.472190141677856
State	Action	Q-value
0	0	-21.155303
0	1	-17.465990
0	2	-21.772186
0	3	-20.519706
1	0	-18.524398
1	1	-16.160235
1	2	-18.623643
1	3	-20.326475
2	0	-16.848193
2	1	-15.099529
2	2	-19.032235
2	3	-19.377143
3	0	-16.746004
3	1	-12.285198
3	2	-19.264098
3	3	-17.586288
4	0	-15.022927
4	1	-10.918741
4	2	-15.476723
4	3	-16.621433
5	0	-14.079349
5	1	-9.827842
5	2	-14.519316
5	3	-17.790984
6	0	-13.292240
6	1	-10.822367
6	2	-15.258390
6	3	-15.117649
7	0	-13.831643
7	1	-9.648399
7	2	-20.478745
7	3	-13.238424
8	0	-10.158716
8	1	-6.295622
8	2	-12.958487
8	3	-10.987345
9	0	-8.134088
9	1	-5.059386
9	2	-15.466451
9	3	-11.541288
10	0	-7.440695
10	1	-4.017117
10	2	-5.539132
10	3	-8.536201
11	0	-7.073438
11	1	-5.825784
11	2	-3.496749
11	3	-7.183767
12	0	-18.929704
12	1	-23.159410
12	2	-23.361313
12	3	-21.686939
13	0	-16.692070
13	1	-20.353859
13	2	-29.943576
13	3	-24.361735
14	0	-15.604619
14	1	-28.280603
14	2	-50.486799
14	3	-29.132864
15	0	-27.964079
15	1	-15.973535
15	2	-27.310163
15	3	-28.342100
16	0	-13.029080
16	1	-26.675679
16	2	-42.068314
16	3	-26.828340
17	0	-13.017043
17	1	-21.705712
17	2	-28.080208
17	3	-22.233492
18	0	-12.033223
18	1	-25.593575
18	2	-27.164144
18	3	-26.090917
19	0	-14.922559
19	1	-11.984513
19	2	-20.906097
19	3	-18.183993
20	0	-9.113411
20	1	-12.725463
20	2	-19.335896
20	3	-23.142804
21	0	-7.505299
21	1	-20.276735
21	2	-20.455518
21	3	-15.771970
22	0	-7.575386
22	1	-3.042631
22	2	-8.930167
22	3	-9.921119
23	0	-5.900296
23	1	-4.684018
23	2	-2.493957
23	3	-6.232035
24	0	-19.746838
24	1	-23.666913
24	2	-24.746393
24	3	-25.141537
25	0	-40.578706
25	1	-50.731036
25	2	-123.740824
25	3	-21.073931
26	0	-27.264117
26	1	-29.068763
26	2	-123.397513
26	3	-29.500690
27	0	-27.394447
27	1	-26.594035
27	2	-106.258964
27	3	-26.769979
28	0	-25.872677
28	1	-27.432416
28	2	-86.037365
28	3	-42.075032
29	0	-24.038332
29	1	-25.431891
29	2	-123.842730
29	3	-26.503385
30	0	-24.275150
30	1	-40.388550
30	2	-85.954726
30	3	-96.892340
31	0	-20.633542
31	1	-37.276772
31	2	-116.133222
31	3	-23.326056
32	0	-14.117345
32	1	-19.392276
32	2	-121.335994
32	3	-53.093846
33	0	-13.755161
33	1	-32.309286
33	2	-124.058229
33	3	-23.633531
34	0	-8.028363
34	1	-2.000010
34	2	-126.099972
34	3	-16.491739
35	0	-4.963244
35	1	-2.000280
35	2	-1.000000
35	3	-3.000281
36	0	-21.726028
36	1	-125.485389
36	2	-25.706226
36	3	-25.919432
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-1848	561
-359	161
-191	92
-80	80
-333	135
-287	89
-60	60
-169	70
-57	57
-54	54
-87	87
-91	91
-17	17
-41	41
-73	73
-25	25
-63	63
-43	43
-23	23
-54	54
-33	33
-46	46
-46	46
-159	159
-62	62
-43	43
-55	55
-45	45
-47	47
-46	46
-34	34
-27	27
-23	23
-27	27
-36	36
-22	22
-23	23
-42	42
-27	27
-25	25
-19	19
-25	25
-24	24
-22	22
-25	25
-23	23
-21	21
-19	19
-19	19
-24	24
-21	21
-19	19
-17	17
-21	21
-21	21
-17	17
-19	19
-23	23
-121	22
-25	25
-21	21
-17	17
-19	19
-162	63
-23	23
-21	21
-25	25
-33	33
-23	23
-19	19
-18	18
-17	17
-134	35
-21	21
-140	41
-25	25
-121	22
-24	24
-23	23
-19	19
-137	38
-21	21
-22	22
-17	17
-19	19
-17	17
-20	20
-30	30
-19	19
-27	27
-17	17
-124	25
-20	20
-23	23
-17	17
-133	34
-17	17
-17	17
-17	17
-17	17
-17	17
-21	21
-19	19
-17	17
-117	18
-117	18
-23	23
-17	17
-25	25
-21	21
-33	33
-45	45
-22	22
-24	24
-18	18
-29	29
-28	28
-17	17
-248	50
-18	18
-17	17
-23	23
-24	24
-18	18
-24	24
-23	23
-20	20
-23	23
-18	18
-17	17
-31	31
-22	22
-21	21
-19	19
-22	22
-18	18
-17	17
-24	24
-19	19
-20	20
-17	17
-23	23
-125	26
-29	29
-32	32
-21	21
-40	40
-131	131
-75	75
-20	20
-41	41
-76	76
-29	29
-34	34
-28	28
-46	46
-31	31
-36	36
-29	29
-148	49
-26	26
-33	33
-28	28
-30	30
-33	33
-19	19
-21	21
-20	20
-18	18
-18	18
-18	18
-18	18
-19	19
-18	18
-21	21
-21	21
-19	19
-17	17
-22	22
-17	17
-22	22
-21	21
-22	22
-24	24
-19	19
-25	25
-17	17
-124	25
-22	22
-19	19
-17	17
-26	26
-19	19
-17	17
-19	19
-118	19
-19	19
-118	19
-19	19
-17	17
-17	17
-18	18
-17	17
-17	17
-19	19
-20	20
-19	19
-21	21
-35	35
-30	30
-17	17
-19	19
-18	18
-17	17
-17	17
-17	17
-19	19
-21	21
-17	17
-20	20
-18	18
-19	19
-18	18
-17	17
-22	22
-19	19
-19	19
-18	18
-20	20
-20	20
-18	18
-23	23
-17	17
-23	23
-19	19
-25	25
-20	20
-20	20
-23	23
-24	24
-17	17
-17	17
-19	19
-21	21
-17	17
-17	17
-17	17
-18	18
-21	21
-18	18
-20	20
-17	17
-27	27
-22	22
-22	22
-17	17
-27	27
-17	17
-17	17
-25	25
-17	17
-18	18
-22	22
-21	21
-18	18
-19	19
-18	18
-17	17
-18	18
-18	18
-19	19
-18	18
-24	24
-19	19
-19	19
