Goal	Drop	Early	Total
5000	0	0	5000
Wall Time[s]	9.682907104492188
State	Action	Q-value
0	0	-21.902756
0	1	-20.583849
0	2	-24.458016
0	3	-22.937634
1	0	-21.084783
1	1	-18.697428
1	2	-21.710803
1	3	-20.705242
2	0	-19.289686
2	1	-15.106926
2	2	-22.227131
2	3	-21.497565
3	0	-19.318368
3	1	-13.107467
3	2	-18.984283
3	3	-19.867791
4	0	-17.044707
4	1	-11.558376
4	2	-21.032156
4	3	-18.894834
5	0	-13.451873
5	1	-10.296709
5	2	-16.939324
5	3	-17.966398
6	0	-14.363876
6	1	-9.059942
6	2	-12.651247
6	3	-15.667954
7	0	-13.369649
7	1	-7.673183
7	2	-17.556767
7	3	-15.121904
8	0	-11.650706
8	1	-6.402861
8	2	-10.112894
8	3	-12.443204
9	0	-7.334263
9	1	-5.410314
9	2	-15.664488
9	3	-11.674421
10	0	-7.414800
10	1	-4.898079
10	2	-4.433478
10	3	-10.252118
11	0	-6.266760
11	1	-5.425212
11	2	-3.085969
11	3	-10.226720
12	0	-19.829498
12	1	-50.849075
12	2	-24.638050
12	3	-25.579460
13	0	-18.608356
13	1	-26.668529
13	2	-45.161402
13	3	-25.438269
14	0	-22.419561
14	1	-24.897781
14	2	-27.899921
14	3	-20.088444
15	0	-16.084258
15	1	-26.966561
15	2	-29.299015
15	3	-23.911583
16	0	-15.403713
16	1	-21.895929
16	2	-25.644807
16	3	-23.355232
17	0	-19.559771
17	1	-15.839703
17	2	-24.163199
17	3	-21.595902
18	0	-10.377304
18	1	-17.084796
18	2	-18.382785
18	3	-18.498710
19	0	-16.233088
19	1	-7.636989
19	2	-17.709997
19	3	-19.504487
20	0	-12.876628
20	1	-5.650106
20	2	-10.926017
20	3	-12.377058
21	0	-9.444335
21	1	-5.045513
21	2	-28.960778
21	3	-9.679395
22	0	-5.651503
22	1	-3.258392
22	2	-5.844868
22	3	-7.283026
23	0	-6.604821
23	1	-3.975776
23	2	-2.061535
23	3	-7.970317
24	0	-20.094875
24	1	-26.335219
24	2	-28.580718
24	3	-23.008401
25	0	-37.652876
25	1	-31.409119
25	2	-125.748703
25	3	-24.824174
26	0	-22.066024
26	1	-36.119190
26	2	-108.854589
26	3	-74.294036
27	0	-23.336441
27	1	-42.863629
27	2	-128.891233
27	3	-33.532314
28	0	-20.739519
28	1	-55.807250
28	2	-122.317903
28	3	-55.441114
29	0	-20.638878
29	1	-30.569556
29	2	-118.341670
29	3	-26.840359
30	0	-13.939353
