Goal	Drop	Early	Total
9999	0	1	10000
Wall Time[s]	13.93161129951477
State	Action	Q-value
0	0	-2.840940
0	1	-2.840957
0	2	-2.841390
0	3	-2.840936
1	0	-2.838818
1	1	-2.838822
1	2	-2.843903
1	3	-2.838984
2	0	-2.832825
2	1	-2.832722
2	2	-2.833119
2	3	-2.832745
3	0	-2.823149
3	1	-2.822729
3	2	-2.825012
3	3	-2.822788
4	0	-2.807876
4	1	-2.807398
4	2	-2.809659
4	3	-2.807370
5	0	-2.784515
5	1	-2.784105
5	2	-2.786018
5	3	-2.785695
6	0	-2.750043
6	1	-2.749921
6	2	-2.749962
6	3	-2.750320
7	0	-2.699173
7	1	-2.698432
7	2	-2.700816
7	3	-2.700639
8	0	-2.624115
8	1	-2.622134
8	2	-2.623918
8	3	-2.623010
9	0	-2.507595
9	1	-2.507836
9	2	-2.541926
9	3	-2.510115
10	0	-2.341649
10	1	-2.336402
10	2	-2.336133
10	3	-2.347736
11	0	-2.069719
11	1	-2.069717
11	2	-2.068698
11	3	-2.080443
12	0	-2.841601
12	1	-2.841462
12	2	-2.860832
12	3	-2.841503
13	0	-2.837624
13	1	-2.837693
13	2	-3.031975
13	3	-2.837691
14	0	-2.831425
14	1	-2.831107
14	2	-2.838532
14	3	-2.831097
15	0	-2.818672
15	1	-2.818528
15	2	-2.886406
15	3	-2.818976
16	0	-2.799509
16	1	-2.798297
16	2	-2.873002
16	3	-2.798554
17	0	-2.767208
17	1	-2.767049
17	2	-2.819353
17	3	-2.769566
18	0	-2.725276
18	1	-2.719416
18	2	-2.751752
18	3	-2.719603
19	0	-2.649722
19	1	-2.647004
19	2	-2.689121
19	3	-2.648856
20	0	-2.544344
20	1	-2.536118
20	2	-2.589539
20	3	-2.537012
21	0	-2.373563
21	1	-2.365297
21	2	-3.473802
21	3	-2.378319
22	0	-2.118948
22	1	-2.101578
22	2	-2.128128
22	3	-2.118265
23	0	-1.663451
23	1	-1.695028
23	2	-1.650000
23	3	-1.707377
24	0	-2.844261
24	1	-2.843889
24	2	-19.335225
24	3	-2.844187
25	0	-2.838419
25	1	-2.836754
25	2	-59.859442
25	3	-2.839925
26	0	-2.830359
26	1	-2.825780
26	2	-57.875827
26	3	-2.835152
27	0	-2.812887
27	1	-2.808907
27	2	-81.538417
27	3	-2.812211
28	0	-2.789705
28	1	-2.782982
28	2	-53.696232
28	3	-2.802749
29	0	-2.752684
29	1	-2.743180
29	2	-57.282861
29	3	-2.749291
30	0	-2.717911
30	1	-2.682119
30	2	-66.708058
30	3	-2.706169
31	0	-2.622499
31	1	-2.588407
31	2	-65.529698
31	3	-2.645919
32	0	-2.489360
32	1	-2.444521
32	2	-50.690512
32	3	-2.495507
33	0	-2.317436
33	1	-2.223234
33	2	-55.735975
33	3	-2.336676
34	0	-2.057767
34	1	-1.882502
34	2	-71.375833
34	3	-2.058010
35	0	-1.495776
35	1	-1.357925
35	2	-1.000000
35	3	-13.589519
36	0	-2.848770
36	1	-68.866232
