Goal	Drop	Early	Corridos
1133	0	367	1499
Wall Time[s]	2138.1112928390503
State	Action	Q-value
0	0	-2.854242
0	1	-2.852680
0	2	-2.852680
0	3	-2.854242
1	0	-2.852680
1	1	-2.850277
1	2	-2.850277
1	3	-2.854242
2	0	-2.850277
2	1	-2.846579
2	2	-2.846579
2	3	-2.852680
3	0	-2.846579
3	1	-2.840891
3	2	-2.840891
3	3	-2.850277
4	0	-2.840891
4	1	-2.832141
4	2	-2.832141
4	3	-2.846579
5	0	-2.832141
5	1	-2.818678
5	2	-2.818678
5	3	-2.840891
6	0	-2.818678
6	1	-2.797966
6	2	-2.797966
6	3	-2.832141
7	0	-2.797966
7	1	-2.766101
7	2	-2.766101
7	3	-2.818678
8	0	-2.766101
8	1	-2.717079
8	2	-2.717079
8	3	-2.797966
9	0	-2.717079
9	1	-2.641660
9	2	-2.641660
9	3	-2.766101
10	0	-2.641660
10	1	-2.525631
10	2	-2.525631
10	3	-2.717079
11	0	-2.347125
11	1	-2.347125
11	2	-2.072500
11	3	-2.641660
12	0	-2.854242
12	1	-2.850277
12	2	-2.850277
12	3	-2.852680
13	0	-2.852680
13	1	-2.846579
13	2	-2.846579
13	3	-2.852680
14	0	-2.850277
14	1	-2.840891
14	2	-2.840891
14	3	-2.850277
15	0	-2.846579
15	1	-2.832141
15	2	-2.832141
15	3	-2.846579
16	0	-2.840891
16	1	-2.818678
16	2	-2.818678
16	3	-2.840891
17	0	-2.832141
17	1	-2.797966
17	2	-2.797966
17	3	-2.832141
18	0	-2.818678
18	1	-2.766101
18	2	-2.766101
18	3	-2.818678
19	0	-2.797966
19	1	-2.717079
19	2	-2.717079
19	3	-2.797966
20	0	-2.766101
20	1	-2.641660
20	2	-2.641660
20	3	-2.766101
21	0	-2.717079
21	1	-2.525631
21	2	-2.525631
21	3	-2.717079
22	0	-2.641660
22	1	-2.347125
22	2	-2.347125
22	3	-2.641660
23	0	-2.347125
23	1	-2.072500
23	2	-1.650000
23	3	-2.525631
24	0	-2.852680
24	1	-2.846579
24	2	-67.207143
24	3	-2.850277
25	0	-2.850277
25	1	-2.840891
25	2	-166.207143
25	3	-2.850277
26	0	-2.846579
26	1	-2.832141
26	2	-166.207143
26	3	-2.846579
27	0	-2.840891
27	1	-2.818678
27	2	-166.207143
27	3	-2.840891
28	0	-2.832141
28	1	-2.797966
28	2	-166.207143
28	3	-2.832141
29	0	-2.818678
29	1	-2.766101
29	2	-166.207143
29	3	-2.818678
30	0	-2.797966
30	1	-2.717079
30	2	-166.207143
30	3	-2.797966
31	0	-2.766101
31	1	-2.641660
31	2	-166.207143
31	3	-2.766101
32	0	-2.717079
32	1	-2.525631
32	2	-166.207143
32	3	-2.717079
33	0	-2.641660
33	1	-2.347125
33	2	-166.207143
33	3	-2.641660
34	0	-2.525631
34	1	-2.072500
34	2	-166.207143
34	3	-2.525631
35	0	-2.072500
35	1	-1.650000
35	2	-1.000000
35	3	-109.034643
36	0	-21.580473
36	1	-101.857143
36	2	-2.857143
36	3	-2.857143
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-1349	458
-1098	801
-381	381
-801	801
-318	318
-801	801
-42	42
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-16	16
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-122	23
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-15	15
-15	15
-15	15
-17	17
-15	15
-15	15
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-19	19
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-18	18
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-19	19
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-18	18
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-18	18
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-19	19
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-17	17
-15	15
-15	15
-15	15
-576	576
-801	801
-585	585
-545	446
-485	386
-316	316
-664	664
-801	801
-18	18
-801	801
-900	801
-891	792
-194	194
-565	565
-779	680
-753	753
-900	801
-801	801
-648	648
-801	801
-163	163
-196	196
-210	210
-472	274
-1098	801
-254	254
-793	694
-900	801
-258	258
-801	801
-219	219
-801	801
-801	801
-801	801
-787	688
-741	642
-63	63
-900	801
-445	445
-608	509
-900	801
-471	372
-177	177
-14	14
-213	213
-495	396
-651	453
-900	801
-1098	801
-900	801
-801	801
-900	801
-353	353
-465	465
-801	801
-900	702
-65	65
-900	801
-178	79
-360	360
-836	737
-187	88
-900	801
-403	304
-999	801
-801	801
-910	712
-330	231
-900	801
-952	754
-900	801
-196	97
-588	489
-115	115
-740	641
-28	28
-900	801
-336	336
-98	98
-337	337
-801	801
-158	158
-685	586
-504	306
-515	416
-900	801
-32	32
-999	801
-900	801
-999	801
-214	214
-900	801
-129	129
-801	801
-205	205
-900	801
-801	801
-141	141
-446	446
-888	789
-475	475
-486	486
-801	801
-900	801
-999	801
-900	801
-69	69
-459	459
-580	382
-999	801
-801	801
-900	801
-801	801
-176	176
-999	801
-999	801
-1197	801
-1022	725
-367	367
-933	735
-573	474
-801	801
-275	275
-993	795
-531	531
-312	312
-153	153
-897	699
-225	225
-999	801
-560	461
-303	204
-801	801
-801	801
-801	801
-801	801
-349	349
-34	34
-260	260
-539	440
-264	264
-175	175
-900	801
-141	141
-461	461
-539	440
-451	451
-54	54
-143	143
-1296	801
-782	782
-33	33
-603	504
-27	27
-248	248
-999	801
-86	86
-182	182
-1018	721
-276	276
-801	801
-900	801
-999	801
-900	801
-478	478
-511	511
-1098	801
-801	801
-900	801
-595	595
-900	801
-558	558
-248	149
-381	282
-900	801
-900	801
-52	52
-880	781
-564	465
-18	18
-323	323
-617	617
-900	801
-900	801
-302	302
-785	587
-900	801
-401	401
-300	300
-380	281
-374	374
-900	801
-153	153
-245	245
-519	420
-157	157
-306	306
-900	801
-82	82
-900	801
-801	801
-27	27
-145	145
-590	590
-597	498
-329	329
-900	801
-999	801
-801	801
-474	474
-900	801
-801	801
-324	324
-297	297
-900	801
-526	427
-797	698
-577	577
-686	587
-801	801
-1098	801
-176	176
-285	285
-908	710
-900	801
-900	801
-295	295
-303	303
-498	399
-1098	801
-554	455
-900	801
-123	123
-630	630
-801	801
-801	801
-162	63
-409	409
-202	202
-270	270
-999	801
-234	234
-691	691
-654	654
-968	671
-801	801
-504	504
-599	599
-582	582
-900	801
-556	556
-801	801
-335	236
-801	801
-801	801
-266	167
-773	476
-27	27
-874	775
-128	128
-140	140
-801	801
-294	195
-801	801
-999	801
-900	801
-293	293
-801	801
-849	750
-583	583
-470	470
-999	801
-222	222
-999	801
-334	334
-995	797
-510	312
-571	571
-252	252
-801	801
-295	295
-801	801
-801	801
-999	801
-801	801
-734	536
-53	53
-693	495
-34	34
-801	801
-801	801
-889	790
-1098	801
-900	801
-900	801
-351	351
-900	801
-524	524
-52	52
-787	688
-801	801
-801	801
-103	103
-192	93
-743	644
-667	568
-801	801
-144	144
-900	801
-160	160
-673	673
-900	801
-801	801
-595	595
-850	652
-93	93
-999	801
-900	801
-332	332
-210	210
-311	311
-470	470
-393	393
-900	801
-900	801
-999	801
-801	801
-635	536
-900	801
-999	801
-425	425
-900	801
-900	801
-999	801
-738	738
-165	165
-900	801
-42	42
-900	801
-900	801
-900	801
-499	400
-661	562
-900	801
-999	801
-900	801
-801	801
-627	429
-603	603
-900	801
-654	654
-683	485
-900	801
-259	259
-414	414
-801	801
-689	590
-539	539
-506	407
-49	49
-561	561
-126	126
-609	609
-165	165
-801	801
-455	455
-18	18
-392	293
-276	276
-687	687
-900	801
-26	26
-1098	801
-826	727
-676	676
-436	436
-900	801
-428	329
-282	282
-380	380
-273	174
-409	310
-999	801
-80	80
-67	67
-265	166
-132	132
-801	801
-366	267
-451	451
-103	103
-801	801
-801	801
-49	49
-407	407
-639	639
-629	530
-266	266
-351	351
-801	801
-892	694
-684	486
-999	801
-185	185
-900	801
-801	801
-517	418
-117	117
-801	801
-900	801
-801	801
-374	275
-900	801
-148	148
-454	454
-801	801
-598	499
-264	264
-900	801
-781	682
-608	509
-33	33
-801	801
-900	801
-214	214
-801	801
-369	369
-589	490
-797	698
-900	801
-900	801
-403	403
-439	340
-900	801
-1098	801
-463	364
-265	265
-245	245
-900	801
-14	14
-129	129
-148	148
-801	801
-35	35
-137	137
-999	801
-880	781
-900	801
-1173	777
-801	801
-900	801
-181	181
-121	121
-854	755
-900	801
-801	801
-325	325
-900	801
-752	653
-999	801
-999	801
-801	801
-404	305
-801	801
-801	801
-900	801
-926	728
-1098	801
-707	509
-999	801
-878	779
-1098	801
-14	14
-585	486
-552	453
-268	268
-360	360
-900	801
-497	497
-372	372
-548	449
-18	18
-281	281
-65	65
-900	801
-647	647
-801	801
-822	723
-900	801
-213	114
-1197	801
-900	801
-173	173
-900	801
-177	177
-163	163
-900	801
-624	624
-29	29
-900	801
-535	535
-35	35
-1197	801
-900	801
-94	94
-542	443
-801	801
-801	801
-887	788
-900	801
-801	801
-900	801
-900	801
-900	801
-900	801
-801	801
-123	123
-287	287
-801	801
-801	801
-26	26
-900	801
-900	801
-378	378
-410	410
-999	801
-254	254
-900	801
-801	801
-451	451
-999	801
-147	147
-871	475
-900	801
-56	56
-570	570
-631	631
-1098	801
-999	801
-1098	801
