Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	137.19939017295837
State	Action	Q-value
0	0	-2.846346
0	1	-2.846309
0	2	-2.847816
0	3	-2.846342
1	0	-2.843081
1	1	-2.842979
1	2	-2.847342
1	3	-2.843005
2	0	-2.837122
2	1	-2.836962
2	2	-2.837287
2	3	-2.837317
3	0	-2.827613
3	1	-2.827648
3	2	-2.830190
3	3	-2.827807
4	0	-2.813585
4	1	-2.813397
4	2	-2.814003
4	3	-2.814229
5	0	-2.792843
5	1	-2.792225
5	2	-2.792213
5	3	-2.793017
6	0	-2.760764
6	1	-2.760809
6	2	-2.762595
6	3	-2.762348
7	0	-2.715071
7	1	-2.713613
7	2	-2.714600
7	3	-2.715379
8	0	-2.643820
8	1	-2.641228
8	2	-2.646013
8	3	-2.646974
9	0	-2.531244
9	1	-2.528785
9	2	-2.530524
9	3	-2.531569
10	0	-2.359222
10	1	-2.353929
10	2	-2.357680
10	3	-2.363693
11	0	-2.083003
11	1	-2.083499
11	2	-2.072471
11	3	-2.077360
12	0	-2.847548
12	1	-2.847492
12	2	-3.034950
12	3	-2.847607
13	0	-2.842434
13	1	-2.842421
13	2	-3.055503
13	3	-2.842424
14	0	-2.835388
14	1	-2.834513
14	2	-2.873331
14	3	-2.834545
15	0	-2.823456
15	1	-2.822331
15	2	-2.926760
15	3	-2.822699
16	0	-2.804398
16	1	-2.803587
16	2	-2.809903
16	3	-2.806045
17	0	-2.775554
17	1	-2.774750
17	2	-2.775179
17	3	-2.778008
18	0	-2.737952
18	1	-2.730384
18	2	-2.775361
18	3	-2.745189
19	0	-2.682901
19	1	-2.662130
19	2	-2.681566
19	3	-2.688758
20	0	-2.602724
20	1	-2.557123
20	2	-2.714819
20	3	-2.607497
21	0	-2.468397
21	1	-2.395574
21	2	-2.590221
21	3	-2.469667
22	0	-2.270183
22	1	-2.147036
22	2	-2.200435
22	3	-2.245889
23	0	-2.027653
23	1	-1.764671
23	2	-1.650000
23	3	-1.969605
24	0	-2.850801
24	1	-2.846579
24	2	-67.203873
