Goal	Drop	Early	Total
10000	0	0	10000
Wall Time[s]	14.105238914489746
State	Action	Q-value
0	0	-2.853503
0	1	-2.851482
0	2	-2.855352
0	3	-2.853521
1	0	-2.851469
1	1	-2.848398
1	2	-2.853361
1	3	-2.853706
2	0	-2.848184
2	1	-2.843745
2	2	-2.845551
2	3	-2.851787
3	0	-2.843191
3	1	-2.837512
3	2	-2.837587
3	3	-2.848470
4	0	-2.835271
4	1	-2.825762
4	2	-2.831160
4	3	-2.843768
5	0	-2.823104
5	1	-2.806314
5	2	-2.809768
5	3	-2.836305
6	0	-2.804167
6	1	-2.780730
6	2	-2.778306
6	3	-2.824435
7	0	-2.774133
7	1	-2.738963
7	2	-2.734177
7	3	-2.804628
8	0	-2.727697
8	1	-2.661998
8	2	-2.668573
8	3	-2.774640
9	0	-2.649921
9	1	-2.549352
9	2	-2.566479
9	3	-2.730000
10	0	-2.532277
10	1	-2.391692
10	2	-2.405959
10	3	-2.648050
11	0	-2.349655
11	1	-2.341213
11	2	-2.130539
11	3	-2.519396
12	0	-2.853502
12	1	-2.866909
12	2	-2.855945
12	3	-2.854784
13	0	-2.851434
13	1	-2.851759
13	2	-3.710229
13	3	-2.852100
14	0	-2.844728
14	1	-2.837941
14	2	-3.011453
14	3	-2.845360
15	0	-2.837302
15	1	-2.827773
15	2	-2.884436
15	3	-2.836942
16	0	-2.820087
16	1	-2.811001
16	2	-2.919554
16	3	-2.823992
17	0	-2.806495
17	1	-2.779584
17	2	-2.863997
17	3	-2.807104
18	0	-2.768405
18	1	-2.733776
18	2	-2.985044
18	3	-2.759923
19	0	-2.753157
19	1	-2.663036
19	2	-2.752760
19	3	-2.758444
20	0	-2.722038
20	1	-2.548386
20	2	-2.714685
20	3	-2.725844
21	0	-2.647904
21	1	-2.375647
21	2	-2.704012
21	3	-2.652728
22	0	-2.541710
22	1	-2.088115
22	2	-3.470006
22	3	-2.537766
23	0	-2.376225
23	1	-2.098050
23	2	-1.674203
23	3	-2.396162
24	0	-2.854810
24	1	-3.445354
24	2	-2.859807
24	3	-2.861940
25	0	-2.881926
25	1	-3.555733
25	2	-46.676663
25	3	-2.853277
26	0	-2.792207
26	1	-3.196001
26	2	-30.536001
26	3	-3.906824
27	0	-2.733809
27	1	-2.979988
27	2	-22.893387
27	3	-2.736929
28	0	-2.697068
28	1	-3.269244
28	2	-26.895292
28	3	-2.692590
29	0	-2.757116
29	1	-3.082317
29	2	-26.862658
29	3	-3.254662
30	0	-2.726138
30	1	-3.468348
30	2	-26.897650
30	3	-2.724067
31	0	-2.715952
31	1	-2.824625
31	2	-30.545814
31	3	-2.716490
32	0	-2.559850
32	1	-2.555580
32	2	-30.604671
32	3	-2.857726
33	0	-2.539986
33	1	-2.417499
33	2	-14.461010
33	3	-3.162262
34	0	-1.979795
34	1	-1.657864
34	2	-37.618717
34	3	-1.934301
35	0	-2.133830
35	1	-1.699548
35	2	-1.000000
35	3	-2.738634
36	0	-2.867836
36	1	-101.928389
36	2	-2.933386
36	3	-3.462669
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-1795	706
-729	432
-260	260
-273	273
-860	563
-475	376
-236	236
-341	242
-121	121
-304	304
-232	232
-215	215
-112	112
-291	192
-368	170
-306	207
-185	185
-61	61
-400	301
-211	112
-426	327
-289	190
-101	101
-169	169
-218	119
-184	184
-178	178
-87	87
-127	127
-143	143
-195	96
-159	159
-120	120
-160	160
-75	75
-391	193
-99	99
-160	160
-59	59
-53	53
-110	110
-71	71
-112	112
-241	142
-65	65
-181	181
-144	144
-187	88
-39	39
-117	117
-363	264
-37	37
-215	116
-119	119
-116	116
-122	122
-279	180
-52	52
-136	136
-68	68
-152	152
-157	58
-88	88
-39	39
-123	123
-84	84
-88	88
-198	99
-68	68
-99	99
-77	77
-38	38
-58	58
-93	93
-65	65
-63	63
-78	78
-59	59
-47	47
-91	91
-67	67
-39	39
-64	64
-61	61
-70	70
-53	53
-107	107
-59	59
-171	72
-90	90
-181	82
-226	127
-57	57
-45	45
-198	99
-37	37
-92	92
-35	35
-77	77
-74	74
-31	31
-72	72
-39	39
-90	90
-25	25
-33	33
-106	106
-51	51
-53	53
-50	50
-57	57
-47	47
-84	84
-54	54
-38	38
-46	46
-76	76
-42	42
-41	41
-48	48
-83	83
-43	43
-63	63
-31	31
-91	91
-292	94
-21	21
-91	91
-45	45
-45	45
-191	92
-45	45
-74	74
-32	32
-119	20
-53	53
-93	93
-58	58
-73	73
-23	23
-21	21
-68	68
-41	41
-39	39
-64	64
-59	59
-41	41
-24	24
-168	69
-178	79
-23	23
-49	49
-47	47
-60	60
-37	37
-61	61
-34	34
-21	21
-39	39
-57	57
-45	45
-32	32
-37	37
-35	35
-41	41
-50	50
-37	37
-51	51
-69	69
-51	51
-162	63
-37	37
-37	37
-59	59
-36	36
-53	53
-28	28
-54	54
-35	35
-29	29
-61	61
-57	57
-29	29
-27	27
-45	45
-39	39
-41	41
-41	41
-28	28
-73	73
-60	60
-34	34
-37	37
-25	25
-44	44
-51	51
-35	35
-43	43
-46	46
-127	28
-46	46
-41	41
-33	33
-33	33
-21	21
-55	55
-43	43
-15	15
-41	41
-57	57
-35	35
-29	29
-43	43
-55	55
-33	33
-132	33
-36	36
-53	53
-31	31
-29	29
-53	53
-37	37
-29	29
-39	39
-43	43
-31	31
-31	31
-62	62
-129	30
-35	35
-56	56
-33	33
-29	29
-47	47
-41	41
-49	49
-37	37
-41	41
-39	39
-67	67
-55	55
-25	25
-21	21
-53	53
-23	23
-49	49
-37	37
-21	21
-31	31
-47	47
-37	37
-29	29
-32	32
-27	27
-46	46
-23	23
-40	40
-68	68
-36	36
-29	29
-53	53
-29	29
-39	39
-23	23
-33	33
-19	19
-45	45
-20	20
-104	104
-35	35
-21	21
-85	85
-41	41
-308	110
-27	27
-152	53
-23	23
-23	23
-23	23
-27	27
-37	37
-33	33
-33	33
-22	22
-45	45
-35	35
-45	45
-27	27
-27	27
-33	33
-27	27
-45	45
-41	41
-21	21
-47	47
-29	29
-23	23
-35	35
-25	25
-29	29
-34	34
-125	26
-37	37
-28	28
-23	23
-25	25
-33	33
-23	23
-31	31
-31	31
-31	31
-31	31
-38	38
-21	21
-38	38
-24	24
-33	33
-25	25
-20	20
-70	70
-51	51
-29	29
-23	23
-30	30
-28	28
-43	43
-27	27
-165	66
-22	22
-38	38
-31	31
-23	23
-33	33
-150	51
-27	27
-34	34
-21	21
-24	24
-23	23
-46	46
-25	25
-23	23
-33	33
-23	23
-24	24
-29	29
-23	23
-37	37
-35	35
-25	25
-25	25
-42	42
-24	24
-34	34
-35	35
-23	23
-27	27
-25	25
-36	36
-30	30
-23	23
-41	41
-156	57
-29	29
-33	33
-23	23
-37	37
-20	20
-39	39
-28	28
-29	29
-30	30
-29	29
-24	24
-25	25
-23	23
-25	25
-31	31
-21	21
