Goal	Drop	Early	Total
2568	0	7432	10000
Wall Time[s]	1654.7320744991302
State	Action	Q-value
0	0	-4.513788
0	1	-5.228834
0	2	-7.540963
0	3	-4.227624
1	0	-5.433946
1	1	-5.960435
1	2	-10.561504
1	3	-4.444524
2	0	-5.010440
2	1	-5.309961
2	2	-12.250584
2	3	-4.828323
3	0	-5.696727
3	1	-5.988625
3	2	-12.069617
3	3	-5.828798
4	0	-5.302024
4	1	-5.280747
4	2	-12.450046
4	3	-5.743555
5	0	-6.083669
5	1	-5.781068
5	2	-12.509726
5	3	-5.553994
6	0	-6.233336
6	1	-5.457167
6	2	-12.145052
6	3	-6.161777
7	0	-5.876106
7	1	-5.318753
7	2	-11.007660
7	3	-5.577576
8	0	-5.471912
8	1	-4.921641
8	2	-10.145758
8	3	-5.638465
9	0	-4.850525
9	1	-4.625219
9	2	-8.323501
9	3	-5.566723
10	0	-4.617180
10	1	-3.876751
10	2	-8.348509
10	3	-5.184921
11	0	-3.960046
11	1	-3.970030
11	2	-4.824145
11	3	-4.698607
12	0	-4.363669
12	1	-11.241562
12	2	-17.444010
12	3	-7.836138
13	0	-5.015092
13	1	-12.094547
13	2	-25.834369
13	3	-7.608496
14	0	-4.912528
14	1	-12.352160
14	2	-46.927189
14	3	-10.448816
15	0	-5.395844
15	1	-10.377047
15	2	-40.046053
15	3	-15.255955
16	0	-5.688582
16	1	-12.676958
16	2	-36.366573
16	3	-11.303386
17	0	-5.613026
17	1	-13.165243
17	2	-35.655258
17	3	-11.198858
18	0	-6.415680
18	1	-14.893829
18	2	-41.864860
18	3	-12.281370
19	0	-5.937670
19	1	-8.560775
19	2	-42.774519
19	3	-12.351158
20	0	-5.461914
20	1	-8.974617
20	2	-36.070355
20	3	-10.056023
21	0	-5.171059
21	1	-8.573720
21	2	-30.796657
21	3	-10.403914
22	0	-4.418348
22	1	-5.231152
22	2	-30.538320
22	3	-9.645187
23	0	-3.904589
23	1	-5.222219
23	2	-7.621922
23	3	-8.214685
24	0	-7.012032
24	1	-33.499220
24	2	-33.960207
24	3	-17.988903
25	0	-8.993983
25	1	-40.418235
25	2	-142.411138
25	3	-18.247670
26	0	-13.471929
26	1	-41.665870
26	2	-135.585667
26	3	-37.377251
27	0	-12.974639
27	1	-39.629572
27	2	-145.530680
27	3	-31.993916
28	0	-12.163683
28	1	-43.218673
28	2	-132.559257
28	3	-31.868754
29	0	-10.483099
29	1	-36.291504
29	2	-136.344659
29	3	-27.015281
30	0	-12.824218
30	1	-35.924242
30	2	-138.954688
30	3	-43.148661
31	0	-11.457284
31	1	-36.159927
31	2	-134.192869
31	3	-36.204870
32	0	-9.770854
32	1	-36.353549
32	2	-142.611830
32	3	-39.015550
33	0	-8.317632
33	1	-30.044256
33	2	-131.880808
33	3	-35.748265
34	0	-8.478983
34	1	-8.408570
34	2	-145.198444
34	3	-41.114518
35	0	-5.181739
35	1	-8.671123
35	2	-1.000000
35	3	-33.069631
36	0	-16.562629
36	1	-137.646934
36	2	-50.395005
36	3	-46.108773
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-19920	2001
-22296	2001
-22791	2001
-23781	2001
-2229	348
-22692	2001
-18930	2001
-18534	2001
-20217	2001
-20316	2001
-19583	1763
-22098	2001
-13652	1178
-23088	2001
-4259	398
-18435	2001
-18435	2001
-27048	2001
-21306	2001
-22395	2001
-8567	845
-20019	2001
-18831	2001
-3180	408
-19920	2001
-19227	2001
-22791	2001
-11812	1417
-19128	2001
-20910	2001
-23286	2001
-19623	2001
-22098	2001
-22395	2001
-3916	352
-21009	2001
-829	136
-17742	2001
-7238	506
-18039	2001
