Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	106.40792393684387
State	Action	Q-value
0	0	-5.812899
0	1	-5.811452
0	2	-5.839450
0	3	-5.812899
1	0	-5.717823
1	1	-5.713299
1	2	-5.718318
1	3	-5.714638
2	0	-5.580334
2	1	-5.579740
2	2	-5.742014
2	3	-5.581189
3	0	-5.422146
3	1	-5.416030
3	2	-5.418042
3	3	-5.426084
4	0	-5.231396
4	1	-5.225962
4	2	-5.439489
4	3	-5.224733
5	0	-5.010452
5	1	-5.002425
5	2	-5.005857
5	3	-5.004691
6	0	-4.741362
6	1	-4.740151
6	2	-4.739078
6	3	-4.762184
7	0	-4.445588
7	1	-4.436674
7	2	-4.674042
7	3	-4.458830
8	0	-4.104047
8	1	-4.088769
8	2	-4.359238
8	3	-4.090277
9	0	-3.687643
9	1	-3.673444
9	2	-3.684727
9	3	-3.696785
10	0	-3.203578
10	1	-3.179494
10	2	-3.270110
10	3	-3.208286
11	0	-2.579783
11	1	-2.579783
11	2	-2.569474
11	3	-2.578089
12	0	-5.874963
12	1	-5.873701
12	2	-6.571651
12	3	-5.874814
13	0	-5.745522
13	1	-5.741713
13	2	-5.996448
13	3	-5.752495
14	0	-5.583817
14	1	-5.583755
14	2	-10.291909
14	3	-5.584926
15	0	-5.399370
15	1	-5.395446
15	2	-12.998918
15	3	-5.410153
16	0	-5.179778
16	1	-5.172753
16	2	-10.777691
16	3	-5.192950
17	0	-4.917251
17	1	-4.909644
17	2	-5.092035
17	3	-4.921749
18	0	-4.611985
18	1	-4.599702
18	2	-4.600669
18	3	-4.602291
19	0	-4.239640
19	1	-4.234963
19	2	-10.307182
19	3	-4.259804
20	0	-3.868009
20	1	-3.805841
20	2	-10.901189
20	3	-3.837782
21	0	-3.404342
21	1	-3.300990
21	2	-3.437973
21	3	-3.344427
22	0	-2.737426
22	1	-2.707047
22	2	-5.772513
22	3	-2.772225
23	0	-2.105682
23	1	-2.008291
23	2	-1.850000
23	3	-2.134972
24	0	-5.984931
24	1	-5.860029
24	2	-89.658482
24	3	-5.978644
25	0	-5.873867
25	1	-5.717684
25	2	-188.404537
25	3	-5.978863
26	0	-5.740122
26	1	-5.550222
26	2	-187.913771
26	3	-5.857032
27	0	-5.574742
27	1	-5.353209
27	2	-188.134443
27	3	-5.713897
28	0	-5.388316
28	1	-5.121431
28	2	-188.409892
28	3	-5.545381
29	0	-5.165048
29	1	-4.848751
29	2	-188.764838
29	3	-5.349842
30	0	-4.900074
30	1	-4.527950
30	2	-188.846359
30	3	-5.114085
31	0	-4.591530
31	1	-4.150536
31	2	-188.150219
31	3	-4.841468
32	0	-4.227908
32	1	-3.706516
32	2	-188.332694
32	3	-4.522548
33	0	-3.796861
33	1	-3.184138
33	2	-187.938584
33	3	-4.139151
34	0	-3.293372
34	1	-2.569574
34	2	-188.364624
34	3	-3.697362
35	0	-2.570045
35	1	-1.846558
35	2	-1.000000
35	3	-157.082294
36	0	-6.087192
36	1	-105.039980
36	2	-6.167480
36	3	-6.166237
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-693	198
-1287	693
-467	467
-383	383
-140	140
-352	352
-266	266
-219	219
-81	81
-291	291
-238	238
-303	204
-179	179
-158	158
-135	135
-174	174
-121	121
-232	232
-78	78
-154	154
-162	162
-137	137
-95	95
-123	123
-179	179
-116	116
-129	129
-84	84
-152	152
-137	137
-68	68
-92	92
-108	108
-137	137
-62	62
-126	126
-133	133
-91	91
-70	70
-100	100
-247	148
-56	56
-93	93
-72	72
-131	131
-56	56
-91	91
-179	179
-48	48
-62	62
-65	65
-78	78
-130	130
-49	49
-118	118
-28	28
-105	105
-113	113
-46	46
-41	41
-124	124
-92	92
-57	57
-104	104
-30	30
-28	28
-99	99
-80	80
-80	80
-42	42
-130	130
-21	21
-44	44
-65	65
-110	110
-29	29
-80	80
-53	53
-69	69
-65	65
-96	96
-46	46
-33	33
-55	55
-81	81
-81	81
-29	29
-106	106
-50	50
-23	23
-98	98
-41	41
-50	50
-40	40
-54	54
-61	61
-32	32
-69	69
-64	64
-76	76
-54	54
-57	57
-19	19
-87	87
-41	41
-62	62
-59	59
-31	31
-56	56
-82	82
-50	50
-53	53
-54	54
-13	13
-99	99
-31	31
-29	29
-27	27
-77	77
-57	57
-55	55
-26	26
-32	32
-88	88
-55	55
-43	43
-32	32
-60	60
-33	33
-43	43
-57	57
-210	111
-23	23
-60	60
-22	22
-48	48
-48	48
-40	40
-50	50
-38	38
-53	53
-25	25
-64	64
-38	38
-47	47
-42	42
-57	57
-33	33
-59	59
-28	28
-42	42
-20	20
-73	73
-34	34
-26	26
-34	34
-62	62
-45	45
-41	41
-25	25
-45	45
-69	69
-36	36
-53	53
-32	32
-28	28
-49	49
-22	22
-24	24
-33	33
-64	64
-36	36
-31	31
-42	42
-43	43
-31	31
-42	42
-21	21
-54	54
-57	57
-31	31
-16	16
-28	28
-64	64
-53	53
-23	23
-50	50
-25	25
-39	39
-39	39
-36	36
-19	19
-39	39
-23	23
-52	52
-50	50
-32	32
-51	51
-31	31
-15	15
-37	37
-24	24
-52	52
-36	36
-23	23
-29	29
-43	43
-135	36
-30	30
-29	29
-34	34
-30	30
-33	33
-38	38
-34	34
-42	42
-17	17
-39	39
-45	45
-35	35
-24	24
-25	25
-29	29
-58	58
-29	29
-30	30
-40	40
-27	27
-44	44
-15	15
-34	34
-23	23
-60	60
-26	26
-32	32
-37	37
-15	15
-33	33
-39	39
-18	18
-41	41
-28	28
-34	34
-42	42
-23	23
-19	19
-32	32
-32	32
-13	13
-36	36
-37	37
-37	37
-37	37
-17	17
-22	22
-44	44
-28	28
-20	20
-20	20
-48	48
-29	29
-32	32
-36	36
-22	22
-23	23
-24	24
-35	35
-49	49
-24	24
-18	18
-26	26
-23	23
-33	33
-32	32
-27	27
-39	39
-15	15
-22	22
-39	39
-26	26
-22	22
-37	37
-35	35
-19	19
-36	36
-16	16
-34	34
-31	31
-44	44
-30	30
-19	19
-24	24
-18	18
-17	17
-17	17
-44	44
-32	32
-26	26
-19	19
-21	21
-32	32
-42	42
-18	18
-22	22
-19	19
-33	33
-38	38
-15	15
-39	39
-15	15
-14	14
-33	33
-27	27
-35	35
-28	28
-32	32
-15	15
-21	21
-33	33
-28	28
-27	27
-15	15
-19	19
-33	33
-32	32
-27	27
-23	23
-16	16
-25	25
-22	22
-30	30
-41	41
-19	19
-17	17
-27	27
-31	31
-13	13
-17	17
-26	26
-23	23
-46	46
-125	26
-24	24
