Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	121.65101170539856
State	Action	Q-value
0	0	-12.547390
0	1	-12.527853
0	2	-12.521755
0	3	-12.547585
1	0	-11.899663
1	1	-11.867671
1	2	-11.970904
1	3	-11.910458
2	0	-11.097766
2	1	-11.068760
2	2	-11.075924
2	3	-11.132303
3	0	-10.247086
3	1	-10.228891
3	2	-10.434362
3	3	-10.256581
4	0	-9.400000
4	1	-9.363827
4	2	-9.523166
4	3	-9.421472
5	0	-8.500000
5	1	-8.479544
5	2	-8.498511
5	3	-8.485229
6	0	-7.648047
6	1	-7.580955
6	2	-7.618208
6	3	-7.626502
7	0	-6.698688
7	1	-6.669578
7	2	-6.669985
7	3	-6.756808
8	0	-5.800000
8	1	-5.759016
8	2	-6.264024
8	3	-5.764777
9	0	-4.850000
9	1	-4.846781
9	2	-5.337386
9	3	-4.852305
10	0	-3.950000
10	1	-3.931281
10	2	-4.440196
10	3	-3.972934
11	0	-3.000000
11	1	-3.000000
11	2	-2.983572
11	3	-2.985147
12	0	-13.039894
12	1	-13.023514
12	2	-14.638357
12	3	-13.050000
13	0	-12.113416
13	1	-12.085515
13	2	-13.806027
13	3	-12.110987
14	0	-11.156658
14	1	-11.118475
14	2	-11.145490
14	3	-11.143044
15	0	-10.143140
15	1	-10.133424
15	2	-13.438181
15	3	-10.175791
16	0	-9.171570
16	1	-9.140437
16	2	-14.904182
16	3	-9.157872
17	0	-8.156336
17	1	-8.142232
17	2	-8.812356
17	3	-8.188126
18	0	-7.147079
18	1	-7.142573
18	2	-7.708635
18	3	-7.161284
19	0	-6.161531
19	1	-6.142621
19	2	-6.283277
19	3	-6.185368
20	0	-5.184199
20	1	-5.142625
20	2	-15.229220
20	3	-5.191521
21	0	-4.156585
21	1	-4.142625
21	2	-14.115191
21	3	-4.246779
22	0	-3.189115
22	1	-3.142625
22	2	-13.361930
22	3	-3.421396
23	0	-2.205387
23	1	-2.142625
23	2	-2.000000
23	3	-2.747175
24	0	-13.954282
24	1	-12.994657
24	2	-114.512835
24	3	-13.976521
25	0	-13.030437
25	1	-11.994657
25	2	-213.036437
25	3	-13.975736
