Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	272.88109493255615
State	Action	Q-value
0	0	-3.307832
0	1	-3.302365
0	2	-3.307184
0	3	-3.308754
1	0	-3.296511
1	1	-3.289794
1	2	-3.295520
1	3	-3.299985
2	0	-3.279568
2	1	-3.271752
2	2	-3.278182
2	3	-3.280585
3	0	-3.254660
3	1	-3.245825
3	2	-3.255479
3	3	-3.254882
4	0	-3.220618
4	1	-3.208307
4	2	-3.216968
4	3	-3.226115
5	0	-3.164832
5	1	-3.159431
5	2	-3.168121
5	3	-3.169749
6	0	-3.102988
6	1	-3.093383
6	2	-3.097932
6	3	-3.106736
7	0	-3.009811
7	1	-2.998935
7	2	-3.009188
7	3	-3.020821
8	0	-2.876165
8	1	-2.869717
8	2	-2.884710
8	3	-2.883206
9	0	-2.707476
9	1	-2.696413
9	2	-2.702298
9	3	-2.715843
10	0	-2.479217
10	1	-2.467070
10	2	-2.470284
10	3	-2.472350
11	0	-2.181425
11	1	-2.197446
11	2	-2.166362
11	3	-2.189808
12	0	-3.311852
12	1	-3.301726
12	2	-3.301825
12	3	-3.311072
13	0	-3.299986
13	1	-3.287651
13	2	-3.287197
13	3	-3.302664
14	0	-3.281839
14	1	-3.266436
14	2	-3.267411
14	3	-3.282230
15	0	-3.253289
15	1	-3.236155
15	2	-3.238785
15	3	-3.251251
16	0	-3.205617
16	1	-3.194177
16	2	-3.197624
16	3	-3.209843
17	0	-3.148994
17	1	-3.136260
17	2	-3.138472
17	3	-3.147229
18	0	-3.075254
18	1	-3.049740
18	2	-3.053899
18	3	-3.077937
19	0	-2.954560
19	1	-2.930572
19	2	-2.934801
19	3	-2.948575
20	0	-2.789488
20	1	-2.762660
20	2	-2.765156
20	3	-2.791009
21	0	-2.554097
21	1	-2.524429
21	2	-2.524192
21	3	-2.547895
22	0	-2.222904
22	1	-2.185222
22	2	-2.185477
22	3	-2.208870
23	0	-1.755523
23	1	-1.732930
23	2	-1.699913
23	3	-1.739399
24	0	-3.311583
24	1	-3.287196
24	2	-3.312622
24	3	-3.301478
25	0	-3.301113
25	1	-3.267422
25	2	-5.005053
25	3	-3.303174
26	0	-3.283894
26	1	-3.239175
26	2	-5.003413
26	3	-3.284181
27	0	-3.249679
27	1	-3.198821
27	2	-5.011534
27	3	-3.248930
28	0	-3.197041
28	1	-3.141173
28	2	-5.011123
28	3	-3.191387
29	0	-3.112754
29	1	-3.058819
29	2	-5.019119
29	3	-3.116236
30	0	-3.000932
30	1	-2.941170
30	2	-5.016167
30	3	-2.997103
31	0	-2.829910
31	1	-2.773100
31	2	-5.021417
31	3	-2.842454
32	0	-2.606002
32	1	-2.533000
32	2	-5.023748
32	3	-2.598763
33	0	-2.248977
33	1	-2.190000
33	2	-5.032704
33	3	-2.274130
34	0	-1.751073
34	1	-1.700000
34	2	-5.027049
34	3	-1.759811
35	0	-1.091174
35	1	-1.073534
35	2	-1.000000
35	3	-1.067530
36	0	-3.302065
36	1	-5.000000
36	2	-3.312411
36	3	-3.312359
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-1764	774
-543	444
-270	270
-344	344
-221	221
-266	266
-271	271
-192	192
-252	252
-201	201
-226	226
-207	207
-135	135
-264	264
-156	156
-191	191
-70	70
-246	246
-173	173
-135	135
-151	151
-207	207
-150	150
-129	129
-117	117
-132	132
-182	182
-157	157
-177	177
-83	83
-129	129
-164	164
-145	145
-54	54
-195	195
-111	111
-145	145
-55	55
-114	114
-214	214
-67	67
-148	148
-59	59
-158	158
-76	76
-90	90
-82	82
-157	157
-48	48
-76	76
-69	69
-174	174
-78	78
-119	119
-74	74
-119	119
-79	79
-113	113
-84	84
-63	63
-65	65
-64	64
-178	178
-94	94
-68	68
-94	94
-119	119
-33	33
-103	103
-91	91
-56	56
-100	100
-68	68
-85	85
-77	77
-52	52
-87	87
-122	122
-77	77
-45	45
-38	38
-127	127
-62	62
-63	63
-120	120
