Goal	Drop	Early	Total
10000	0	0	10000
Wall Time[s]	14.948274612426758
State	Action	Q-value
0	0	-8.207233
0	1	-7.996574
0	2	-8.416498
0	3	-8.215912
1	0	-8.012296
1	1	-7.767533
1	2	-8.199623
1	3	-8.229191
2	0	-7.766459
2	1	-7.468421
2	2	-7.966762
2	3	-8.035147
3	0	-7.456705
3	1	-7.187796
3	2	-7.367510
3	3	-7.764499
4	0	-7.188195
4	1	-6.809839
4	2	-7.057664
4	3	-7.485021
5	0	-6.816562
5	1	-6.465803
5	2	-6.689522
5	3	-7.165007
6	0	-6.440608
6	1	-6.010722
6	2	-6.212198
6	3	-6.889613
7	0	-5.975107
7	1	-5.470369
7	2	-5.726618
7	3	-6.498507
8	0	-5.528954
8	1	-4.894372
8	2	-5.136122
8	3	-6.012243
9	0	-4.976133
9	1	-4.278455
9	2	-4.472673
9	3	-5.528370
10	0	-4.316205
10	1	-3.595942
10	2	-3.745239
10	3	-5.024415
11	0	-3.645493
11	1	-3.681465
11	2	-2.928873
11	3	-4.435040
12	0	-8.236739
12	1	-8.014378
12	2	-8.594711
12	3	-8.335368
13	0	-8.057630
13	1	-7.729766
13	2	-8.482965
13	3	-8.311969
14	0	-7.795290
14	1	-7.320379
14	2	-8.107664
14	3	-8.002870
15	0	-7.456376
15	1	-6.947591
15	2	-9.681018
15	3	-7.723568
16	0	-7.171027
16	1	-6.590543
16	2	-9.508820
16	3	-7.357203
17	0	-6.832542
17	1	-6.146216
17	2	-10.449393
17	3	-7.042534
18	0	-6.419992
18	1	-5.823100
18	2	-7.016001
18	3	-6.638698
19	0	-6.000169
19	1	-5.037189
19	2	-7.392687
19	3	-6.195795
20	0	-5.548354
20	1	-4.412013
20	2	-6.004842
20	3	-5.824997
21	0	-4.941088
21	1	-3.709196
21	2	-4.749919
21	3	-5.054873
22	0	-4.415755
22	1	-2.876306
22	2	-3.658079
22	3	-4.469930
23	0	-3.675749
23	1	-2.869978
23	2	-1.988928
23	3	-3.768065
24	0	-8.228743
24	1	-11.494137
24	2	-9.082488
24	3	-8.581321
25	0	-8.067411
25	1	-8.340780
25	2	-79.762089
25	3	-8.668470
26	0	-7.774016
26	1	-9.452911
26	2	-65.437952
26	3	-11.080566
27	0	-7.367616
27	1	-8.551738
27	2	-60.041609
27	3	-7.588295
28	0	-7.036989
28	1	-9.371321
28	2	-55.674299
28	3	-9.293931
29	0	-6.586340
29	1	-9.148951
29	2	-61.491355
29	3	-7.607263
30	0	-6.231673
30	1	-6.386650
30	2	-59.140252
30	3	-6.269908
31	0	-5.600940
31	1	-5.782565
31	2	-45.600705
31	3	-5.814855
32	0	-5.099689
