Goal	Drop	Early	Total
80000	0	0	80000
Wall Time[s]	89.02484273910522
State	Action	Q-value
0	0	-2.849296
0	1	-2.849248
0	2	-2.849262
0	3	-2.849225
1	0	-2.846313
1	1	-2.845962
1	2	-2.845977
1	3	-2.846071
2	0	-2.840959
2	1	-2.840530
2	2	-2.840532
2	3	-2.840890
3	0	-2.832592
3	1	-2.831975
3	2	-2.831976
3	3	-2.832166
4	0	-2.819786
4	1	-2.818640
4	2	-2.818662
4	3	-2.819615
5	0	-2.799394
5	1	-2.798007
5	2	-2.799603
5	3	-2.800816
6	0	-2.767789
6	1	-2.766213
6	2	-2.766335
6	3	-2.768807
7	0	-2.719108
7	1	-2.717323
7	2	-2.717363
7	3	-2.727075
8	0	-2.647322
8	1	-2.642156
8	2	-2.642154
8	3	-2.646181
9	0	-2.527041
9	1	-2.526505
9	2	-2.526769
9	3	-2.529455
10	0	-2.365715
10	1	-2.348412
10	2	-2.348874
10	3	-2.360946
11	0	-2.098388
11	1	-2.095432
11	2	-2.075239
11	3	-2.084809
12	0	-2.851576
12	1	-2.846883
12	2	-2.852908
12	3	-2.850412
13	0	-2.849317
13	1	-2.841432
13	2	-2.850326
13	3	-2.850622
14	0	-2.845700
14	1	-2.832330
14	2	-2.846625
14	3	-2.847053
15	0	-2.840117
15	1	-2.819109
15	2	-2.833010
15	3	-2.841611
16	0	-2.831619
16	1	-2.799924
16	2	-2.825112
16	3	-2.833097
17	0	-2.816822
17	1	-2.766750
17	2	-2.821011
17	3	-2.820175
18	0	-2.796930
18	1	-2.717888
18	2	-2.774442
18	3	-2.799068
19	0	-2.764113
19	1	-2.642485
19	2	-2.749507
19	3	-2.768480
20	0	-2.715426
20	1	-2.526284
20	2	-2.689037
20	3	-2.721716
21	0	-2.638930
21	1	-2.347498
21	2	-2.613737
21	3	-2.646421
22	0	-2.521434
22	1	-2.072634
22	2	-2.777060
22	3	-2.533041
23	0	-2.340764
23	1	-2.073264
23	2	-1.650022
23	3	-2.352132
24	0	-2.850619
24	1	-2.850755
24	2	-2.854405
24	3	-2.852773
25	0	-2.846829
25	1	-2.981611
25	2	-9.816585
25	3	-2.847407
26	0	-2.841509
26	1	-3.205882
26	2	-14.443172
26	3	-2.841766
27	0	-2.825064
27	1	-2.824762
27	2	-18.819888
27	3	-2.825536
28	0	-2.817941
28	1	-3.187585
28	2	-9.843105
28	3	-2.818404
29	0	-2.798617
29	1	-3.012952
