Goal	Drop	Early	Total
79999	0	1	80000
Wall Time[s]	92.3756833076477
State	Action	Q-value
0	0	-2.849385
0	1	-2.849311
0	2	-2.849337
0	3	-2.849416
1	0	-2.846116
1	1	-2.845892
1	2	-2.845927
1	3	-2.845942
2	0	-2.840410
2	1	-2.840396
2	2	-2.840407
2	3	-2.840560
3	0	-2.832532
3	1	-2.831894
3	2	-2.832198
3	3	-2.832396
4	0	-2.819101
4	1	-2.818622
4	2	-2.818618
4	3	-2.819284
5	0	-2.799493
5	1	-2.798076
5	2	-2.798120
5	3	-2.800608
6	0	-2.767938
6	1	-2.766392
6	2	-2.766422
6	3	-2.769220
7	0	-2.721682
7	1	-2.717551
7	2	-2.717763
7	3	-2.717994
8	0	-2.647538
8	1	-2.642496
8	2	-2.642298
8	3	-2.656050
9	0	-2.532345
9	1	-2.527483
9	2	-2.527236
9	3	-2.536466
10	0	-2.372416
10	1	-2.348886
10	2	-2.349896
10	3	-2.360305
11	0	-2.098618
11	1	-2.097439
11	2	-2.073746
11	3	-2.108832
12	0	-2.851702
12	1	-2.846827
12	2	-2.852857
12	3	-2.850399
13	0	-2.849160
13	1	-2.841172
13	2	-2.850488
13	3	-2.850572
14	0	-2.845518
14	1	-2.832402
14	2	-2.843820
14	3	-2.847008
15	0	-2.839823
15	1	-2.819009
15	2	-2.840107
15	3	-2.841438
16	0	-2.830817
16	1	-2.798421
16	2	-2.831906
16	3	-2.833110
17	0	-2.817940
17	1	-2.766651
17	2	-2.818398
17	3	-2.819950
18	0	-2.796448
18	1	-2.717531
18	2	-2.759756
18	3	-2.801209
19	0	-2.765232
19	1	-2.642153
19	2	-2.738173
19	3	-2.769829
20	0	-2.715167
20	1	-2.527308
20	2	-2.706417
20	3	-2.719172
21	0	-2.641483
21	1	-2.351321
21	2	-2.464126
21	3	-2.646413
22	0	-2.524295
22	1	-2.079312
22	2	-2.363083
22	3	-2.536049
23	0	-2.342346
23	1	-2.072743
23	2	-1.655382
23	3	-2.357639
24	0	-2.850445
24	1	-2.851405
24	2	-2.905328
24	3	-2.852763
25	0	-2.846820
25	1	-3.013133
25	2	-14.445532
25	3	-2.847119
26	0	-2.838460
26	1	-2.838491
26	2	-14.441182
26	3	-2.838917
27	0	-2.831909
27	1	-2.831930
27	2	-9.833127
27	3	-2.831908
28	0	-2.819112
28	1	-2.819119
28	2	-5.009321
28	3	-2.819884
29	0	-2.798902
29	1	-3.104452
29	2	-9.857192
29	3	-2.801677
30	0	-2.728575
30	1	-2.729921
30	2	-18.770960
30	3	-2.731447
31	0	-2.701669
31	1	-2.701266
31	2	-5.021508
31	3	-2.704271
32	0	-2.642000
32	1	-2.753306
32	2	-14.468088
32	3	-2.642037
33	0	-2.369800
33	1	-2.072639
33	2	-22.985377
33	3	-2.361636
34	0	-2.031535
34	1	-1.650043
34	2	-26.913909
34	3	-1.896084
35	0	-2.091257
35	1	-1.643322
35	2	-1.000000
35	3	-2.103157
36	0	-2.854304
36	1	-101.339737
36	2	-3.404423
36	3	-2.911915
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-668	173
-1460	866
-315	315
-329	329
-370	370
-353	353
-226	226
-221	221
-235	235
-203	203
-155	155
-263	263
-257	257
-109	109
-354	255
-235	235
-121	121
-221	221
-213	213
-49	49
-279	279
-189	189
-73	73
-127	127
-438	339
-49	49
-161	161
-107	107
-153	153
-143	143
-51	51
-366	267
-117	117
-101	101
-179	179
-87	87
-169	169
-107	107
-95	95
-137	137
-79	79
-133	133
-139	139
-65	65
-95	95
-163	163
-113	113
-65	65
-111	111
-127	127
-69	69
-87	87
-149	149
-124	124
-63	63
-125	125
-45	45
-113	113
-63	63
-65	65
-171	171
-111	111
-155	56
-103	103
-99	99
-119	119
-69	69
-69	69
-75	75
-69	69
-83	83
-111	111
-91	91
-57	57
-103	103
-89	89
-91	91
-75	75
-41	41
-79	79
-71	71
-69	69
-113	113
-61	61
-51	51
