Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	16.005608320236206
State	Action	Q-value
0	0	-2.845635
0	1	-2.845682
0	2	-2.845730
0	3	-2.845925
1	0	-2.842084
1	1	-2.841755
1	2	-2.841942
1	3	-2.841950
2	0	-2.835772
2	1	-2.835208
2	2	-2.835392
2	3	-2.835698
3	0	-2.825841
3	1	-2.825771
3	2	-2.825692
3	3	-2.825889
4	0	-2.811929
4	1	-2.811604
4	2	-2.811766
4	3	-2.812594
5	0	-2.790785
5	1	-2.789774
5	2	-2.790124
5	3	-2.790221
6	0	-2.757977
6	1	-2.757301
6	2	-2.757767
6	3	-2.757987
7	0	-2.709176
7	1	-2.707809
7	2	-2.708033
7	3	-2.711204
8	0	-2.639908
8	1	-2.632837
8	2	-2.633088
8	3	-2.633584
9	0	-2.527041
9	1	-2.517804
9	2	-2.517995
9	3	-2.529455
10	0	-2.348352
10	1	-2.342651
10	2	-2.342597
10	3	-2.346268
11	0	-2.098388
11	1	-2.095432
11	2	-2.072903
11	3	-2.084809
12	0	-2.848599
12	1	-2.846638
12	2	-2.850343
12	3	-2.849548
13	0	-2.845497
13	1	-2.840969
13	2	-2.846440
13	3	-2.848411
14	0	-2.839472
14	1	-2.832257
14	2	-2.840793
14	3	-2.844557
15	0	-2.828955
15	1	-2.818890
15	2	-2.870700
15	3	-2.834557
16	0	-2.821587
16	1	-2.798430
16	2	-2.816891
16	3	-2.821684
17	0	-2.794702
17	1	-2.767054
17	2	-2.828320
17	3	-2.805047
18	0	-2.775731
18	1	-2.718342
18	2	-2.725332
18	3	-2.767893
19	0	-2.721608
19	1	-2.642350
19	2	-2.666841
19	3	-2.724039
20	0	-2.652930
20	1	-2.526629
20	2	-2.609852
20	3	-2.669040
21	0	-2.516988
21	1	-2.349061
21	2	-2.447937
21	3	-2.554251
22	0	-2.363157
22	1	-2.076781
22	2	-2.148383
22	3	-2.394140
23	0	-2.120291
23	1	-1.953405
23	2	-1.655745
23	3	-2.166171
24	0	-2.850324
24	1	-2.850655
24	2	-2.853291
24	3	-2.852024
25	0	-2.846502
25	1	-2.996389
25	2	-9.816585
25	3	-2.846506
26	0	-2.837141
26	1	-3.205882
26	2	-14.443172
26	3	-2.837388
27	0	-2.822910
27	1	-2.821175
27	2	-18.819888
27	3	-2.822180
28	0	-2.811165
28	1	-2.811470
28	2	-9.843105
28	3	-2.811920
29	0	-2.796431
29	1	-2.796825
29	2	-9.851528
29	3	-2.797002
30	0	-2.682232
30	1	-2.675964
30	2	-9.858136
30	3	-2.682187
31	0	-2.621173
31	1	-2.614634
31	2	-9.839299
31	3	-2.623448
32	0	-2.569747
32	1	-2.441737
32	2	-5.017600
32	3	-2.568070
33	0	-2.490870
33	1	-2.105616
33	2	-14.402036
