Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	370.0637867450714
State	Action	Q-value
0	0	-2.855633
0	1	-2.853894
0	2	-2.854261
0	3	-2.855530
1	0	-2.854021
1	1	-2.849435
1	2	-2.851159
1	3	-2.855615
2	0	-2.849477
2	1	-2.843114
2	2	-2.843407
2	3	-2.854228
3	0	-2.843562
3	1	-2.834878
3	2	-2.834121
3	3	-2.850107
4	0	-2.833964
4	1	-2.819652
4	2	-2.819188
4	3	-2.844588
5	0	-2.820871
5	1	-2.798498
5	2	-2.798076
5	3	-2.833276
6	0	-2.791734
6	1	-2.766641
6	2	-2.766175
6	3	-2.803610
7	0	-2.742179
7	1	-2.716315
7	2	-2.717155
7	3	-2.752798
8	0	-2.669234
8	1	-2.637883
8	2	-2.641138
8	3	-2.670550
9	0	-2.553622
9	1	-2.520155
9	2	-2.522542
9	3	-2.556230
10	0	-2.374467
10	1	-2.341835
10	2	-2.342563
10	3	-2.381666
11	0	-2.123661
11	1	-2.096056
11	2	-2.070053
11	3	-2.133740
12	0	-2.855590
12	1	-2.851209
12	2	-2.853185
12	3	-2.854596
13	0	-2.853896
13	1	-2.845246
13	2	-2.845219
13	3	-2.854496
14	0	-2.849860
14	1	-2.833799
14	2	-2.836724
14	3	-2.850769
15	0	-2.843484
15	1	-2.818971
15	2	-2.821798
15	3	-2.844936
16	0	-2.835380
16	1	-2.799010
16	2	-2.798010
16	3	-2.834572
17	0	-2.814456
17	1	-2.766136
17	2	-2.766101
17	3	-2.815980
18	0	-2.777380
18	1	-2.717163
18	2	-2.717079
18	3	-2.773673
19	0	-2.701838
19	1	-2.641757
19	2	-2.641660
19	3	-2.697382
20	0	-2.585235
20	1	-2.525630
20	2	-2.525631
20	3	-2.582427
21	0	-2.406831
21	1	-2.347122
21	2	-2.347125
21	3	-2.404988
22	0	-2.124197
22	1	-2.072497
22	2	-2.072499
22	3	-2.118991
23	0	-1.723340
23	1	-1.706769
23	2	-1.650000
23	3	-1.717622
24	0	-2.854680
24	1	-2.847289
24	2	-2.855433
24	3	-2.853420
25	0	-2.851380
25	1	-2.835678
25	2	-5.004688
25	3	-2.852874
26	0	-2.843910
26	1	-2.820170
26	2	-5.003169
26	3	-2.845299
27	0	-2.833914
27	1	-2.798320
27	2	-5.013511
27	3	-2.836201
28	0	-2.819326
28	1	-2.766101
28	2	-5.017459
28	3	-2.821571
29	0	-2.796900
29	1	-2.717079
29	2	-5.009229
29	3	-2.796444
30	0	-2.739655
30	1	-2.641660
30	2	-5.010681
30	3	-2.740235
31	0	-2.633511
31	1	-2.525631
31	2	-5.020136
31	3	-2.636130
32	0	-2.451606
32	1	-2.347125
32	2	-5.027420
32	3	-2.466832
33	0	-2.195142
33	1	-2.072500
33	2	-5.026218
33	3	-2.193362
34	0	-1.792655
34	1	-1.650000
34	2	-5.030396
34	3	-1.768993
35	0	-1.139184
35	1	-1.128105
35	2	-1.000000
35	3	-1.117613
36	0	-2.852599
36	1	-5.000000
36	2	-2.854887
36	3	-2.855210
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
47	0	0.000000
47	1	0.000000
47	2	0.000000
47	3	0.000000
48	0	0.000000
48	1	0.000000
48	2	0.000000
48	3	0.000000
Return	TimeSteps
-1238	446
-1009	712
-317	317
-272	272
-357	357
-211	211
-281	281
-235	235
-268	268
-97	97
-373	373
-96	96
-300	300
-53	53
-391	391
-126	126
-61	61
-167	167
-279	279
-119	119
-136	136
-119	119
-203	203
-167	167
-129	129
-254	254
-88	88
-112	112
-121	121
-253	253
-112	112
-79	79
-129	129
-174	174
-157	157
-125	125
-86	86
-75	75
-209	209
-123	123
-105	105
-162	162
-115	115
-31	31
-81	81
-115	115
-115	115
-99	99
-216	216
-137	137
-93	93
-63	63
-119	119
-83	83
-82	82
-104	104
-110	110
-52	52
-154	154
-100	100
-60	60
-102	102
-179	179
-64	64
-88	88
-91	91
-79	79
-84	84
-78	78
-97	97
-108	108
-70	70
-128	128
-38	38
-94	94
-95	95
-62	62
-80	80
-136	136
-50	50
-88	88
-91	91
-56	56
-62	62
-126	126
-75	75
-35	35
-51	51
-59	59
-89	89
-124	124
-41	41
-81	81
-36	36
-99	99
-95	95
-64	64
-82	82
-109	109
-67	67
-25	25
-53	53
-83	83
-50	50
-97	97
-36	36
-90	90
-27	27
-106	106
-88	88
-96	96
-41	41
-53	53
-101	101
-71	71
-51	51
-101	101
-33	33
-45	45
-43	43
-32	32
-108	108
-78	78
-80	80
-45	45
-75	75
-67	67
-86	86
-34	34
-29	29
-26	26
-108	108
-33	33
-62	62
-43	43
-83	83
-105	105
-35	35
-75	75
-25	25
-90	90
-57	57
-33	33
-41	41
-53	53
-51	51
-92	92
-51	51
-42	42
-29	29
-45	45
-47	47
-75	75
-31	31
-50	50
-52	52
-82	82
-43	43
-92	92
-35	35
-23	23
-56	56
-56	56
-32	32
-66	66
-46	46
-41	41
-50	50
-105	105
-41	41
-38	38
-44	44
-31	31
-40	40
-52	52
-61	61
-64	64
-56	56
-28	28
-39	39
-55	55
-56	56
-40	40
-20	20
-39	39
-75	75
-20	20
-40	40
-49	49
-42	42
-78	78
-62	62
