Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	1461.2494916915894
State	Action	Q-value
0	0	-2.857118
0	1	-2.857064
0	2	-2.857113
0	3	-2.857119
1	0	-2.857061
1	1	-2.856888
1	2	-2.857030
1	3	-2.857115
2	0	-2.856864
2	1	-2.856045
2	2	-2.856714
2	3	-2.857067
3	0	-2.856288
3	1	-2.853609
3	2	-2.855367
3	3	-2.856909
4	0	-2.853695
4	1	-2.848509
4	2	-2.851192
4	3	-2.856176
5	0	-2.849415
5	1	-2.833748
5	2	-2.838593
5	3	-2.854281
6	0	-2.834403
6	1	-2.802135
6	2	-2.812500
6	3	-2.848816
7	0	-2.800341
7	1	-2.746961
7	2	-2.749533
7	3	-2.835502
8	0	-2.748083
8	1	-2.676413
8	2	-2.655608
8	3	-2.799936
9	0	-2.663341
9	1	-2.549929
9	2	-2.549643
9	3	-2.751372
10	0	-2.541822
10	1	-2.407742
10	2	-2.352928
10	3	-2.667433
11	0	-2.388126
11	1	-2.376352
11	2	-2.095346
11	3	-2.508904
12	0	-2.857120
12	1	-2.857029
12	2	-2.857097
12	3	-2.857106
13	0	-2.857065
13	1	-2.856832
13	2	-2.856988
13	3	-2.857101
14	0	-2.856798
14	1	-2.855543
14	2	-2.856555
14	3	-2.857013
15	0	-2.856022
15	1	-2.852425
15	2	-2.854107
15	3	-2.856739
16	0	-2.854608
16	1	-2.842286
16	2	-2.847258
16	3	-2.856139
17	0	-2.848691
17	1	-2.808339
17	2	-2.821783
17	3	-2.851520
18	0	-2.836248
18	1	-2.749831
18	2	-2.770621
18	3	-2.841962
19	0	-2.802670
19	1	-2.658059
19	2	-2.668797
19	3	-2.809722
20	0	-2.749344
20	1	-2.544137
20	2	-2.532610
20	3	-2.761067
21	0	-2.666425
21	1	-2.350690
21	2	-2.353732
21	3	-2.679263
22	0	-2.541604
22	1	-2.085779
22	2	-2.073176
22	3	-2.529509
23	0	-2.294618
23	1	-2.081405
23	2	-1.650000
23	3	-2.275034
24	0	-2.857107
24	1	-2.856957
24	2	-2.857123
24	3	-2.857103
25	0	-2.857031
25	1	-2.856498
25	2	-5.006406
25	3	-2.857086
26	0	-2.856648
26	1	-2.855071
26	2	-5.012086
26	3	-2.856975
27	0	-2.855301
27	1	-2.843647
27	2	-5.007845
27	3	-2.856634
28	0	-2.851889
28	1	-2.819277
28	2	-5.014523
28	3	-2.854546
29	0	-2.842286
29	1	-2.763710
29	2	-5.016879
29	3	-2.845609
30	0	-2.807005
30	1	-2.662800
30	2	-5.027859
30	3	-2.830730
31	0	-2.757388
31	1	-2.535224
31	2	-5.023270
31	3	-2.773668
32	0	-2.673885
32	1	-2.357015
32	2	-5.015706
32	3	-2.685009
33	0	-2.532982
33	1	-2.072500
33	2	-5.032367
33	3	-2.554523
34	0	-2.349591
34	1	-1.650000
34	2	-5.032022
34	3	-2.359261
35	0	-1.907715
35	1	-1.651113
35	2	-1.000000
35	3	-1.953187
36	0	-2.857097
36	1	-5.000000
36	2	-2.857124
36	3	-2.857126
37	0	0.000000
37	1	0.000000
37	2	0.000000
37	3	0.000000
38	0	0.000000
38	1	0.000000
38	2	0.000000
38	3	0.000000
39	0	0.000000
39	1	0.000000
39	2	0.000000
39	3	0.000000
40	0	0.000000
40	1	0.000000
40	2	0.000000
40	3	0.000000
41	0	0.000000
41	1	0.000000
41	2	0.000000
41	3	0.000000
42	0	0.000000
42	1	0.000000
42	2	0.000000
42	3	0.000000
43	0	0.000000
43	1	0.000000
43	2	0.000000
43	3	0.000000
44	0	0.000000
44	1	0.000000
44	2	0.000000
44	3	0.000000
45	0	0.000000
45	1	0.000000
45	2	0.000000
45	3	0.000000
46	0	0.000000
46	1	0.000000
46	2	0.000000
46	3	0.000000
