Goal	Drop	Early	Total
100000	0	0	100000
Wall Time[s]	1094.7234127521515
State	Action	Q-value
0	0	-2.799921
0	1	-2.000000
0	2	-16.701295
0	3	-2.799783
1	0	-2.799948
1	1	0.000000
1	2	-13.066496
1	3	-2.799942
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-3.516907
3	1	-11.026554
3	2	-29.728429
3	3	0.000000
4	0	-3.519498
4	1	-4.166318
4	2	-4.741875
4	3	-11.157788
5	0	-3.519879
5	1	-4.165706
5	2	-4.750513
5	3	-4.166345
6	0	-3.519694
6	1	-17.462650
6	2	-4.739884
6	3	-4.166676
7	0	-10.519240
7	1	-12.313353
7	2	-16.484822
7	3	-4.746730
8	0	0.000000
8	1	-18.017234
8	2	0.000000
8	3	-11.466091
9	0	-17.860033
9	1	-5.268307
9	2	-6.144372
9	3	-24.185768
10	0	-4.165993
10	1	-4.749294
10	2	-5.250111
10	3	-24.009664
11	0	-4.167817
11	1	-4.743618
11	2	-5.274783
11	3	-4.736469
12	0	-4.166221
12	1	-18.131956
12	2	-5.244049
12	3	-4.750272
13	0	-19.070084
13	1	-6.506166
13	2	-10.261367
13	3	-17.245810
14	0	-24.148493
14	1	-6.139575
14	2	-6.837481
14	3	-6.822415
15	0	-12.724005
15	1	-5.733915
15	2	-6.512128
15	3	-6.506185
16	0	-4.743710
16	1	-5.274301
16	2	-5.697691
16	3	-12.437706
17	0	-4.750956
17	1	-5.243465
17	2	-5.745852
17	3	-5.255529
18	0	-4.741846
18	1	-15.794960
18	2	-12.673122
18	3	-5.274694
19	0	-16.469301
19	1	-10.281248
19	2	-29.235425
19	3	-5.735764
20	0	-6.594778
20	1	-6.514210
20	2	-7.125917
20	3	-10.277396
21	0	-6.171290
21	1	-6.158101
21	2	-6.830769
21	3	-6.839804
22	0	-5.254669
22	1	-5.740976
22	2	-6.104724
22	3	-6.569159
23	0	-5.275753
23	1	-12.676575
23	2	-6.166726
23	3	-5.709848
24	0	-5.234960
24	1	-17.274342
24	2	-12.812390
24	3	-5.746513
25	0	-10.283750
25	1	-7.132820
25	2	-20.524142
25	3	-23.569268
26	0	-6.850898
26	1	-6.836962
26	2	-7.826829
26	3	-14.433780
27	0	-6.527003
27	1	-6.506707
27	2	-7.122742
27	3	-7.129472
28	0	-5.693445
28	1	-6.163781
28	2	-6.459910
28	3	-6.840241
29	0	-5.747962
29	1	-12.820407
29	2	-6.551377
29	3	-6.099962
30	0	-13.159878
30	1	-14.092723
30	2	-7.082967
30	3	-6.468550
31	0	-29.239138
31	1	-13.919471
31	2	-7.082626
31	3	-6.793674
32	0	-8.059437
32	1	-7.573445
32	2	-7.362745
32	3	-14.361325
33	0	-6.838989
33	1	-6.831892
33	2	-7.322439
33	3	-7.861772
34	0	-6.095872
34	1	-6.550557
34	2	-7.110076
34	3	-7.108654
35	0	-6.172917
35	1	-7.112323
35	2	-7.106827
35	3	-6.450977
36	0	-6.801122
36	1	-7.084540
36	2	-7.082239
36	3	-6.774917
Return	TimeSteps
-26	30
-116	69
-133	145
-77	94
-13	13
-13	13
-9	9
-8	8
-55	48
-8	8
-10	10
-8	8
-8	8
-32	12
-43	35
-11	11
-27	25
-9	9
