Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	147.1435055732727
State	Action	Q-value
0	0	-2.234546
0	1	0.332510
0	2	-16.720428
0	3	-2.367007
1	0	-2.504718
1	1	2.519783
1	2	-13.082208
1	3	-2.594026
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-3.389066
3	1	-11.050945
3	2	-29.870337
3	3	0.000000
4	0	-3.453722
4	1	-4.156103
4	2	-4.749127
4	3	-11.158684
5	0	-3.422557
5	1	-4.164478
5	2	-4.750029
5	3	-4.167504
6	0	-3.439331
6	1	-17.467612
6	2	-4.748977
6	3	-4.161406
7	0	-10.519953
7	1	-12.319691
7	2	-16.585629
7	3	-4.748617
8	0	0.000000
8	1	-18.148696
8	2	0.000000
8	3	-11.467816
9	0	-17.945504
9	1	-5.274182
9	2	-6.171056
9	3	-24.329746
10	0	-4.154699
10	1	-4.748755
10	2	-5.270922
10	3	-24.147116
11	0	-4.153698
11	1	-4.749778
11	2	-5.275860
11	3	-4.747665
12	0	-4.157709
12	1	-18.172357
12	2	-5.269055
12	3	-4.751129
13	0	-19.085355
13	1	-6.547568
13	2	-10.959382
13	3	-17.342982
14	0	-24.328093
14	1	-6.170002
14	2	-6.890162
14	3	-6.877753
15	0	-12.743466
15	1	-5.747603
15	2	-6.550720
15	3	-6.540369
16	0	-4.748650
16	1	-5.275876
16	2	-5.733723
16	3	-12.457645
17	0	-4.748701
17	1	-5.272758
17	2	-5.748209
17	3	-5.272352
18	0	-4.749404
18	1	-15.911850
18	2	-12.738051
18	3	-5.275501
19	0	-16.590999
19	1	-10.943263
19	2	-29.592871
19	3	-5.745852
20	0	-6.551949
20	1	-6.552057
20	2	-7.186130
20	3	-10.930684
21	0	-6.172526
21	1	-6.171933
21	2	-6.884686
21	3	-6.881773
22	0	-5.271844
22	1	-5.747841
22	2	-6.151157
22	3	-6.561263
23	0	-5.275992
23	1	-12.740419
23	2	-6.173096
23	3	-5.726432
24	0	-5.272102
24	1	-17.870251
24	2	-12.852491
24	3	-5.748249
25	0	-10.925265
25	1	-7.181563
25	2	-20.535180
25	3	-24.093438
26	0	-6.893304
26	1	-6.887129
26	2	-7.857347
26	3	-14.469860
27	0	-6.552182
27	1	-6.551942
27	2	-7.167454
27	3	-7.182188
28	0	-5.737177
28	1	-6.173329
28	2	-6.512773
28	3	-6.887777
29	0	-5.748418
29	1	-12.849513
29	2	-6.555577
29	3	-6.152803
30	0	-13.172509
30	1	-14.141876
30	2	-7.139926
30	3	-6.522652
31	0	-29.603971
31	1	-13.937113
31	2	-7.143715
31	3	-6.853831
32	0	-8.069424
32	1	-7.626104
32	2	-7.398939
32	3	-14.401994
33	0	-6.879224
33	1	-6.853092
33	2	-7.401006
33	3	-7.878435
34	0	-6.151069
34	1	-6.555463
34	2	-7.201608
34	3	-7.182175
35	0	-6.173550
35	1	-7.190224
35	2	-7.205085
35	3	-6.515490
36	0	-6.870214
36	1	-7.145400
36	2	-7.136387
36	3	-6.852483
Return	TimeSteps
-26	30
-116	69
-133	145
-77	94
-13	13
-13	13
-9	9
-8	8
-55	48
-8	8
-10	10
-8	8
-8	8
-32	12
-43	35
-11	11
-27	25
-9	9
-15	14
-14	14
-24	23
-8	8
-9	9
-8	8
-10	10
-8	8
-8	8
-9	9
-12	11
-9	9
-9	9
-8	8
-9	9
-13	13
-8	8
-12	10
-8	8
-9	9
-8	8
-54	54
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-16	16
-8	8
-10	10
-8	8
-23	23
-8	8
-11	11
-8	8
-16	16
-11	10
-24	23
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-28	52
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-24	24
-8	8
-8	8
-8	8
-10	10
-26	26
-11	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-8	8
-10	10
-10	10
-8	8
-11	10
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-13	12
-8	8
-11	11
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-19	19
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-14	12
-9	9
-8	8
-10	10
-8	8
-11	10
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-12	10
-9	9
-8	8
-12	12
-8	8
-10	10
14	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-15	12
-8	8
-8	8
