Goal	Drop	Early	Total
19997	0	3	20000
Wall Time[s]	348.9859051704407
State	Action	Q-value
0	0	-67.006155
0	1	-7319.602142
0	2	-67.941520
0	3	-67.349451
1	0	-7318.760805
1	1	0.000000
1	2	-7323.878648
1	3	-7318.512811
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-68.012122
3	1	-8.669462
3	2	-424.649238
3	3	0.013908
4	0	-67.991474
4	1	-9.184185
4	2	-78.663919
4	3	-7.896411
5	0	-67.963125
5	1	-9.982572
5	2	-71.347055
5	3	-8.678696
6	0	-67.847553
6	1	-17.893435
6	2	-70.914287
6	3	-9.280082
7	0	-7318.365784
7	1	-7323.645713
7	2	-7325.485238
7	3	-9.927696
8	0	0.000000
8	1	-75.374124
8	2	-9.000000
8	3	-7324.189740
9	0	-67.456666
9	1	-70.512335
9	2	-79.967082
9	3	-284.064799
10	0	-68.712041
10	1	-69.593929
10	2	-70.922066
10	3	-75.575126
11	0	-68.725248
11	1	-69.606693
11	2	-70.720080
11	3	-69.875152
12	0	-68.599314
12	1	-7328.987483
12	2	-70.630537
12	3	-69.606134
13	0	-7330.582104
13	1	-82.513359
13	2	-7322.785836
13	3	-7327.201034
14	0	-8.000000
14	1	-80.460475
14	2	-10.000000
14	3	-7329.417353
15	0	-78.879092
15	1	-71.999413
15	2	-76.378108
15	3	-83.357238
16	0	-69.721560
16	1	-70.686787
16	2	-74.218156
16	3	-80.323194
17	0	-69.599040
17	1	-70.629589
17	2	-71.737501
17	3	-71.081129
18	0	-69.562541
18	1	-7324.613678
18	2	-78.674015
18	3	-70.622272
19	0	-7324.732722
19	1	-7323.219386
19	2	-7339.479199
19	3	-71.924083
20	0	-9.000000
20	1	-78.028004
20	2	-11.000000
20	3	-7323.565320
21	0	-73.852602
21	1	-73.758688
21	2	-82.835101
21	3	-85.098594
22	0	-71.171450
22	1	-71.930934
22	2	-76.262224
22	3	-77.727436
23	0	-70.574453
23	1	-78.666562
23	2	-73.174207
23	3	-73.317708
24	0	-70.627590
24	1	-7327.819753
24	2	-80.774078
24	3	-71.865121
25	0	-7320.457364
25	1	-88.485731
25	2	-5467.015176
25	3	-7334.390366
26	0	-10.000000
26	1	-81.647050
26	2	-12.000000
26	3	-7326.493672
27	0	-78.232014
27	1	-79.800096
27	2	-93.757199
27	3	-126.438452
28	0	-72.688371
28	1	-73.899035
28	2	-96.754196
28	3	-81.079758
29	0	-71.598060
29	1	-80.822843
29	2	-74.284107
29	3	-76.935108
30	0	-79.882327
30	1	-5467.560628
30	2	-5460.913143
30	3	-78.956344
31	0	-5466.723571
31	1	-5461.660097
31	2	-3830.088577
31	3	-5460.113745
32	0	-11.000000
32	1	-90.392388
32	2	-5464.677360
32	3	-5473.159539
33	0	-84.193878
33	1	-84.205192
33	2	-5459.846368
33	3	-190.590788
34	0	-76.997712
34	1	-80.937198
34	2	-5464.509062
34	3	-91.529118
35	0	-72.823325
35	1	-5464.655169
35	2	-5464.239256
35	3	-83.340420
36	0	-5467.157793
36	1	-3830.398898
36	2	-3830.617273
36	3	-5462.232838
Return	TimeSteps
-168	106
-114	100
-117	103
-14	14
-14	14
-9	9
-9	9
-9	9
-14	14
-8	8
-9	9
-15	15
-8	8
-10	10
-8	8
-8	8
-22	22
-12	12
-10	10
-8	8
-8	8
-14	12
-8	8
-9	9
-8	8
-19	14
-11	10
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	10
-8	8
-8	8
-8	8
-8	8
-9	9
-16	12
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-17	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-22	9
-10	10
-12	12
-8	8
-9	9
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-27	51
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-16	16
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-10	10
-9	9
-11	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-9	9
-8	8
-22	18
-9	9
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-14	12
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-10	10
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-40	40
-8	8
-8	8
-8	8
-8	8
-15	13
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-13	12
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-16	9
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
14	10
-8	8
-8	8
-8	8
-11	10
-8	8
-9	9
-8	8
-14	12
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-9	9
-16	9
-11	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-9	9
14	10
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-16	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-16	9
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-12	12
-8	8
-8	8
-8	8
-12	12
-8	8
-14	12
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-11	11
-8	8
-11	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-29	53
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
