Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	12.464901208877563
State	Action	Q-value
0	0	-2.454996
0	1	-1.658000
0	2	-7.811547
0	3	-2.413351
1	0	-2.439396
1	1	2.160000
1	2	-4.680181
1	3	-2.383327
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-0.135671
3	1	-0.115000
3	2	-0.812000
3	3	0.000000
4	0	-2.832794
4	1	-3.003316
4	2	-3.099593
4	3	-6.937082
5	0	-2.841215
5	1	-3.121854
5	2	-3.341837
5	3	-3.122096
6	0	-2.836260
6	1	-9.236751
6	2	-3.222782
6	3	-2.995812
7	0	-3.351507
7	1	-3.590048
7	2	-3.323725
7	3	-3.245878
8	0	0.002794
8	1	-1.090137
8	2	0.000000
8	3	0.000000
9	0	-2.195575
9	1	-2.125081
9	2	-2.037908
9	3	-2.313800
10	0	-3.124241
10	1	-3.198020
10	2	-3.295559
10	3	-7.838010
11	0	-3.130797
11	1	-3.337534
11	2	-3.506364
11	3	-3.338950
12	0	-3.124531
12	1	-3.702724
12	2	-3.303688
12	3	-3.193775
13	0	-4.057410
13	1	-3.367654
13	2	-3.380399
13	3	-3.359256
14	0	-3.513643
14	1	-3.410904
14	2	-3.426270
14	3	-3.418597
15	0	-4.511767
15	1	-3.446420
15	2	-3.463003
15	3	-3.452730
16	0	-3.343273
16	1	-3.405315
16	2	-3.509729
16	3	-3.634690
17	0	-3.347874
17	1	-3.501697
17	2	-3.628291
17	3	-3.501821
18	0	-3.343241
18	1	-3.413346
18	2	-7.829012
18	3	-3.405963
19	0	-3.503896
19	1	-3.471974
19	2	-4.055250
19	3	-3.468383
20	0	-3.517158
20	1	-3.510947
20	2	-3.514494
20	3	-3.514246
21	0	-3.564510
21	1	-3.560084
21	2	-3.570971
21	3	-3.560897
22	0	-3.507378
22	1	-3.528117
22	2	-3.611042
22	3	-3.540824
23	0	-3.510634
23	1	-10.622777
23	2	-3.721689
23	3	-3.625737
24	0	-3.503430
24	1	-4.614604
24	2	-3.808780
24	3	-3.509111
25	0	-1.740347
25	1	-1.618386
25	2	-1.588620
25	3	-1.587997
26	0	-3.512154
26	1	-3.507182
26	2	-3.514046
26	3	-4.021956
27	0	-3.626338
27	1	-3.629068
27	2	-3.627172
27	3	-3.648467
28	0	-3.629480
28	1	-3.644860
28	2	-3.678641
28	3	-3.640511
29	0	-3.632740
29	1	-6.430298
29	2	-3.791980
29	3	-3.717249
30	0	-7.273441
30	1	-6.760599
30	2	-3.787585
30	3	-3.784495
31	0	-1.625828
31	1	-1.500087
31	2	-1.731407
31	3	-1.509210
32	0	-3.501123
32	1	-3.503538
32	2	-3.538456
32	3	-3.927450
33	0	-3.667694
33	1	-3.669735
33	2	-3.688765
33	3	-3.668364
34	0	-3.718681
34	1	-3.728628
34	2	-3.741703
34	3	-3.719429
35	0	-3.724381
35	1	-3.899964
35	2	-3.900464
35	3	-3.785885
36	0	-3.862961
36	1	-3.843731
36	2	-3.851049
36	3	-3.838517
Return	TimeSteps
-183	138
-54	78
-31	25
-29	53
-95	99
-53	36
-188	210
-4	28
-43	67
-35	59
-37	24
-65	68
-71	95
-74	96
-47	51
-22	16
