Goal	Drop	Early	Total
150000	0	0	150000
Wall Time[s]	1487.9563794136047
State	Action	Q-value
0	0	-2.301540
0	1	-1.352272
0	2	-11.470760
0	3	-2.543353
1	0	-2.423206
1	1	0.291784
1	2	-5.845731
1	3	-2.437716
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-3.387406
3	1	-11.042400
3	2	-29.842501
3	3	0.000000
4	0	-3.393271
4	1	-4.071902
4	2	-4.735572
4	3	-11.135204
5	0	-3.241423
5	1	-4.134071
5	2	-4.722944
5	3	-4.137244
6	0	-3.355000
6	1	-11.465906
6	2	-4.740277
6	3	-4.082216
7	0	-3.768687
7	1	-3.912025
7	2	-10.997356
7	3	-4.477853
8	0	0.000000
8	1	-18.130646
8	2	0.000000
8	3	-5.418773
9	0	-17.934886
9	1	-5.270578
9	2	-6.162969
9	3	-24.296500
10	0	-4.129877
10	1	-4.709783
10	2	-5.267456
10	3	-24.129662
11	0	-4.035559
11	1	-4.739236
11	2	-5.266184
11	3	-4.743806
12	0	-4.133658
12	1	-11.891350
12	2	-5.259973
12	3	-4.721315
13	0	-11.773975
13	1	-6.513603
13	2	-10.269445
13	3	-11.825545
14	0	-24.294233
14	1	-6.145606
14	2	-6.869082
14	3	-6.847298
15	0	-6.739893
15	1	-5.743194
15	2	-6.531417
15	3	-6.510827
16	0	-4.744893
16	1	-5.262059
16	2	-5.719854
16	3	-7.053333
17	0	-4.687134
17	1	-5.260299
17	2	-5.746201
17	3	-5.263332
18	0	-4.742087
18	1	-11.442309
18	2	-12.714086
18	3	-5.268526
19	0	-11.657931
19	1	-10.279410
19	2	-29.196901
19	3	-5.744190
20	0	-6.531397
20	1	-6.529487
20	2	-7.143933
20	3	-10.271408
21	0	-6.165671
21	1	-6.162445
21	2	-6.856357
21	3	-6.871102
22	0	-5.267166
22	1	-5.745985
22	2	-6.124154
22	3	-6.546616
23	0	-5.263783
23	1	-12.712448
23	2	-6.172292
23	3	-5.715852
24	0	-5.251780
24	1	-17.264507
24	2	-12.846228
24	3	-5.747786
25	0	-10.275007
25	1	-7.155510
25	2	-20.536179
25	3	-23.549419
26	0	-6.871604
26	1	-6.848695
26	2	-7.856563
26	3	-14.424450
27	0	-6.531894
27	1	-6.505748
27	2	-7.142488
27	3	-7.146186
28	0	-5.713971
28	1	-6.168915
28	2	-6.478600
28	3	-6.865614
29	0	-5.746819
29	1	-12.849111
29	2	-6.554121
29	3	-6.111966
30	0	-13.170046
30	1	-14.111007
30	2	-7.107908
30	3	-6.481865
31	0	-29.198781
31	1	-13.933496
31	2	-7.106191
31	3	-6.802819
32	0	-8.067404
32	1	-7.627511
32	2	-7.384988
32	3	-14.378313
33	0	-6.848092
33	1	-6.852834
33	2	-7.385082
33	3	-7.944400
34	0	-6.105020
34	1	-6.555134
34	2	-7.210294
34	3	-7.148250
35	0	-6.173117
35	1	-7.196663
35	2	-7.194328
35	3	-6.481960
36	0	-6.850700
36	1	-7.119207
36	2	-7.112584
36	3	-6.815986
Return	TimeSteps
-26	30
-116	69
-133	145
-77	94
-13	13
-13	13
-9	9
-8	8
-55	48
-8	8
-10	10
-8	8
-8	8
-32	12
-43	35
-11	11
-27	25
-9	9
-15	14
-14	14
-24	23
-8	8
-9	9
-8	8
-10	10
-8	8
-8	8
-9	9
-12	11
-9	9
-9	9
-8	8
-9	9
-13	13
-8	8
-12	10
-8	8
-9	9
-8	8
-54	54
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-16	16
-8	8
-10	10
-8	8
-23	23
-8	8
-11	11
-8	8
-16	16
-11	10
-24	23
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-28	52
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-24	24
-8	8
-8	8
-8	8
-10	10
-26	26
-11	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-8	8
-10	10
-10	10
-8	8
-11	10
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-13	12
-8	8
-11	11
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-19	19
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-14	12
-9	9
-8	8
-10	10
-8	8
-11	10
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-12	10
-9	9
-8	8
-12	12
-8	8
-10	10
14	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-15	12
-8	8
-8	8
-9	9
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-9	9
-9	9
-11	11
-8	8
-8	8
-8	8
-14	13
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-19	12
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-16	9
-8	8
-8	8
-16	15
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-12	10
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-16	9
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	10
-8	8
-10	10
-9	9
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-10	10
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-11	10
-8	8
-8	8
14	10
-11	11
-9	9
-13	12
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-10	10
-11	11
-10	10
-10	10
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-10	10
-11	11
-8	8
-8	8
-8	8
-8	8
-18	11
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
