Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	155.20332741737366
State	Action	Q-value
0	0	-2.799896
0	1	-2.000000
0	2	-6.417655
0	3	-2.799766
1	0	-2.799879
1	1	0.000000
1	2	-14.282666
1	3	-2.798523
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-3.517815
3	1	-11.026176
3	2	-34.629538
3	3	0.000000
4	0	-3.517368
4	1	-4.161821
4	2	-4.705411
4	3	-11.155881
5	0	-3.519722
5	1	-4.161192
5	2	-4.744366
5	3	-4.153560
6	0	-3.517889
6	1	-6.053631
6	2	-4.730094
6	3	-4.165149
7	0	-4.516876
7	1	-13.070405
7	2	-19.697092
7	3	-4.514344
8	0	0.000000
8	1	-24.065695
8	2	0.000000
8	3	-12.057642
9	0	-17.890852
9	1	-5.265801
9	2	-6.056774
9	3	-29.618344
10	0	-4.159840
10	1	-4.747583
10	2	-5.223652
10	3	-24.040003
11	0	-4.167472
11	1	-4.720074
11	2	-5.267300
11	3	-4.715288
12	0	-4.158457
12	1	-20.316598
12	2	-5.211789
12	3	-4.739200
13	0	-20.483931
13	1	-6.432851
13	2	-6.792829
13	3	-19.995137
14	0	-23.615484
14	1	-6.069907
14	2	-9.753620
14	3	-6.760248
15	0	-12.710819
15	1	-5.712451
15	2	-6.449645
15	3	-6.417372
16	0	-4.720680
16	1	-5.270293
16	2	-5.658918
16	3	-12.358803
17	0	-4.750335
17	1	-5.210293
17	2	-5.738546
17	3	-5.184044
18	0	-4.719218
18	1	-18.157889
18	2	-12.641511
18	3	-5.267664
19	0	-19.120239
19	1	-6.472320
19	2	-27.206773
19	3	-5.705394
20	0	-7.044191
20	1	-9.698434
20	2	-13.990126
20	3	-6.107760
21	0	-6.158108
21	1	-6.141938
21	2	-6.761527
21	3	-9.674089
22	0	-5.206769
22	1	-5.737510
22	2	-6.009804
22	3	-6.574560
23	0	-5.274328
23	1	-12.643243
23	2	-6.150994
23	3	-5.654917
24	0	-5.216734
24	1	-14.592175
24	2	-12.799098
24	3	-5.732403
25	0	-7.073988
25	1	-7.052271
25	2	-20.478598
25	3	-21.314586
26	0	-9.748007
26	1	-6.760452
26	2	-7.800861
26	3	-14.375890
27	0	-6.461621
27	1	-6.444122
27	2	-7.051507
27	3	-7.156975
28	0	-5.617576
28	1	-6.152999
28	2	-6.352558
28	3	-6.784970
29	0	-5.745349
29	1	-12.763875
29	2	-6.534672
29	3	-5.976740
30	0	-13.136219
30	1	-14.006540
30	2	-7.004895
30	3	-6.364066
31	0	-27.221666
31	1	-13.853621
31	2	-6.996682
31	3	-6.692549
32	0	-8.019008
32	1	-7.557935
32	2	-7.289024
32	3	-14.289822
33	0	-6.766655
33	1	-6.743687
33	2	-7.247112
33	3	-7.819743
34	0	-5.985148
34	1	-6.533793
34	2	-7.081931
34	3	-7.068695
35	0	-6.167969
35	1	-7.095300
35	2	-7.081717
35	3	-6.361654
36	0	-6.743563
36	1	-6.995489
36	2	-6.993789
36	3	-6.682790
Return	TimeSteps
-58	34
-169	131
-30	22
-41	26
-153	93
-14	8
-19	19
-25	25
-18	18
-10	10
-9	9
-26	19
-36	36
-11	11
-8	8
-9	9
-56	56
-21	21
-14	12
-10	10
-8	8
-9	9
-8	8
-8	8
-8	8
-24	24
-9	9
-8	8
-14	14
-86	86
-8	8
-9	9
7	10
-9	9
-10	10
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-11	11
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
-10	10
-8	8
-10	10
-8	8
-9	9
-11	11
-10	10
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-10	10
-11	10
-8	8
-8	8
-9	9
-8	8
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-12	12
-8	8
-9	9
-8	8
-8	8
-23	16
-11	10
-8	8
-8	8
-10	10
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-12	12
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-11	11
-9	9
-8	8
-10	10
-9	9
-8	8
14	10
-18	11
-8	8
-8	8
-8	8
-13	12
-8	8
-10	10
-8	8
-9	9
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-11	10
-9	9
-10	10
-8	8
-9	9
-8	8
-8	8
-10	10
-10	10
-10	10
-8	8
-8	8
-9	9
-8	8
-8	8
-10	10
-8	8
-9	9
12	12
-11	11
-11	11
-13	13
-8	8
-8	8
13	11
-18	11
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-13	13
-8	8
-10	10
-10	10
-10	10
-12	12
-8	8
-11	11
-8	8
-9	9
-12	11
-8	8
-10	10
-8	8
-8	8
-11	11
-8	8
-9	9
-8	8
-15	13
-10	10
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-8	8
13	11
-8	8
-9	9
-8	8
-9	9
-10	10
-12	11
-11	10
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
