Goal	Drop	Early	Total
19990	0	10	20000
Wall Time[s]	665.3813419342041
State	Action	Q-value
0	0	-51.959629
0	1	-16277.042033
0	2	-49.067895
0	3	-51.717434
1	0	-16276.141120
1	1	0.000000
1	2	-16285.818644
1	3	-16274.799048
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-52.638288
3	1	-7.931244
3	2	-293.984130
3	3	0.002292
4	0	-52.217206
4	1	-9.035447
4	2	-60.996233
4	3	-7.768250
5	0	-52.536411
5	1	-10.171725
5	2	-54.290812
5	3	-8.220927
6	0	-52.306369
6	1	-18.321094
6	2	-54.420720
6	3	-9.035240
7	0	-16276.309722
7	1	-16286.873137
7	2	-16283.178450
7	3	-10.229687
8	0	0.000000
8	1	-60.195664
8	2	-9.000000
8	3	-16281.712659
9	0	-54.290357
9	1	-53.656301
9	2	-61.523465
9	3	-83.846170
10	0	-53.040421
10	1	-53.811255
10	2	-54.336416
10	3	-60.490807
11	0	-53.257336
11	1	-53.676598
11	2	-54.390219
11	3	-53.558697
12	0	-52.946361
12	1	-16288.713375
12	2	-16283.944146
12	3	-53.708634
13	0	-16291.255421
13	1	-56.962281
13	2	-61.172146
13	3	-16286.568873
14	0	-8.000000
14	1	-62.467225
14	2	-10.000000
14	3	-16289.259570
15	0	-61.501054
15	1	-55.172062
15	2	-57.329088
15	3	-63.554346
16	0	-53.832939
16	1	-54.429515
16	2	-55.330326
16	3	-62.407268
17	0	-53.984672
17	1	-16280.588801
17	2	-55.386186
17	3	-54.367114
18	0	-16286.468293
18	1	-60.742504
18	2	-15668.388129
18	3	-16277.387327
19	0	-61.435963
19	1	-59.465087
19	2	-68.133936
19	3	-61.961861
20	0	-9.000000
20	1	-57.883138
20	2	-11.000000
20	3	-63.367434
21	0	-56.377452
21	1	-56.255999
21	2	-62.389552
21	3	-59.178488
22	0	-54.537109
22	1	-55.374967
22	2	-56.296502
22	3	-58.153466
23	0	-54.634285
23	1	-16279.529016
23	2	-56.181860
23	3	-55.351316
24	0	-16274.553874
24	1	-15673.856663
24	2	-58.813687
24	3	-56.251193
25	0	-61.003672
25	1	-56.642283
25	2	-7614.853327
25	3	-15674.610035
26	0	-10.000000
26	1	-60.777448
26	2	-12.000000
26	3	-69.328046
27	0	-60.005993
27	1	-61.125827
27	2	-7606.606522
27	3	-56.934569
28	0	-55.349442
28	1	-56.183703
28	2	-57.533784
28	3	-60.677416
29	0	-55.475599
29	1	-65.767452
29	2	-57.173059
29	3	-56.275019
30	0	-64.460301
30	1	-7613.399835
30	2	-7606.628722
30	3	-57.611001
31	0	-7622.953197
31	1	-7607.138599
31	2	-5113.531932
31	3	-7606.138094
32	0	-11.000000
32	1	-7605.756240
32	2	-7608.478159
32	3	-7630.311177
33	0	-7606.207751
33	1	-7605.932408
33	2	-5113.460507
33	3	-7607.161197
34	0	-56.411209
34	1	-57.122813
34	2	-7607.508290
34	3	-7605.120881
35	0	-56.214712
35	1	-7607.076084
35	2	-7606.832145
35	3	-57.545203
36	0	-7610.905464
36	1	-5113.466025
36	2	-5113.609540
36	3	-7606.352557
Return	TimeSteps
-146	136
-145	115
-23	10
-21	8
-186	184
-32	43
-214	238
-9	9
-680	674
-102	101
-60	54
-20	14
-32	26
-20	20
-10	10
-10	10
-9	9
-10	10
-12	12
-10	10
-9	9
-9	9
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-28	14
-11	11
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-9	9
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-49	49
-9	9
-8	8
-11	11
-8	8
