Goal	Drop	Early	Corridos
3548	0	10452	14000
Wall Time[s]	60571.40569758415
State	Action	Q-value
0	0	-503146.442536
0	1	-857273.477093
0	2	-869678.693866
0	3	-503146.432950
1	0	-857273.069969
1	1	24.000000
1	2	-869811.218098
1	3	-857272.979405
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-503146.483676
3	1	15.000000
3	2	-869823.187128
3	3	24.000000
4	0	-503146.075950
4	1	14.000000
4	2	-869818.805025
4	3	16.000000
5	0	-503146.670224
5	1	-869686.573818
5	2	-869686.006994
5	3	15.000000
6	0	-869669.262422
6	1	-711933.036154
6	2	-711720.545597
6	3	-869686.378223
7	0	-869813.873153
7	1	-869815.338377
7	2	-712004.302560
7	3	-714088.328768
8	0	24.000000
8	1	-869824.223072
8	2	-869819.803037
8	3	-869817.449129
9	0	-869824.559235
9	1	-869765.724909
9	2	-711740.438659
9	3	-869818.298556
10	0	-503146.474770
10	1	-869686.061352
10	2	-869771.020392
10	3	-869824.917811
11	0	-869686.142888
11	1	-711562.776099
11	2	-711577.699888
11	3	-869685.468550
12	0	-712035.100252
12	1	-711563.793584
12	2	-711747.889970
12	3	-714818.602033
13	0	-855009.774335
13	1	-711564.468698
13	2	-712035.307744
13	3	-711737.068726
14	0	-869826.123314
14	1	-711565.664640
14	2	-711638.908478
14	3	-711603.806227
15	0	-869779.924915
15	1	-711567.697902
15	2	-711695.120106
15	3	-711568.944594
16	0	-869774.504005
16	1	-711569.146354
16	2	-711645.399393
16	3	-711569.233933
17	0	-859125.432028
17	1	-711579.540957
17	2	-711636.694825
17	3	-711568.083946
18	0	-718437.380331
18	1	-711762.024673
18	2	-711699.784309
18	3	-711565.048391
19	0	-713230.920401
19	1	-711850.346644
19	2	-711676.790084
19	3	-711751.018702
20	0	-713737.007788
20	1	-711628.958207
20	2	-711643.729976
20	3	-711908.872974
21	0	-713639.146372
21	1	-711629.594886
21	2	-711629.707231
21	3	-711694.024748
22	0	-715252.593043
22	1	-711629.774183
22	2	-711629.034872
22	3	-711647.918741
23	0	-711745.536583
23	1	-711648.918634
23	2	-711629.345581
23	3	-711630.964954
24	0	-711797.955042
24	1	-711682.238210
24	2	-711629.304516
24	3	-711652.411179
25	0	-712137.377179
25	1	-711642.335648
25	2	-711670.006505
25	3	-711688.730584
26	0	-711774.854541
26	1	-711659.103082
26	2	-711629.357308
26	3	-711740.819693
27	0	-711789.612262
27	1	-711629.127723
27	2	-711629.477896
27	3	-711647.141399
28	0	-711741.800907
28	1	-711629.290666
28	2	-711628.769137
28	3	-711630.618983
29	0	-711634.906478
29	1	-711629.985046
29	2	-711629.333138
29	3	-711629.438208
30	0	-711714.738073
30	1	-711636.150391
30	2	-711629.051184
30	3	-711628.993203
31	0	-711685.976076
31	1	-711657.165083
31	2	-711628.776594
31	3	-711628.743558
32	0	-711633.705614
32	1	-711629.250289
32	2	-711628.904477
32	3	-711664.490144
33	0	-711631.583233
33	1	-711629.201308
33	2	-711629.006720
33	3	-711632.755582
34	0	-711629.071857
34	1	-711629.698688
34	2	-711628.455087
34	3	-711629.545647
35	0	-711629.337308
35	1	-711628.605677
35	2	-711629.266891
35	3	-711629.155684
36	0	-711629.720967
36	1	-711629.153398
36	2	-711628.636413
36	3	-711628.957833
Return	TimeSteps
-16	10
-304	268
-48	20
-9	9
-9	9
-29	24
-50	48
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-9	9
-9	9
-9	9
-8	8
-8	8
-10	10
-8	8
-8	8
-12	11
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-88	77
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-20	20
-8	8
-8	8
-10	10
-8	8
-8	8
14	10
-17	10
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-30	30
-10	10
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-10	10
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-36	29
-9	9
-8	8
-8	8
-8	8
-46	46
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
14	10
-8	8
-8	8
-8	8
-589	613
-76	63
-19	13
-25	12
-25	12
-21	8
-21	8
-42	36
-16	10
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-17	17
-14	8
-11	11
-16	10
-14	8
-14	8
-16	10
-14	8
-14	8
-16	10
-14	8
-14	8
-14	14
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-30	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-31	49
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-11	11
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-11	27
-16	10
-14	8
-16	10
-14	8
-14	8
-18	12
-142	140
-217	241
-518	529
-59	46
-14	8
-32	12
-23	17
-151	143
-74	67
-10	28
-14	8
-16	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-16	10
-16	10
-21	21
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
5	13
-20	20
-14	8
-14	8
-169	191
-135	108
-52	46
-14	8
-28	22
-14	8
-16	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-14	8
-14	8
-30	10
-18	12
-46	12
-14	8
-14	8
-14	8
-14	8
-16	10
-30	10
-14	8
-14	8
-16	10
-20	14
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-29	47
-14	8
-14	8
-14	8
-35	29
-14	8
-14	8
-51	51
-42	36
-222	218
-134	128
-20	14
-14	8
-14	8
-14	8
-20	20
-16	10
-14	8
-14	8
-14	8
-16	10
-25	18
-16	10
-14	8
-14	8
-18	18
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-12	12
-14	8
-14	8
-14	8
-14	8
-14	8
-13	13
-14	8
-16	10
-14	8
-23	10
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-30	10
-14	8
-14	8
-14	8
-14	8
-14	8
-18	12
-18	12
-16	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-18	12
-32	12
-16	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-18	12
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-18	12
-16	10
-14	8
-18	12
-22	16
-14	8
-14	8
-14	8
-14	8
-14	8
-24	18
-18	12
-14	18
-14	8
-18	12
-14	8
-14	8
-30	10
-16	10
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-22	16
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
8	10
-14	8
-14	8
-20	13
-14	8
-14	8
-16	10
-14	8
-14	8
-16	10
-16	10
-14	8
-278	296
-69	63
-26	20
-489	485
-154	154
-18	12
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-14	8
-24	18
-18	12
-16	10
-16	10
-14	8
-14	8
-14	8
-29	23
-14	8
-23	10
-26	20
-18	12
-16	10
-16	10
-19	19
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-39	12
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-31	11
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
8	10
8	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-20	14
-14	8
-14	8
-22	15
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-16	10
-14	8
-16	10
-14	8
-15	15
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-18	12
-14	8
-14	8
-20	14
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-21	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-38	18
-14	8
-14	8
-14	8
-12	12
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-26	20
-18	12
-20	14
-15	15
-16	10
-14	8
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-16	10
-19	37
-14	8
-16	10
-16	10
-14	8
-14	8
-14	8
-131	103
-373	359
-419	419
-134	134
-287	273
-42	42
-58	44
-14	8
-14	8
-16	10
8	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-23	10
-14	8
-14	8
-16	10
-14	8
-16	10
-14	8
-29	40
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-18	12
-16	10
-16	10
-16	10
-14	8
-16	10
-14	8
-22	16
-14	8
-38	32
-14	8
-14	8
-39	26
-24	18
-132	143
-16	10
-14	8
-18	12
-14	8
-21	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-44	38
6	12
-22	16
4	14
-58	44
-186	204
-14	8
-219	242
-299	286
-145	127
-107	59
-1001	1001
-392	396
-35	22
-46	26
-14	8
-14	8
-14	8
-111	105
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-16	10
-23	10
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-43	16
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-20	14
-14	8
-30	10
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-30	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-16	10
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-20	14
-44	38
-14	8
-14	8
-23	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-24	18
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-23	10
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
8	10
-14	8
-300	297
-712	678
-229	216
-214	232
-562	552
-1036	1001
-106	100
-153	140
-96	114
-444	455
-80	98
-110	128
-1015	1001
-898	909
-1050	1001
-122	140
-272	266
-1004	973
-1085	1001
-296	314
-833	830
-1008	1001
-1001	1001
-456	460
-1001	1001
-1025	1001
-749	767
-1008	1001
-744	741
-1015	1001
-784	795
-1008	1001
-1001	1001
-1001	1001
-1001	1001
-1015	1001
-463	481
-1001	1001
-1008	1001
-1008	1001
-1008	1001
-156	174
-559	577
-1008	1001
-805	823
-1008	1001
-494	505
-1008	1001
-1008	1001
-1008	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-1001	1001
-738	756
-221	225
-1001	1001
-879	897
-473	484
-1008	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1015	1001
-1001	1001
-1001	1001
-1008	1001
-38	32
-1008	1001
-1008	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1015	1001
-1022	1001
-1001	1001
-1001	1001
-925	936
-484	502
-1008	1001
-949	960
-1001	1001
-1001	1001
-1001	1001
-1022	1001
-1022	1001
-1001	1001
-407	425
-1008	1001
-1008	1001
-182	176
-1001	1001
-1022	1001
-1008	1001
-1008	1001
-1008	1001
-1001	1001
-1001	1001
-1015	1001
-348	359
-1001	1001
-1008	1001
-1015	1001
-1008	1001
-1001	1001
-1008	1001
-1022	1001
-1008	1001
-444	455
-1001	1001
-236	247
-1022	1001
-591	602
-1015	1001
-1015	1001
-300	318
-1008	1001
-210	190
-1022	1001
-1008	1001
-1001	1001
-1001	1001
-1022	1001
-1001	1001
-1001	1001
-1008	1001
-1015	1001
-1008	1001
-1008	1001
-1008	1001
-736	740
-1008	1001
-1001	1001
-1001	1001
-873	884
-272	269
-1001	1001
-809	827
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-506	524
-347	334
-402	382
-422	426
-1036	1001
-1008	1001
-1001	1001
-286	273
-1001	1001
-1001	1001
-545	563
-1001	1001
-562	573
-148	166
-1015	1001
-1008	1001
-1015	1001
-1015	1001
-566	577
-1001	1001
-1008	1001
-1001	1001
-380	398
-1015	1001
-135	153
-715	733
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1008	1001
-1015	1001
-1029	1001
-1008	1001
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1008	1001
-1001	1001
-983	1001
-1015	1001
-1008	1001
-1001	1001
-1008	1001
-1008	1001
-1015	1001
-1001	1001
-1001	1001
-598	609
-1043	1001
-121	125
-370	381
-1001	1001
-1001	1001
-1022	1001
-230	248
-1001	1001
-1022	1001
-1001	1001
-1008	1001
-1015	1001
-1001	1001
-1001	1001
-1015	1001
-1001	1001
-222	233
-1001	1001
-1008	1001
-1008	1001
-1015	1001
-1015	1001
-1001	1001
-1015	1001
-1008	1001
-1001	1001
-1015	1001
-1001	1001
-1001	1001
-527	545
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-386	397
-171	189
-133	127
-1001	1001
-1001	1001
-1001	1001
-1022	1001
-1001	1001
-972	990
-1001	1001
-1001	1001
-1029	1001
-1008	1001
-580	567
-362	380
-188	182
-1001	1001
-1001	1001
-78	96
-1015	1001
-1022	1001
-1001	1001
-1008	1001
-1001	1001
-1015	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-245	225
-1022	1001
-1008	1001
-1015	1001
-1008	1001
-1008	1001
-1001	1001
-218	236
-1001	1001
-1001	1001
-1008	1001
-954	965
-1008	1001
-1008	1001
-171	158
-1008	1001
-361	379
-1001	1001
-1022	1001
-1008	1001
-1001	1001
-735	753
-1001	1001
-632	643
-704	715
-613	631
-210	204
-505	485
-321	318
-1015	1001
-1001	1001
-1001	1001
-133	151
-1001	1001
-1001	1001
-1008	1001
-1015	1001
-1008	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1008	1001
-1015	1001
-717	700
-1008	1001
-1015	1001
-1001	1001
-570	588
-1008	1001
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1022	1001
-1001	1001
-1001	1001
-536	554
-208	226
-1015	1001
-1008	1001
-507	525
-1008	1001
-441	445
-237	255
-1008	1001
-1001	1001
-1001	1001
-1001	1001
-1015	1001
-1008	1001
-1015	1001
-1015	1001
-1015	1001
-214	232
-1022	1001
-1008	1001
-254	265
-1008	1001
-1008	1001
-728	725
-1001	1001
-1036	1001
-1001	1001
-1001	1001
-1001	1001
-258	276
-1001	1001
-227	238
-1015	1001
-1001	1001
-1008	1001
-847	865
-1001	1001
-1008	1001
-1001	1001
-1015	1001
-1001	1001
-1008	1001
-1001	1001
-884	895
-1001	1001
-551	562
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-1015	1001
-1001	1001
-1001	1001
-1015	1001
-1001	1001
-1022	1001
-731	742
-1001	1001
-1001	1001
-1001	1001
-136	154
-1008	1001
-1008	1001
-1015	1001
-1001	1001
-1015	1001
-1001	1001
-1008	1001
-470	488
-902	913
-1008	1001
-704	722
-158	176
-1008	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-191	202
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-260	240
-323	334
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-1022	1001
-1001	1001
-703	721
-235	253
-1001	1001
-1001	1001
-1008	1001
-1008	1001
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1001	1001
-1008	1001
-99	86
-1008	1001
-1001	1001
-804	815
-47	41
-1015	1001
-12	30
-786	797
-1015	1001
-1008	1001
-1001	1001
-1008	1001
-1008	1001
-496	507
-692	696
-1015	1001
-219	199
-1029	1001
-304	308
-632	636
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1001	1001
-1008	1001
-1008	1001
-1008	1001
-873	876
-1001	1001
-1001	1001
-1001	1001
-1008	1001
-1008	1001
-235	253
-347	351
-242	260
-431	428
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1015	1001
-653	664
-1001	1001
-1001	1001
-869	859
-1036	1001
-1008	1001
-1015	1001
-670	688
-655	666
-1022	1001
-1092	1001
-1001	1001
-1008	1001
