Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	11.712528467178345
State	Action	Q-value
0	0	-2.282384
0	1	-2.000000
0	2	-2.778224
0	3	-2.282583
1	0	-2.118670
1	1	0.000000
1	2	-2.567716
1	3	-2.171950
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-0.100000
3	1	0.000000
3	2	0.000000
3	3	1.574640
4	0	-2.480571
4	1	-2.480787
4	2	-2.496835
4	3	-2.821184
5	0	-2.483550
5	1	-2.573124
5	2	-2.664855
5	3	-2.568553
6	0	-2.480171
6	1	-2.902865
6	2	-2.487840
6	3	-2.495610
7	0	-1.724266
7	1	-1.555126
7	2	-1.647003
7	3	-1.542809
8	0	3.936959
8	1	-0.806500
8	2	-0.113000
8	3	-0.252000
9	0	-0.800000
9	1	-0.630137
9	2	-0.525284
9	3	-0.816380
10	0	-2.608084
10	1	-2.607910
10	2	-2.619265
10	3	-2.895005
11	0	-2.614307
11	1	-2.672123
11	2	-2.734290
11	3	-2.660500
12	0	-2.605719
12	1	-2.613469
12	2	-2.608245
12	3	-2.607311
13	0	-2.899300
13	1	-2.659455
13	2	-2.669140
13	3	-2.656703
14	0	-2.717208
14	1	-2.678024
14	2	-2.672832
14	3	-2.676994
15	0	-2.892120
15	1	-2.681257
15	2	-2.683577
15	3	-2.682423
16	0	-2.689932
16	1	-2.689851
16	2	-2.689700
16	3	-2.694386
17	0	-2.699300
17	1	-2.711705
17	2	-2.776316
17	3	-2.724663
18	0	-2.670491
18	1	-2.671910
18	2	-2.836991
18	3	-2.677394
19	0	-2.702306
19	1	-2.700708
19	2	-3.026556
19	3	-2.696644
20	0	-2.719879
20	1	-2.714753
20	2	-2.715610
20	3	-2.717296
21	0	-2.759386
21	1	-2.753698
21	2	-2.751785
21	3	-2.746489
22	0	-2.743830
22	1	-2.840805
22	2	-2.749185
22	3	-2.745367
23	0	-2.754545
23	1	-8.169726
23	2	-2.797942
23	3	-2.774437
24	0	-1.687784
24	1	-2.255518
24	2	-1.604357
24	3	-1.722346
25	0	-0.796167
25	1	-0.871881
25	2	-1.005093
25	3	-0.806500
26	0	-2.697219
26	1	-2.702663
26	2	-2.691813
26	3	-2.893265
27	0	-2.771685
27	1	-2.776437
27	2	-2.773898
27	3	-2.781480
28	0	-2.778038
28	1	-2.799332
28	2	-2.778449
28	3	-2.778088
29	0	-2.790454
29	1	-3.149156
29	2	-2.819343
29	3	-2.797384
30	0	-3.360885
30	1	-3.347921
30	2	-2.811948
30	3	-2.810933
31	0	-0.800000
31	1	-0.536128
31	2	-0.624171
31	3	-0.749573
32	0	-2.664262
32	1	-2.668615
32	2	-2.667103
32	3	-2.968499
33	0	-2.782350
33	1	-2.783505
33	2	-2.784277
33	3	-2.782320
34	0	-2.797657
34	1	-2.801396
34	2	-2.800369
34	3	-2.797447
35	0	-2.813795
35	1	-2.842861
35	2	-2.843045
35	3	-2.815136
36	0	-2.849108
36	1	-2.829247
36	2	-2.829304
36	3	-2.828919
Return	TimeSteps
-75	51
-149	139
-23	40
-45	69
-42	60
-81	70
-49	59
-118	135
-82	82
8	16
-81	98
-58	75
6	18
-44	68
-121	145
-18	22
8	16
-49	59
-84	77
-25	49
-59	83
-24	48
-76	73
-15	15
-30	47
-30	54
-17	41
-14	14
-76	76
-11	35
-68	92
-61	59
5	19
-17	34
-40	40
-14	14
-13	13
-63	87
-5	29
-36	60
-13	13
4	20
-56	80
-23	23
-36	29
-18	18
-11	28
-4	28
-25	49
-29	29
-15	33
0	24
-27	14
-29	46
-20	37
-12	12
-9	33
-73	66
-9	33
-35	28
-13	13
-23	23
-32	32
-26	26
-39	26
-15	39
12	12
-59	52
-31	31
-13	13
-14	14
-19	19
-26	50
-21	21
-10	10
-5	29
-19	19
11	13
-56	56
-16	16
-26	26
-14	14
-17	17
-24	24
-35	35
4	20
-17	17
-10	10
-21	21
-13	13
-21	21
-38	38
-31	31
-15	15
-11	11
-11	11
6	18
-2	26
-17	17
-22	22
-8	8
-24	18
-20	13
-19	19
-31	31
6	18
-18	18
-17	17
-10	10
-16	15
-8	32
-23	23
-11	11
-14	14
-20	20
-8	32
-12	12
-11	11
-11	11
-18	18
-22	22
-16	16
-19	12
-32	32
-9	9
-14	14
11	13
-11	11
-24	24
-12	12
-10	10
12	12
-23	23
-12	12
-13	13
-16	16
-16	16
-8	8
-21	21
-22	22
-8	8
-12	12
-15	15
-10	10
-20	20
-10	10
3	21
-22	22
-14	14
-23	23
-20	20
-10	10
-12	12
-11	11
-12	12
-13	13
-19	19
-18	18
-28	28
-13	13
-17	17
-10	10
-1	25
-26	26
-10	10
-17	17
-9	9
-8	8
-22	22
-11	11
-26	26
-21	21
-12	12
-13	13
3	21
-11	11
-8	8
-10	10
-39	32
11	13
-20	14
-23	23
-14	14
-13	13
-15	15
-10	10
