Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	11.797532558441162
State	Action	Q-value
0	0	-2.265566
0	1	-1.999657
0	2	-6.422126
0	3	-2.226753
1	0	-2.247472
1	1	0.000052
1	2	-3.730176
1	3	-2.194710
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	0.000000
3	1	-0.113000
3	2	0.000000
3	3	1.067008
4	0	-2.464421
4	1	-2.537014
4	2	-2.572493
4	3	-6.992957
5	0	-2.472297
5	1	-2.598519
5	2	-2.688196
5	3	-2.597036
6	0	-2.468157
6	1	-8.484589
6	2	-2.598656
6	3	-2.551121
7	0	-2.857208
7	1	-2.661809
7	2	-2.676770
7	3	-2.657962
8	0	0.005317
8	1	-0.291991
8	2	0.000000
8	3	-0.338762
9	0	-2.073716
9	1	-1.808693
9	2	-1.868540
9	3	-2.355637
10	0	-2.599878
10	1	-2.631088
10	2	-2.679165
10	3	-8.314552
11	0	-2.606553
11	1	-2.684372
11	2	-2.747752
11	3	-2.686655
12	0	-2.600119
12	1	-2.855907
12	2	-2.686926
12	3	-2.628122
13	0	-3.148376
13	1	-2.695556
13	2	-2.702038
13	3	-2.692739
14	0	-2.984674
14	1	-2.702784
14	2	-2.699282
14	3	-2.696682
15	0	-3.559562
15	1	-2.714217
15	2	-2.709989
15	3	-2.712581
16	0	-2.688624
16	1	-2.715607
16	2	-2.749514
16	3	-2.885761
17	0	-2.693974
17	1	-2.744615
17	2	-2.785489
17	3	-2.744845
18	0	-2.688393
18	1	-2.720828
18	2	-6.957830
18	3	-2.710815
19	0	-2.753696
19	1	-2.744378
19	2	-2.949567
19	3	-2.744980
20	0	-2.778707
20	1	-2.767587
20	2	-2.766452
20	3	-2.764005
21	0	-2.788493
21	1	-2.787127
21	2	-2.786703
21	3	-2.784607
22	0	-2.746915
22	1	-2.823370
22	2	-2.775200
22	3	-2.777084
23	0	-2.750966
23	1	-9.782806
23	2	-2.810646
23	3	-2.783708
24	0	-2.745212
24	1	-3.986788
24	2	-2.748512
24	3	-2.748344
25	0	-1.131038
25	1	-1.024339
25	2	-1.735008
25	3	-1.635722
26	0	-2.756083
26	1	-2.758429
26	2	-2.758534
26	3	-3.469466
27	0	-2.799474
27	1	-2.801353
27	2	-2.799565
27	3	-2.832101
28	0	-2.784951
28	1	-2.843763
28	2	-2.802807
28	3	-2.794959
29	0	-2.788094
29	1	-4.891805
29	2	-2.827190
29	3	-2.808801
30	0	-5.991397
30	1	-4.718256
30	2	-2.826061
30	3	-2.825100
31	0	-1.001468
31	1	-0.870284
31	2	-0.795457
31	3	-0.803969
32	0	-2.749422
32	1	-2.750468
32	2	-2.757695
32	3	-2.801012
33	0	-2.801938
33	1	-2.802057
33	2	-2.803816
33	3	-2.801034
34	0	-2.809259
34	1	-2.809876
34	2	-2.816224
34	3	-2.810187
35	0	-2.812253
35	1	-2.851897
35	2	-2.851976
35	3	-2.825282
36	0	-2.847740
36	1	-2.837920
36	2	-2.838864
36	3	-2.836268
Return	TimeSteps
-183	138
-54	78
-19	37
-68	72
-38	62
-135	143
-115	133
-34	45
-67	85
-5	29
-28	22
-129	132
-28	28
-28	52
-52	76
-122	132
-15	39
-34	34
-128	117
-52	76
-32	56
-10	10
-115	125
-26	26
-28	28
-45	69
-27	51
-38	62
-26	19
1	23
-75	69
-14	14
-20	13
-15	39
-20	44
-34	58
-49	36
-54	78
-18	33
-57	74
2	22
-14	25
-27	51
-11	11
-20	20
-30	30
-51	68
-13	31
-42	42
-25	12
6	18
-28	28
-47	64
-3	20
-4	28
-29	29
-51	51
-13	13
-32	32
-27	21
-37	60
2	22
-17	17
-21	44
-11	11
-12	12
-38	38
-37	30
-49	49
-2	26
-16	16
-29	29
-55	49
-18	18
-13	30
-24	24
-1	25
2	22
-20	20
-16	16
-27	51
-19	19
-22	22
-16	16
-22	22
-27	27
-5	29
-21	21
-39	39
10	14
-13	13
-34	34
-12	12
-18	18
-17	17
-17	17
-11	11
-36	29
-17	17
1	23
-1	25
-14	13
-13	13
-8	8
-17	17
-22	22
-46	44
-28	22
-19	19
-8	8
-11	11
14	10
2	22
-11	11
-8	8
-32	32
-27	27
-25	18
-29	27
-16	16
-10	10
10	14
-8	8
-20	20
-25	25
-8	8
5	19
-23	23
-16	16
-9	9
-11	11
-14	14
13	11
-12	11
-20	13
-12	12
-17	16
-8	8
-14	14
-39	32
-12	12
-8	8
-25	25
-12	12
-8	8
5	19
-9	9
-12	12
-8	8
3	21
-10	10
-26	26
-10	10
-12	12
-10	10
-8	8
-23	23
-8	8
-16	16
-8	8
-8	8
-11	11
-11	11
-10	10
5	19
-10	10
-8	8
-13	13
-8	8
-10	10
-8	8
-18	18
-8	8
-12	11
-11	11
-11	11
-13	13
-10	10
-26	19
-12	12
-17	17
-17	17
-13	13
-35	34
-11	11
-17	17
-19	19
-2	19
-18	17
-17	16
-30	30
-14	8
14	10
-18	18
-19	19
-22	22
-12	12
-23	23
-8	8
-9	9
-20	20
-9	9
-13	13
-24	17
-17	17
7	17
-19	19
-17	17
-16	16
-11	11
-38	38
-12	12
-31	31
-21	21
-14	8
6	18
-14	14
-18	18
-20	13
-11	11
-32	32
-13	13
-24	24
-22	15
-13	12
-10	10
-21	15
-28	28
-10	10
-10	10
-15	15
-26	26
-36	29
-9	9
-19	19
-24	24
-21	21
11	13
-27	27
12	12
-34	34
-15	15
-12	12
-15	15
-11	11
0	24
-13	13
-15	15
-13	13
-24	24
7	11
-9	33
-12	12
-13	13
