Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	70.04656934738159
State	Action	Q-value
0	0	-0.750449
0	1	4.266243
0	2	-0.759176
0	3	-0.798271
1	0	-0.205542
1	1	18.752075
1	2	-0.200000
1	3	-0.109718
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-0.112479
3	1	0.000000
3	2	-0.200000
3	3	2.400000
4	0	0.497976
4	1	-0.594151
4	2	-0.554523
4	3	-0.980000
5	0	0.466697
5	1	-0.611998
5	2	-0.606872
5	3	-0.674221
6	0	0.559651
6	1	-1.523500
6	2	-0.760717
6	3	-0.711358
7	0	-0.268900
7	1	-0.716000
7	2	-0.129877
7	3	-0.209745
8	0	7.428240
8	1	-0.800000
8	2	0.000000
8	3	0.000000
9	0	-0.200000
9	1	-0.330042
9	2	-0.222509
9	3	-0.800000
10	0	-0.786615
10	1	-1.251319
10	2	-1.289486
10	3	-1.523623
11	0	-0.799957
11	1	-1.272881
11	2	-1.332808
11	3	-1.271091
12	0	-0.845529
12	1	-1.212437
12	2	-1.200878
12	3	-1.225247
13	0	-2.175000
13	1	-1.511866
13	2	-1.507234
13	3	-1.305157
14	0	-2.128172
14	1	-1.522790
14	2	-1.533415
14	3	-1.463234
15	0	-2.178686
15	1	-1.459736
15	2	-1.533339
15	3	-1.520588
16	0	-1.268909
16	1	-1.470596
16	2	-1.526254
16	3	-1.523913
17	0	-1.268843
17	1	-1.457471
17	2	-1.521670
17	3	-1.463214
18	0	-1.307126
18	1	-1.497439
18	2	-2.182914
18	3	-1.456941
19	0	-1.459807
19	1	-1.534236
19	2	-2.178939
19	3	-1.458958
20	0	-1.520459
20	1	-1.535442
20	2	-1.538115
20	3	-1.514664
21	0	-1.516036
21	1	-1.523935
21	2	-1.537696
21	3	-1.534696
22	0	-1.446257
22	1	-1.519370
22	2	-1.536731
22	3	-1.533945
23	0	-1.442043
23	1	-2.182672
23	2	-1.536319
23	3	-1.520355
24	0	-0.323999
24	1	-0.800000
24	2	-0.361161
24	3	-0.444984
25	0	-0.348437
25	1	-0.346108
25	2	-0.800000
25	3	-0.800000
26	0	-1.533539
26	1	-1.537534
26	2	-1.538381
26	3	-2.178762
27	0	-1.533024
27	1	-1.535963
27	2	-1.538364
27	3	-1.537732
28	0	-1.521676
28	1	-1.536581
28	2	-1.538324
28	3	-1.537990
29	0	-1.520223
29	1	-1.537681
29	2	-1.538273
29	3	-1.536990
30	0	-2.278812
30	1	-2.274685
30	2	-1.538357
30	3	-1.534968
31	0	-0.800000
31	1	-0.313796
31	2	-0.246630
31	3	-0.246984
32	0	-1.537711
32	1	-1.538306
32	2	-1.538374
32	3	-2.174982
33	0	-1.537561
33	1	-1.538344
33	2	-1.538380
33	3	-1.538366
34	0	-1.536809
34	1	-1.538208
34	2	-1.538381
34	3	-1.538380
35	0	-1.536533
35	1	-1.538374
35	2	-1.538343
35	3	-1.538284
36	0	-1.537574
36	1	-1.538354
36	2	-1.538268
36	3	-1.538266
Return	TimeSteps
-108	70
-106	103
-279	258
-177	187
-2	26
-50	61
-113	137
-94	118
-80	97
-77	101
-273	276
-27	27
-41	45
-18	42
-48	48
-17	41
-163	173
10	14
-98	122
-48	72
-92	116
-24	48
8	16
-126	150
-18	42
-32	32
-18	18
-48	41
-77	101
7	17
-17	17
-46	46
-19	19
-85	109
-14	14
-17	17
-39	39
-30	30
-19	43
-7	31
-45	45
-100	117
-149	166
-11	11
8	16
-42	35
5	19
-25	25
-13	37
-82	106
-58	82
-30	54
-6	30
-2	26
-27	51
14	10
-6	30
0	18
-12	12
-32	56
-5	29
-26	50
-19	43
-50	50
-14	14
-5	29
-39	63
-38	38
-49	73
-14	14
-9	9
3	21
-20	37
-18	42
-16	16
-9	9
-21	45
-18	18
-19	43
2	22
-1	25
-7	31
-39	63
9	15
7	17
-21	45
-9	9
-47	71
-2	26
-22	46
-9	9
4	20
-37	37
-29	53
-11	11
-8	32
1	23
-5	29
-9	33
-26	50
-13	13
-60	84
7	17
-46	70
-3	27
-52	52
-29	46
-14	38
-20	20
7	17
-12	12
-8	8
-10	34
0	24
-3	27
-13	37
11	13
10	14
-17	17
-2	26
9	15
-25	49
-12	12
5	19
-38	55
-9	9
14	10
12	12
-11	35
-87	111
-16	16
-32	32
-9	33
5	19
-3	27
-31	55
-12	12
-9	9
-101	125
-4	28
-7	31
-8	8
3	21
-9	9
8	16
-17	17
-56	80
-9	9
-10	10
11	13
-10	34
-2	26
-16	40
-12	12
-8	8
-10	10
-28	52
12	12
1	23
-8	8
2	22
-3	27
-6	30
-16	40
-20	20
-23	47
-25	25
4	20
-11	11
-7	31
-13	37
-14	31
-3	27
-100	124
2	22
-89	113
6	18
5	19
-22	22
-3	27
-14	38
-20	44
-10	34
-6	30
-30	54
-23	47
-26	50
1	23
-35	35
-11	11
-27	51
-5	29
-8	8
4	20
-27	51
-8	8
9	15
-44	68
2	22
-2	26
7	17
1	23
-9	9
-29	53
5	19
0	24
-14	14
-28	28
-11	11
-2	26
-8	8
3	21
-23	23
-19	36
-36	60
13	11
-8	8
-1	25
1	23
-26	50
-10	34
-19	43
6	18
-52	76
-35	59
10	14
-23	23
-39	63
8	16
-8	8
-16	40
-23	47
-5	29
-5	29
-19	19
-75	99
-17	17
-14	14
6	18
-32	56
-23	47
-23	23
-32	56
10	14
-8	8
-3	27
1	23
-13	37
-16	16
-12	36
-8	8
-17	17
-12	36
12	12
-3	27
12	12
-23	23
-6	30
-5	29
-2	26
-86	110
-21	45
-17	17
-17	17
14	10
-4	28
-23	47
-10	10
-9	9
-22	46
2	22
-19	19
-16	16
5	19
12	12
-5	29
10	14
13	11
-22	22
1	23
-3	27
-27	51
-53	77
-30	54
11	13
-8	8
-23	47
-7	31
-14	14
-12	12
10	14
-19	19
-12	12
0	24
-29	53
-43	67
9	15
-10	34
1	23
-17	41
14	10
-9	9
1	23
14	10
14	10
9	15
-5	29
11	13
-8	8
-14	14
-23	23
10	14
-29	53
-9	9
-9	9
-10	10
2	22
-10	10
-4	28
-1	25
9	15
-8	8
5	19
10	14
-2	26
0	24
6	18
7	17
7	17
8	16
-16	40
6	18
14	10
-16	40
-10	34
-5	29
8	16
4	20
-19	43
-8	8
-12	12
-11	11
9	15
-12	12
-18	18
-11	11
-12	12
9	15
-8	8
4	20
-2	26
-24	24
-11	35
-3	27
-16	16
-18	18
12	12
-22	46
12	12
-17	17
-55	79
10	14
-11	11
10	14
11	13
-14	38
1	23
-9	9
5	19
-32	56
12	12
7	17
-9	9
-31	55
8	16
-8	8
14	10
-5	29
-40	64
7	17
-10	34
-10	10
-12	36
7	17
-11	11
-6	30
-19	43
-6	30
-19	19
6	18
5	19
-5	29
-95	119
-51	75
-18	42
-12	36
-12	12
-1	25
-44	68
-6	30
3	21
-22	22
11	13
-5	29
-9	9
-12	12
3	21
14	10
6	18
-10	10
13	11
-8	8
14	10
-15	15
2	22
6	18
2	22
5	19
-11	11
-11	11
-10	34
8	16
-15	15
-24	24
-43	67
-16	16
-33	33
-10	10
-1	25
-25	25
-3	27
-17	17
10	14
9	15
13	11
-32	32
-23	47
1	23
-14	38
-4	28
-10	10
-57	81
-2	26
-10	10
9	15
6	18
0	24
-17	17
-13	13
6	18
-8	8
-7	31
-18	18
-31	55
-14	14
-34	34
-30	54
-25	49
-4	28
-21	45
-3	27
-7	31
-29	53
1	23
-21	21
-19	43
-8	8
7	17
8	16
-26	50
13	11
-55	79
8	16
-25	49
6	18
-16	16
-13	13
10	14
5	19
-8	32
12	12
-6	30
-16	40
-8	8
4	20
0	24
12	12
0	24
4	20
3	21
12	12
7	17
-23	23
6	18
5	19
-21	21
-19	43
12	12
-2	26
-3	27
-2	26
8	16
4	20
-16	16
0	24
12	12
-3	27
-7	31
-16	16
-8	8
4	20
-5	29
10	14
7	17
-1	25
-15	39
3	21
-26	50
-22	46
-12	12
-26	50
10	14
-6	30
10	14
-8	32
-8	8
2	22
7	17
2	22
-3	27
-8	8
-8	8
8	16
4	20
11	13
12	12
11	13
-34	58
9	15
-29	53
-14	38
-14	14
-1	25
-8	8
-9	33
-11	11
-5	29
-54	78
-9	33
-6	30
10	14
-11	11
3	21
1	23
-7	31
11	13
-5	29
-29	53
10	14
-10	10
-12	12
-10	10
-7	31
-20	20
-8	8
-12	36
-9	33
-10	10
-17	17
-27	27
1	23
-6	30
-23	47
-23	23
-1	25
14	10
-24	48
2	22
-4	28
-11	11
-18	18
6	18
-21	21
-11	11
6	18
-14	38
5	19
-9	9
-9	33
3	21
-28	52
-10	34
11	13
-25	49
-8	32
-8	8
-21	21
4	20
13	11
-17	41
9	15
-16	16
12	12
-8	32
-8	8
-13	13
-9	9
-15	39
7	17
14	10
8	16
-20	20
12	12
-14	14
-2	26
-30	54
8	16
-11	11
-8	8
-38	62
-22	46
12	12
8	16
6	18
-10	10
-9	9
10	14
6	18
-4	28
10	14
-12	12
-21	21
0	24
-9	33
-8	8
-20	20
-5	29
-1	25
-25	25
10	14
-9	9
11	13
-17	17
-12	12
-8	32
-24	48
-81	105
-9	9
14	10
-1	25
-2	26
7	17
-8	8
-10	10
-34	34
4	20
-13	37
-63	87
-21	21
-11	35
0	24
7	17
-13	13
-42	66
-3	27
-3	27
-38	62
-9	33
9	15
-3	27
-26	50
-14	14
-15	39
-1	25
-11	35
-8	8
-20	20
-1	25
8	16
-9	33
2	22
9	15
6	18
0	24
-17	41
-21	45
7	17
-15	15
-8	8
0	24
-15	15
-17	41
7	17
-34	58
-46	70
7	17
-8	8
-16	40
-1	25
-48	72
6	18
-24	48
-9	9
10	14
-2	26
-84	108
6	18
-26	50
-13	37
1	23
-8	32
-9	9
-46	46
-39	63
-9	9
-9	33
-14	38
1	23
5	19
4	20
-11	35
-2	26
-8	8
-27	51
-9	33
-15	15
0	24
-6	30
-12	12
0	24
9	15
-14	14
-13	13
-2	26
1	23
-6	30
7	17
-11	35
-8	8
-13	13
-8	8
-33	57
-2	26
-3	27
8	16
11	13
-21	45
4	20
-11	11
-15	15
-45	69
7	17
-12	36
-10	10
-9	33
-18	42
-20	44
-12	36
10	14
-22	22
11	13
3	21
-10	10
4	20
-10	10
-8	8
14	10
-18	42
2	22
-13	13
-14	38
-43	67
-14	14
-18	18
-8	8
4	20
-7	31
14	10
-67	91
-11	11
-8	32
-10	34
-20	44
-13	13
-15	39
0	24
-19	43
-8	8
-30	54
-14	14
-18	18
4	20
-27	51
-8	8
-15	15
-16	16
3	21
-26	26
14	10
-22	22
-4	28
14	10
14	10
-5	29
-9	9
-14	14
-12	12
-10	10
11	13
-16	16
-74	98
-18	42
1	23
-13	13
-15	39
7	17
-8	32
-14	14
-11	11
-49	73
-10	10
-37	61
7	17
-3	27
-8	8
0	24
-18	18
-2	26
-2	26
-21	45
-49	73
-11	11
10	14
-21	21
-10	10
-13	13
-4	28
-11	11
-40	64
-34	58
-3	27
-45	69
-11	35
-15	15
2	22
-7	31
-31	55
-11	11
-8	8
0	24
-18	18
-22	46
8	16
1	23
-12	12
-10	10
-70	94
-8	8
-12	12
-12	12
-10	10
11	13
-1	25
3	21
-22	46
-6	30
3	21
3	21
-24	24
-13	13
-21	45
12	12
-9	33
-14	38
-49	73
-19	43
7	17
-9	9
-3	27
-11	11
6	18
-11	35
-53	77
-3	27
-19	43
3	21
-8	8
-20	20
10	14
-15	15
-11	35
6	18
-16	16
-9	33
-16	16
-10	34
-14	38
2	22
-21	21
11	13
-26	26
-8	32
-14	14
14	10
-7	31
4	20
-1	25
11	13
-17	17
-13	37
9	15
-3	27
-13	13
-13	13
-46	70
-25	49
-15	15
-28	52
-56	80
3	21
-48	72
3	21
-22	46
-24	48
2	22
6	18
-12	12
-3	27
-63	87
3	21
-28	52
9	15
-23	47
-22	22
-6	30
12	12
10	14
5	19
5	19
2	22
9	15
13	11
-16	40
12	12
-31	55
-12	36
2	22
-12	36
-31	55
-9	9
13	11
-19	43
13	11
-1	25
-10	34
2	22
-15	15
-41	65
-8	8
14	10
-9	9
-14	14
-25	25
-5	29
-8	8
-13	13
5	19
-2	26
-16	16
-11	35
-9	33
-14	38
7	17
9	15
6	18
14	10
-12	12
-2	26
-16	16
-26	50
4	20
-14	38
-9	9
13	11
-11	11
-10	10
9	15
-19	19
7	17
-8	32
7	17
-54	78
14	10
-8	8
3	21
-11	11
-18	42
-45	69
13	11
-4	28
-32	56
4	20
-27	27
13	11
-19	43
-18	18
-8	32
1	23
-14	14
8	16
1	23
-40	64
4	20
-26	50
10	14
11	13
-17	28
2	22
-17	41
14	10
-9	33
9	15
-12	36
-2	26
-18	42
-37	61
-19	43
12	12
-16	40
12	12
-13	13
-16	16
-10	10
5	19
-2	26
-36	60
6	18
-12	12
-7	31
-11	11
-17	17
-25	49
-18	42
-13	13
-15	15
-16	40
-16	16
8	16
-22	22
9	15
4	20
14	10
-22	22
-6	30
3	21
-28	52
-6	30
-26	50
-17	41
9	15
-12	36
-9	33
6	18
-52	76
-4	28
-8	8
4	20
-11	11
-8	8
-9	9
4	20
-29	29
-20	20
14	10
-20	44
6	18
5	19
8	16
-11	11
-16	16
-14	14
-14	14
12	12
-25	25
-7	31
-64	88
-73	97
13	11
1	23
-19	19
1	23
-15	15
-22	46
-11	11
1	23
-3	27
-7	31
5	19
4	20
9	15
-3	27
-3	27
-26	50
8	16
9	15
-11	35
-13	13
-3	27
-28	52
-18	18
-33	57
1	23
-56	80
-11	35
-12	36
10	14
-21	21
-6	30
-1	25
14	10
-35	59
12	12
-61	85
2	22
6	18
6	18
-11	35
6	18
1	23
-25	49
-15	15
-19	43
10	14
-9	33
9	15
-53	53
-1	25
-24	48
-21	45
-4	28
11	13
10	14
-31	31
-10	10
11	13
-9	33
-4	28
3	21
-3	27
5	19
-8	8
-15	15
-26	50
-36	60
-10	10
-9	9
-8	8
11	13
-10	10
2	22
10	14
-1	25
-26	26
-8	8
-13	13
-36	60
-10	10
-4	28
-14	38
12	12
-1	25
-21	45
12	12
-6	30
-16	16
-39	63
3	21
2	22
-8	8
-1	25
7	17
12	12
1	23
-13	13
1	23
9	15
-2	26
9	15
12	12
-29	53
-9	9
6	18
