Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	56.02254033088684
State	Action	Q-value
0	0	-0.509523
0	1	4.924282
0	2	-0.361066
0	3	-0.451115
1	0	0.000000
1	1	18.357766
1	2	-0.200000
1	3	-0.100000
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-0.117343
3	1	-0.113542
3	2	0.000000
3	3	0.000000
4	0	0.971822
4	1	-0.534927
4	2	-0.571201
4	3	-0.800000
5	0	0.900360
5	1	-0.588756
5	2	-0.461406
5	3	-0.515943
6	0	1.087893
6	1	-1.146500
6	2	-0.553598
6	3	-0.505471
7	0	-0.200000
7	1	-0.882800
7	2	-0.234505
7	3	-0.223909
8	0	10.233329
8	1	-0.200000
8	2	0.000000
8	3	0.000000
9	0	-0.800000
9	1	-0.225105
9	2	-0.517325
9	3	-0.800000
10	0	-0.523823
10	1	-1.240178
10	2	-1.370777
10	3	-2.189553
11	0	-0.546513
11	1	-1.221631
11	2	-1.406489
11	3	-1.285537
12	0	-0.465038
12	1	-1.242898
12	2	-1.257082
12	3	-1.119911
13	0	-2.334509
13	1	-1.655711
13	2	-1.662694
13	3	-1.232977
14	0	-2.271659
14	1	-1.716718
14	2	-1.782953
14	3	-1.554791
15	0	-2.766131
15	1	-1.564592
15	2	-1.791367
15	3	-1.724693
16	0	-1.209366
16	1	-1.592329
16	2	-1.747391
16	3	-1.732271
17	0	-1.215443
17	1	-1.557572
17	2	-1.750182
17	3	-1.554660
18	0	-1.226289
18	1	-1.675623
18	2	-2.350033
18	3	-1.564755
19	0	-1.556364
19	1	-1.785130
19	2	-2.344105
19	3	-1.560977
20	0	-1.721529
20	1	-1.790570
20	2	-1.809811
20	3	-1.703466
21	0	-1.742227
21	1	-1.719130
21	2	-1.812843
21	3	-1.783324
22	0	-1.545722
22	1	-1.726919
22	2	-1.806940
22	3	-1.788007
23	0	-1.561461
23	1	-2.790059
23	2	-1.805418
23	3	-1.727504
24	0	-0.526144
24	1	-0.980000
24	2	-0.640451
24	3	-0.683560
25	0	-0.476812
25	1	-0.461188
25	2	-0.800000
25	3	-0.997800
26	0	-1.779063
26	1	-1.812875
26	2	-1.816335
26	3	-2.780228
27	0	-1.793254
27	1	-1.794489
27	2	-1.817047
27	3	-1.810676
28	0	-1.722762
28	1	-1.800015
28	2	-1.814543
28	3	-1.812650
29	0	-1.721558
29	1	-1.812941
29	2	-1.814796
29	3	-1.793190
30	0	-3.666290
30	1	-3.310017
30	2	-1.816766
30	3	-1.797293
31	0	-0.800000
31	1	-0.352865
31	2	-0.564599
31	3	-0.419067
32	0	-1.806405
32	1	-1.816997
32	2	-1.816767
32	3	-2.909651
33	0	-1.811275
33	1	-1.815298
33	2	-1.816445
33	3	-1.816289
34	0	-1.793272
34	1	-1.814720
34	2	-1.816937
34	3	-1.816899
35	0	-1.794879
35	1	-1.816786
35	2	-1.816547
35	3	-1.814679
36	0	-1.810615
36	1	-1.816692
36	2	-1.816669
36	3	-1.813363
Return	TimeSteps
-214	201
-104	94
-95	54
-55	66
-12	36
-130	154
-22	39
-88	98
-69	93
-52	52
5	19
-36	47
-76	100
-48	72
-258	254
-96	96
-12	36
-101	80
-14	38
-26	26
-29	46
-23	23
-48	72
-2	26
-157	160
-6	30
-42	42
-49	73
-40	64
-102	126
-20	20
-23	47
9	15
-7	24
-13	37
-31	49
1	23
-15	39
5	19
-22	46
-1	25
-7	31
-74	98
8	16
-20	44
-26	26
-5	29
-19	19
-7	31
-6	30
-14	38
-42	35
-40	57
-106	130
-9	33
-10	34
-31	31
9	15
-58	76
-15	39
-28	28
-16	40
-11	11
-12	12
-25	25
-19	19
-6	23
-45	69
-18	18
3	21
-5	29
14	10
10	14
-14	14
2	22
-5	22
-17	41
-8	32
-24	48
-24	48
4	20
-5	29
-12	12
6	18
-53	70
-2	26
-10	10
10	14
-14	14
-9	9
-17	41
-9	9
-9	9
-26	26
-9	33
-16	40
-53	53
5	19
-17	17
14	10
-20	20
-14	38
-17	17
-9	9
-28	52
-31	48
-24	24
11	13
-17	17
-23	23
4	20
-24	48
-2	26
-17	41
10	14
7	17
-40	40
-25	49
9	15
-1	25
-13	13
-29	53
-12	12
-13	13
-18	42
-8	8
-9	9
-12	36
-23	47
4	20
-4	28
-44	68
-2	26
-3	27
-57	81
-14	14
-11	11
-14	14
-9	9
-11	11
-10	34
-8	8
5	19
1	23
12	12
-1	25
12	12
10	14
-14	14
-5	29
10	14
-9	9
2	22
7	17
-10	10
7	17
-13	37
3	21
-10	10
11	13
-9	9
-17	17
-6	23
-10	34
-1	25
-5	29
-13	13
-10	10
-10	10
-20	20
-8	8
-7	31
5	19
-3	27
-31	55
-5	22
-1	25
1	23
-15	39
-2	26
-13	37
-14	14
12	12
-12	12
3	21
-10	10
10	14
1	23
-14	14
-32	56
12	12
-10	10
10	14
-10	34
3	21
11	13
2	22
-6	30
-10	10
-16	16
-11	35
12	12
-2	26
3	21
-10	34
0	24
-22	46
-20	20
-1	25
-17	17
-8	8
-14	14
14	10
9	15
-9	9
-9	33
0	24
-12	36
5	19
9	15
-12	36
10	14
-6	30
-1	25
-15	15
1	23
-12	36
-7	31
-13	37
0	24
-16	16
-9	9
-13	13
-9	33
5	19
-8	8
9	15
-5	29
-10	10
-4	28
5	19
-18	18
5	19
0	24
-19	19
-11	35
-12	12
9	15
-15	15
6	18
1	23
14	10
8	16
-9	33
6	18
-4	28
-9	9
4	20
-10	34
11	13
7	17
-9	9
-22	22
-8	8
-11	11
7	17
-5	29
1	23
-11	11
-8	8
1	23
-10	10
-18	18
-11	35
14	10
-12	12
5	19
12	12
-23	23
13	11
3	21
-12	12
13	11
11	13
14	10
-8	32
8	16
-18	18
-20	44
13	11
-8	8
9	15
-8	8
-10	10
-14	14
-25	49
-8	8
8	16
10	14
-11	35
-16	40
-9	9
-21	45
12	12
-16	40
3	21
0	24
2	22
-15	39
7	17
-8	8
8	16
-8	8
-20	20
-14	14
-8	8
8	16
-13	13
6	18
3	21
2	22
-1	25
7	17
9	15
0	24
9	15
-9	33
-8	8
14	10
-12	36
12	12
14	10
-8	8
14	10
2	22
-8	8
-12	12
-8	8
10	14
-14	14
-8	8
-10	10
10	14
-8	8
-12	12
10	14
12	12
12	12
-21	21
4	20
-11	11
-8	8
-1	25
-8	8
-14	14
9	15
-23	23
13	11
14	10
8	16
-12	12
-12	12
-11	11
-6	30
-5	29
4	20
11	13
5	19
-13	13
10	14
-5	29
1	23
-21	45
-17	17
-15	15
12	12
-5	29
-25	25
9	15
9	15
-9	9
-22	46
10	14
-8	8
6	18
-16	16
-21	21
14	10
4	20
-1	25
-6	30
-1	25
4	20
3	21
10	14
-16	16
-8	8
-28	52
-8	8
-11	11
-16	16
-5	29
-8	8
12	12
-8	8
-11	35
-10	10
-11	11
6	18
-15	15
-11	11
8	16
-19	19
-12	12
13	11
-13	13
-28	52
-43	67
9	15
-9	9
2	22
-1	25
0	24
8	16
14	10
-9	9
6	18
9	15
14	10
-9	9
-10	10
11	13
-9	9
12	12
-8	8
-8	8
0	24
9	15
-11	11
11	13
4	20
1	23
-8	8
-10	10
2	22
-10	10
8	16
-10	10
-2	26
9	15
-8	8
5	19
13	11
-5	29
0	24
6	18
8	16
-8	32
-17	41
5	19
13	11
-22	22
7	17
13	11
2	22
-5	29
9	15
-11	11
14	10
3	21
5	19
-9	9
-12	12
-11	11
9	15
-12	12
-18	18
-11	11
-12	12
9	15
-8	8
12	12
-16	16
8	16
-37	61
-3	27
-16	16
-31	55
-13	13
3	21
-17	17
-22	46
-32	32
10	14
-11	11
4	20
-8	8
-12	36
10	14
-12	12
11	13
7	17
8	16
8	16
7	17
12	12
14	10
7	17
-25	49
2	22
-8	8
5	19
5	19
5	19
4	20
3	21
5	19
-2	26
-8	8
-9	33
-12	12
7	17
-11	11
-6	30
10	14
-7	31
-6	30
-16	16
5	19
6	18
8	16
-12	12
-61	85
-2	26
-8	8
-18	42
-16	16
-11	11
-10	10
3	21
-12	12
-12	36
0	24
-12	12
-8	32
-10	34
-18	18
-16	16
7	17
-22	22
11	13
-4	28
14	10
-12	12
3	21
-8	8
4	20
-10	10
-8	8
-11	11
14	10
5	19
-8	8
10	14
-13	13
11	13
4	20
8	16
-27	27
14	10
8	16
-8	8
13	11
-9	9
-17	17
-39	39
-23	47
-8	8
-25	25
-9	9
7	17
-10	10
-32	32
7	17
-16	16
10	14
8	16
12	12
-9	9
-15	15
3	21
-8	8
-22	22
-3	27
3	21
-9	33
14	10
-2	26
-34	58
-6	30
-10	10
-8	8
-1	25
0	24
-32	25
2	22
-9	9
-12	36
-15	39
-26	26
6	18
-26	26
-11	11
3	21
-2	26
-4	28
2	22
9	15
12	12
4	20
0	24
7	17
-9	9
-8	32
-28	52
-6	30
9	15
0	24
-17	17
-8	8
-9	9
14	10
11	13
-13	13
-12	36
13	11
14	10
-1	25
-5	29
12	12
7	17
-24	48
6	18
-16	16
-13	13
10	14
-14	14
-16	16
5	19
12	12
12	12
11	13
-11	11
-20	44
6	18
0	24
12	12
0	24
-8	8
13	11
3	21
14	10
-13	13
1	23
-7	31
-13	13
-15	15
-8	8
-16	40
-9	9
-2	26
8	16
-8	8
-10	10
8	16
13	11
-10	10
-20	20
-14	14
14	10
-12	12
12	12
13	11
-13	13
-9	33
9	15
-9	9
4	20
7	17
-11	11
10	14
6	18
-22	22
-5	29
-11	11
3	21
-1	25
-10	10
4	20
-15	15
2	22
-9	9
-15	15
11	13
-10	10
-9	9
8	16
-8	32
10	14
4	20
13	11
-8	8
2	22
7	17
3	21
4	20
10	14
-8	8
7	17
3	21
11	13
13	11
10	14
8	16
10	14
4	20
3	21
-29	53
-1	25
-12	12
-14	14
12	12
14	10
-9	9
-10	34
-11	11
-15	15
-13	13
6	18
14	10
-25	25
-21	21
-12	12
-12	12
-9	9
-8	8
11	13
4	20
-12	12
3	21
1	23
-14	14
3	21
9	15
-8	8
11	13
-11	35
-13	13
6	18
-9	9
1	23
-7	31
-18	18
-2	26
-15	15
13	11
-6	30
-13	13
-16	40
12	12
-11	11
-20	20
-8	8
-22	46
-23	23
-1	25
11	13
7	17
8	16
0	24
-16	16
-3	20
-9	9
-13	13
-1	25
-14	14
6	18
6	18
8	16
9	15
-5	29
-15	15
11	13
-9	9
5	19
-8	8
-10	34
-10	10
8	16
-10	10
-8	8
-8	8
-26	50
-11	11
11	13
-9	9
-8	8
-12	12
-4	28
13	11
-15	39
7	17
-16	16
12	12
-8	32
-8	8
8	16
-20	44
13	11
10	14
4	20
-19	19
4	20
8	16
-24	24
-17	41
2	22
-11	11
-8	8
3	21
-9	33
8	16
-12	36
12	12
8	16
6	18
-10	10
-9	9
10	14
7	17
11	13
9	15
10	14
-12	12
-16	16
-14	14
-12	12
7	17
-9	9
-8	8
-8	8
-16	16
-9	9
-19	19
-13	13
-10	10
-18	42
-11	11
-14	14
-16	16
-12	12
-7	31
6	18
0	24
-16	16
0	24
7	17
-14	38
12	12
-9	9
-10	10
2	22
-5	29
7	17
-8	8
-9	9
-8	32
-9	9
9	15
-19	19
-15	15
-12	12
-43	67
-9	9
-18	18
-5	29
-6	30
-11	11
5	19
-10	10
-9	9
7	17
-10	10
-16	40
-5	29
-13	37
-18	18
4	20
-4	28
-8	8
-11	35
-12	12
-4	28
-13	13
5	19
5	19
2	22
-15	39
-8	8
-14	14
-13	13
8	16
-29	53
7	17
6	18
13	11
-9	9
-1	25
-11	11
-2	26
-9	9
14	10
-23	23
7	17
-15	15
-8	8
13	11
-13	13
9	15
-18	18
-8	8
-12	12
7	17
-10	10
-14	14
-8	32
-22	46
-15	15
-9	9
9	15
-12	12
-13	13
2	22
-1	25
-17	17
-29	53
5	19
-10	34
11	13
-9	9
10	14
1	23
0	24
-62	86
12	12
-9	9
-2	26
9	15
-9	9
-7	31
-19	19
-9	9
-2	26
-9	9
-14	14
-7	31
2	22
7	17
2	22
-9	9
-24	24
11	13
-9	33
1	23
5	19
4	20
-11	11
1	23
-3	27
-8	8
-26	50
-9	33
-11	11
-4	28
-9	9
4	20
-10	10
-2	26
9	15
-14	14
-13	13
-2	26
-20	20
3	21
-8	8
4	20
-26	26
-11	11
5	19
-8	8
-8	32
0	24
-2	26
-3	27
8	16
11	13
-28	45
-10	10
-8	8
-11	11
-16	16
12	12
-20	44
13	11
7	17
-14	38
-4	28
-13	13
12	12
-22	22
-8	8
-8	8
14	10
2	22
-12	36
10	14
-18	18
2	22
-8	8
7	17
3	21
-10	10
-8	8
-10	10
13	11
-6	30
2	22
-13	13
-14	38
3	21
-2	26
-12	12
4	20
-14	14
-12	12
-1	25
-14	14
2	22
-67	91
-13	13
-41	65
-22	46
-10	10
-16	40
7	17
13	11
-14	38
-8	8
-30	54
-14	14
-18	18
4	20
-24	48
14	10
-12	12
2	22
5	19
-14	14
-12	12
-8	32
-10	10
-13	13
-8	8
2	22
-8	8
-9	9
-19	19
-22	22
-10	10
11	13
-16	16
-10	34
-20	20
-5	29
12	12
-18	42
0	24
-12	12
-15	39
7	17
-8	32
-14	14
-12	12
-31	31
-4	28
-11	11
