Goal	Drop	Early	Total
20000	0	0	20000
Wall Time[s]	133.82156944274902
State	Action	Q-value
0	0	1.913162
0	1	8.404849
0	2	-0.430227
0	3	1.404904
1	0	-0.206630
1	1	23.800919
1	2	-0.388100
1	3	-0.108753
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-0.109000
3	1	0.000000
3	2	0.000000
3	3	18.813657
4	0	2.326132
4	1	-0.253384
4	2	-1.365981
4	3	-0.814733
5	0	2.166970
5	1	-0.174693
5	2	-1.485070
5	3	-0.300597
6	0	2.205501
6	1	-4.736802
6	2	-1.387518
6	3	-0.237890
7	0	0.537732
7	1	-0.493153
7	2	-0.717458
7	3	-0.260724
8	0	19.537277
8	1	0.000000
8	2	0.000000
8	3	0.000000
9	0	-1.069938
9	1	-1.096005
9	2	-0.998734
9	3	-0.047031
10	0	-0.120380
10	1	-1.292267
10	2	-1.738068
10	3	-6.948495
11	0	-0.401735
11	1	-1.331496
11	2	-1.761214
11	3	-1.321130
12	0	-0.204052
12	1	-1.611498
12	2	-1.704257
12	3	-1.400544
13	0	-6.835179
13	1	-1.065657
13	2	-1.806574
13	3	-1.278956
14	0	0.963872
14	1	-1.710020
14	2	-1.723620
14	3	-1.678619
15	0	-7.623492
15	1	-1.734960
15	2	-1.807159
15	3	-1.047652
16	0	-1.231429
16	1	-1.720239
16	2	-1.804635
16	3	-1.660024
17	0	-1.402302
17	1	-1.683227
17	2	-1.806717
17	3	-1.677859
18	0	-1.384325
18	1	-1.739420
18	2	-7.851866
18	3	-1.733790
19	0	-1.607942
19	1	-1.712712
19	2	-7.736105
19	3	-1.660219
20	0	-0.848197
20	1	-1.797708
20	2	-1.800948
20	3	-1.747769
21	0	-1.600987
21	1	-1.793691
21	2	-1.814628
21	3	-1.662994
22	0	-1.705432
22	1	-1.807444
22	2	-1.815285
22	3	-1.782675
23	0	-1.741580
23	1	-8.566569
23	2	-1.815487
23	3	-1.796393
24	0	-1.633195
24	1	-3.952372
