epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.702,0.6953,0.49893902956570946,0.3329,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
2,0.6948,0.6935,0.49893902956570946,0.3329,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
3,0.6935,0.6929,0.49893902956570946,0.3329,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
4,0.677,0.6528,0.5010609704342905,0.3338,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
5,0.6339,0.626,0.6942990521997454,0.6789,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
6,0.6161,0.6126,0.7143867590889801,0.7088,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
7,0.6062,0.6044,0.7187721035507144,0.7157,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
8,0.5993,0.5985,0.7197623426227189,0.7175,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
9,0.5942,0.5934,0.7213184325930118,0.7195,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
10,0.5895,0.5893,0.721742820766728,0.7201,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
11,0.5859,0.5859,0.7221672089404442,0.7207,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
12,0.5832,0.5827,0.7247135379827415,0.724,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -Adagrad-0.01-0"
