epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.5659,0.5451,0.7272598670250389,0.7272,MLP520-Tanh-Adagrad-0.01-0
2,0.5405,0.5398,0.7339086150799264,0.7329,MLP520-Tanh-Adagrad-0.01-0
3,0.5336,0.5393,0.7337671523553544,0.732,MLP520-Tanh-Adagrad-0.01-0
4,0.5298,0.5433,0.7317866742113454,0.7278,MLP520-Tanh-Adagrad-0.01-0
5,0.5269,0.5313,0.7344744659782148,0.7344,MLP520-Tanh-Adagrad-0.01-0
6,0.5249,0.5286,0.7377281086433725,0.737,MLP520-Tanh-Adagrad-0.01-0
7,0.5217,0.527,0.7371622577450841,0.7366,MLP520-Tanh-Adagrad-0.01-0
8,0.5214,0.5263,0.7374451831942284,0.7365,MLP520-Tanh-Adagrad-0.01-0
9,0.5193,0.5278,0.7350403168765031,0.7332,MLP520-Tanh-Adagrad-0.01-0
10,0.5169,0.5257,0.7364549441222238,0.7352,MLP520-Tanh-Adagrad-0.01-0
11,0.5172,0.5231,0.7378695713679445,0.7376,MLP520-Tanh-Adagrad-0.01-0
12,0.5163,0.5221,0.7394256613382374,0.739,MLP520-Tanh-Adagrad-0.01-0
13,0.5159,0.5214,0.7381524968170887,0.7375,MLP520-Tanh-Adagrad-0.01-0
14,0.515,0.522,0.7378695713679445,0.7366,MLP520-Tanh-Adagrad-0.01-0
15,0.5143,0.5206,0.738718347715377,0.7383,MLP520-Tanh-Adagrad-0.01-0
16,0.514,0.5212,0.7382939595416608,0.7371,MLP520-Tanh-Adagrad-0.01-0
17,0.5127,0.5199,0.7381524968170887,0.7375,MLP520-Tanh-Adagrad-0.01-0
18,0.5126,0.5198,0.7382939595416608,0.7378,MLP520-Tanh-Adagrad-0.01-0
19,0.5127,0.5242,0.7364549441222238,0.7341,MLP520-Tanh-Adagrad-0.01-0
20,0.5129,0.52,0.738718347715377,0.7377,MLP520-Tanh-Adagrad-0.01-0
21,0.5119,0.522,0.742537841278823,0.7425,MLP520-Tanh-Adagrad-0.01-0
22,0.5114,0.5204,0.742537841278823,0.7425,MLP520-Tanh-Adagrad-0.01-0
23,0.5111,0.5187,0.7391427358890932,0.739,MLP520-Tanh-Adagrad-0.01-0
24,0.5118,0.5186,0.7394256613382374,0.7391,MLP520-Tanh-Adagrad-0.01-0
25,0.5104,0.5205,0.7373037204696562,0.7356,MLP520-Tanh-Adagrad-0.01-0
26,0.5123,0.5179,0.7381524968170887,0.7377,MLP520-Tanh-Adagrad-0.01-0
27,0.5113,0.5182,0.7401329749610978,0.74,MLP520-Tanh-Adagrad-0.01-0
28,0.5121,0.5183,0.7395671240628094,0.7395,MLP520-Tanh-Adagrad-0.01-0
29,0.5117,0.5184,0.7398500495119535,0.739,MLP520-Tanh-Adagrad-0.01-0
30,0.5112,0.5184,0.7395671240628094,0.7395,MLP520-Tanh-Adagrad-0.01-0
31,0.5104,0.519,0.7406988258593861,0.7407,MLP520-Tanh-Adagrad-0.01-0
32,0.5095,0.5198,0.7415476022068185,0.7415,MLP520-Tanh-Adagrad-0.01-0
33,0.5103,0.5177,0.7394256613382374,0.7392,MLP520-Tanh-Adagrad-0.01-0
34,0.5104,0.5182,0.7390012731645211,0.7379,MLP520-Tanh-Adagrad-0.01-0
35,0.5096,0.5194,0.7375866459188004,0.7361,MLP520-Tanh-Adagrad-0.01-0
36,0.5094,0.5207,0.7416890649313905,0.7417,MLP520-Tanh-Adagrad-0.01-0
37,0.5103,0.5221,0.7371622577450841,0.7348,MLP520-Tanh-Adagrad-0.01-0
38,0.5103,0.5181,0.7397085867873815,0.7387,MLP520-Tanh-Adagrad-0.01-0
39,0.5102,0.5183,0.7391427358890932,0.7382,MLP520-Tanh-Adagrad-0.01-0
40,0.5099,0.5185,0.738718347715377,0.7374,MLP520-Tanh-Adagrad-0.01-0
41,0.5104,0.5174,0.7398500495119535,0.7392,MLP520-Tanh-Adagrad-0.01-0
42,0.5104,0.5183,0.7392841986136653,0.7382,MLP520-Tanh-Adagrad-0.01-0
