epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6975,0.6966,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
2,0.6951,0.6965,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
3,0.695,0.6932,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
4,0.6949,0.6934,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
5,0.6944,0.6938,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
6,0.6943,0.6963,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
7,0.6967,0.6931,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
8,0.6947,0.7013,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
9,0.6945,0.699,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
10,0.6971,0.6936,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
11,0.6959,0.6948,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
12,0.6947,0.6931,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
13,0.6948,0.6933,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
14,0.6947,0.6954,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
15,0.6946,0.7039,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
16,0.6954,0.6931,0.5062950912434574,0.3361,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
17,0.695,0.695,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
18,0.6952,0.6967,0.49370490875654266,0.3305,"MLP20-LeakyReLU(negative_slope=0.01)
      (2): Dropout(p=0.0, inplace=False)
    )
    (1-19): 19 x Sequential(
      (0): Linear(in_features=3, out_features=3, bias=True)
      -SGD-0.1-0"
