epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.5593,0.5422,0.7300891215164804,0.7292,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
2,0.5292,0.5401,0.7303720469656245,0.7274,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
3,0.5241,0.5323,0.733059838732494,0.7317,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
4,0.5189,0.5335,0.7340500778044985,0.734,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
5,0.5161,0.5298,0.736737869571368,0.7366,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
6,0.5132,0.5272,0.7371622577450841,0.7357,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
7,0.5113,0.5314,0.7356061677747914,0.7356,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
8,0.5097,0.5287,0.7371622577450841,0.7372,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
9,0.5072,0.5257,0.7370207950205121,0.7344,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
10,0.507,0.5442,0.7281086433724714,0.722,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
11,0.5072,0.528,0.7364549441222238,0.7332,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
12,0.504,0.527,0.7370207950205121,0.7351,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
13,0.5051,0.5205,0.740557363134814,0.7402,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
14,0.5042,0.5207,0.7398500495119535,0.7381,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
15,0.5033,0.5209,0.7416890649313905,0.7413,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
16,0.503,0.5191,0.7426793040033951,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
17,0.5014,0.5227,0.7394256613382374,0.737,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
18,0.5021,0.5216,0.7418305276559627,0.7418,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
19,0.5007,0.5221,0.7365964068467958,0.7347,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
20,0.5005,0.5185,0.7415476022068185,0.7409,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
21,0.5008,0.5174,0.7429622294525392,0.7423,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
22,0.4997,0.5298,0.7347573914273589,0.7312,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
23,0.4999,0.5219,0.7388598104399491,0.7365,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
24,0.4996,0.5185,0.7398500495119535,0.7389,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
25,0.4993,0.5214,0.7418305276559627,0.7418,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
26,0.4986,0.5206,0.7402744376856698,0.7382,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
27,0.4991,0.5189,0.7392841986136653,0.7377,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
28,0.4987,0.5182,0.7406988258593861,0.7396,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
29,0.4986,0.518,0.7411232140331023,0.74,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
30,0.4981,0.5181,0.7426793040033951,0.7421,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
31,0.4982,0.5178,0.7412646767576744,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
32,0.4979,0.5204,0.7392841986136653,0.7379,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
33,0.4977,0.5171,0.7402744376856698,0.7396,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
34,0.4971,0.5218,0.7378695713679445,0.7355,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
35,0.4975,0.5203,0.7428207667279672,0.7423,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
36,0.4971,0.5199,0.7378695713679445,0.7361,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
37,0.4978,0.5202,0.7395671240628094,0.7376,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
38,0.4972,0.5187,0.744235393973688,0.744,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
39,0.4969,0.5171,0.7453670957702645,0.745,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
40,0.4971,0.5184,0.7440939312491158,0.7439,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
41,0.4966,0.5215,0.7385768849908049,0.7363,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
42,0.4966,0.5194,0.7433866176262555,0.7434,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
43,0.4965,0.5211,0.7388598104399491,0.7366,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
44,0.4968,0.5181,0.7422549158296788,0.7416,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
45,0.497,0.5181,0.7392841986136653,0.7381,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
46,0.4965,0.5199,0.7378695713679445,0.7357,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
47,0.4966,0.5186,0.7394256613382374,0.738,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
48,0.4967,0.5188,0.7394256613382374,0.7381,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
49,0.4954,0.5197,0.7399915122365257,0.7387,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
50,0.496,0.5189,0.7431036921771114,0.7427,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
51,0.4959,0.5192,0.7470646484651294,0.747,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
52,0.4956,0.5186,0.7401329749610978,0.739,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
53,0.4958,0.5191,0.7390012731645211,0.7375,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
54,0.4961,0.5189,0.740557363134814,0.7395,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
55,0.4956,0.5171,0.7433866176262555,0.7429,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
56,0.4966,0.5178,0.7419719903805347,0.7413,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
57,0.4948,0.522,0.7445183194228321,0.7444,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
58,0.4959,0.5186,0.7406988258593861,0.7401,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
59,0.4955,0.5181,0.7432451549016834,0.7425,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
60,0.4957,0.5207,0.738718347715377,0.737,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
61,0.4955,0.5224,0.74437685669826,0.7444,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
62,0.4957,0.5183,0.7448012448719762,0.7447,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
63,0.495,0.52,0.7382939595416608,0.7367,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
64,0.4958,0.5181,0.7411232140331023,0.74,SmallMLP-Tanh-Adagrad-0.1-0_Batch32
