epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
1,0.584,0.5443,0.5438,0.7271570014144272,0.7271,0.7373037204696562,0.7373,0.7360882711792478,0.736,SmallMLP-Tanh-Adagrad-0.1-0
2,0.544,0.5306,0.53,0.7295615275813295,0.7254,0.7344744659782148,0.7319,0.7362120488745071,0.7317,SmallMLP-Tanh-Adagrad-0.1-0
3,0.538,0.5221,0.5229,0.7367751060820368,0.7352,0.7422549158296788,0.7416,0.7421003306632716,0.7403,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5331,0.5381,0.5406,0.7306930693069307,0.7303,0.7375866459188004,0.7367,0.7343907485014057,0.7341,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5295,0.5324,0.5352,0.7333804809052333,0.7332,0.74437685669826,0.7437,0.736954715046063,0.7368,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5281,0.5163,0.5179,0.7400282885431401,0.7379,0.7474890366388457,0.7465,0.7447350273195056,0.7425,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5257,0.5234,0.5263,0.7322489391796323,0.7265,0.7358890932239355,0.7321,0.7366187470160734,0.7303,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5252,0.5225,0.5251,0.7340876944837341,0.7282,0.734898854151931,0.7309,0.7365656994323908,0.7302,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5218,0.5163,0.5182,0.7379066478076379,0.734,0.7416890649313905,0.7391,0.7423478860537902,0.7381,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5209,0.5156,0.5178,0.7411598302687411,0.7411,0.7479134248125618,0.7479,0.7457782964652627,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5205,0.5198,0.5227,0.7404526166902404,0.7405,0.7479134248125618,0.7478,0.7443283291779392,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5216,0.5334,0.5351,0.7256011315417256,0.7171,0.7317866742113454,0.7257,0.7316676392057009,0.7226,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5196,0.5154,0.5179,0.7377652050919378,0.7335,0.742537841278823,0.7398,0.7428076317790391,0.7382,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5192,0.5165,0.5191,0.7404526166902404,0.7405,0.7484792757108502,0.7483,0.7443460117058335,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5181,0.5132,0.5163,0.742998585572843,0.743,0.7487622011599944,0.7487,0.7471752161689035,0.7471,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5173,0.5146,0.5172,0.7380480905233381,0.7339,0.7418305276559627,0.739,0.7420119180238007,0.7375,SmallMLP-Tanh-Adagrad-0.1-0
17,0.5165,0.5105,0.5128,0.7463932107496464,0.7461,0.7497524402319988,0.7497,0.749473944795148,0.7491,SmallMLP-Tanh-Adagrad-0.1-0
18,0.5176,0.5115,0.5147,0.7452616690240452,0.7452,0.7491865893337105,0.7492,0.7481831202588722,0.748,SmallMLP-Tanh-Adagrad-0.1-0
