epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.5744,0.5404,0.7356061677747914,0.7332,SmallMLP-Tanh-Adagrad-0.1-0
2,0.539,0.5806,0.7010892629792049,0.6966,SmallMLP-Tanh-Adagrad-0.1-0
3,0.5305,0.5246,0.7418305276559627,0.7378,SmallMLP-Tanh-Adagrad-0.1-0
4,0.5238,0.5276,0.736737869571368,0.7366,SmallMLP-Tanh-Adagrad-0.1-0
5,0.5207,0.5191,0.7411232140331023,0.7401,SmallMLP-Tanh-Adagrad-0.1-0
6,0.5184,0.5183,0.7438110057999717,0.74,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5176,0.5243,0.7399915122365257,0.733,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5142,0.5157,0.7448012448719762,0.7412,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5132,0.518,0.7419719903805347,0.7371,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5134,0.5139,0.7450841703211204,0.7414,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5106,0.5142,0.7422549158296788,0.7381,SmallMLP-Tanh-Adagrad-0.1-0
12,0.508,0.5125,0.7448012448719762,0.7414,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5092,0.5218,0.7385768849908049,0.7315,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5068,0.5169,0.7456500212194087,0.7406,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5077,0.5097,0.7453670957702645,0.7442,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5062,0.5168,0.7445183194228321,0.7392,SmallMLP-Tanh-Adagrad-0.1-0
17,0.507,0.5276,0.7374451831942284,0.7284,SmallMLP-Tanh-Adagrad-0.1-0
18,0.5059,0.5103,0.74437685669826,0.7439,SmallMLP-Tanh-Adagrad-0.1-0
19,0.5052,0.5113,0.7426793040033951,0.7423,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5049,0.5204,0.7406988258593861,0.7334,SmallMLP-Tanh-Adagrad-0.1-0
21,0.5041,0.5104,0.7486207384354223,0.745,SmallMLP-Tanh-Adagrad-0.1-0
22,0.505,0.5124,0.7464987975668411,0.7419,SmallMLP-Tanh-Adagrad-0.1-0
23,0.5043,0.5079,0.7487622011599944,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
24,0.5028,0.5083,0.7467817230159853,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
25,0.5036,0.5074,0.7477719620879898,0.746,SmallMLP-Tanh-Adagrad-0.1-0
26,0.5033,0.5116,0.7435280803508275,0.7433,SmallMLP-Tanh-Adagrad-0.1-0
27,0.5028,0.5081,0.7446597821474041,0.7437,SmallMLP-Tanh-Adagrad-0.1-0
28,0.5028,0.5114,0.742396378554251,0.7422,SmallMLP-Tanh-Adagrad-0.1-0
29,0.5019,0.5077,0.7479134248125618,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
30,0.502,0.5089,0.7477719620879898,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
31,0.5039,0.5088,0.7455085584948367,0.745,SmallMLP-Tanh-Adagrad-0.1-0
32,0.5019,0.5134,0.7435280803508275,0.7435,SmallMLP-Tanh-Adagrad-0.1-0
33,0.5027,0.5087,0.7487622011599944,0.7458,SmallMLP-Tanh-Adagrad-0.1-0
34,0.5013,0.5068,0.7491865893337105,0.7477,SmallMLP-Tanh-Adagrad-0.1-0
35,0.5012,0.5092,0.7479134248125618,0.7444,SmallMLP-Tanh-Adagrad-0.1-0
36,0.5011,0.5077,0.7472061111897015,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
37,0.5015,0.5122,0.742537841278823,0.7424,SmallMLP-Tanh-Adagrad-0.1-0
38,0.5018,0.5118,0.7435280803508275,0.7434,SmallMLP-Tanh-Adagrad-0.1-0
39,0.5019,0.5091,0.7470646484651294,0.7436,SmallMLP-Tanh-Adagrad-0.1-0
40,0.5005,0.5106,0.7431036921771114,0.7429,SmallMLP-Tanh-Adagrad-0.1-0
