epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.6815,0.5973,0.7012307257037771,0.6851,SmallMLP-Tanh-SGD-0.1-0
2,0.5687,0.5455,0.7303720469656245,0.7232,SmallMLP-Tanh-SGD-0.1-0
3,0.566,0.5557,0.7247135379827415,0.7134,SmallMLP-Tanh-SGD-0.1-0
4,0.5758,0.5609,0.7361720186730797,0.7331,SmallMLP-Tanh-SGD-0.1-0
5,0.5595,0.5381,0.7390012731645211,0.7352,SmallMLP-Tanh-SGD-0.1-0
6,0.5532,0.5831,0.6933088131277408,0.6874,SmallMLP-Tanh-SGD-0.1-0
7,0.5388,0.5263,0.7370207950205121,0.7363,SmallMLP-Tanh-SGD-0.1-0
8,0.5425,0.5302,0.7381524968170887,0.738,SmallMLP-Tanh-SGD-0.1-0
9,0.5407,0.5418,0.7191964917244306,0.7182,SmallMLP-Tanh-SGD-0.1-0
10,0.5304,0.5435,0.7382939595416608,0.7308,SmallMLP-Tanh-SGD-0.1-0
11,0.5259,0.5251,0.7445183194228321,0.7414,SmallMLP-Tanh-SGD-0.1-0
12,0.5319,0.5132,0.7429622294525392,0.7415,SmallMLP-Tanh-SGD-0.1-0
13,0.5293,0.522,0.7384354222662328,0.7383,SmallMLP-Tanh-SGD-0.1-0
14,0.5252,0.5333,0.7438110057999717,0.7409,SmallMLP-Tanh-SGD-0.1-0
15,0.5163,0.532,0.7448012448719762,0.7403,SmallMLP-Tanh-SGD-0.1-0
16,0.5444,0.5358,0.7398500495119535,0.7381,SmallMLP-Tanh-SGD-0.1-0
17,0.5396,0.525,0.7459329466685528,0.7415,SmallMLP-Tanh-SGD-0.1-0
18,0.5277,0.5153,0.7464987975668411,0.7445,SmallMLP-Tanh-SGD-0.1-0
19,0.5234,0.5151,0.7479134248125618,0.7458,SmallMLP-Tanh-SGD-0.1-0
20,0.5232,0.5185,0.7402744376856698,0.7403,SmallMLP-Tanh-SGD-0.1-0
21,0.5174,0.5148,0.746215872117697,0.742,SmallMLP-Tanh-SGD-0.1-0
22,0.5211,0.5261,0.7476304993634177,0.7433,SmallMLP-Tanh-SGD-0.1-0
23,0.5166,0.5161,0.7448012448719762,0.7408,SmallMLP-Tanh-SGD-0.1-0
24,0.5134,0.5253,0.746215872117697,0.743,SmallMLP-Tanh-SGD-0.1-0
25,0.5124,0.515,0.7409817513085302,0.7408,SmallMLP-Tanh-SGD-0.1-0
26,0.5173,0.526,0.7490451266091385,0.7453,SmallMLP-Tanh-SGD-0.1-0
27,0.5255,0.5203,0.7479134248125618,0.7467,SmallMLP-Tanh-SGD-0.1-0
28,0.5208,0.5141,0.7474890366388457,0.7435,SmallMLP-Tanh-SGD-0.1-0
29,0.5207,0.521,0.7385768849908049,0.7292,SmallMLP-Tanh-SGD-0.1-0
30,0.5254,0.5146,0.7464987975668411,0.7421,SmallMLP-Tanh-SGD-0.1-0
31,0.5198,0.5146,0.7473475739142736,0.7451,SmallMLP-Tanh-SGD-0.1-0
32,0.5147,0.5123,0.7493280520582827,0.7482,SmallMLP-Tanh-SGD-0.1-0
33,0.5164,0.5359,0.7289574197199038,0.7287,SmallMLP-Tanh-SGD-0.1-0
34,0.5114,0.5282,0.7223086716650162,0.7204,SmallMLP-Tanh-SGD-0.1-0
35,0.5181,0.5098,0.7470646484651294,0.7462,SmallMLP-Tanh-SGD-0.1-0
36,0.5109,0.5583,0.6978356203140472,0.6899,SmallMLP-Tanh-SGD-0.1-0
37,0.5163,0.5171,0.7467817230159853,0.7433,SmallMLP-Tanh-SGD-0.1-0
38,0.5136,0.5132,0.7472061111897015,0.7468,SmallMLP-Tanh-SGD-0.1-0
39,0.5132,0.5262,0.7467817230159853,0.7443,SmallMLP-Tanh-SGD-0.1-0
40,0.5224,0.5175,0.7436695430753997,0.7434,SmallMLP-Tanh-SGD-0.1-0
41,0.5173,0.5602,0.731220823313057,0.7305,SmallMLP-Tanh-SGD-0.1-0
42,0.5167,0.5105,0.7473475739142736,0.7443,SmallMLP-Tanh-SGD-0.1-0
43,0.5127,0.5208,0.7336256896307823,0.7333,SmallMLP-Tanh-SGD-0.1-0
44,0.5099,0.5195,0.742537841278823,0.738,SmallMLP-Tanh-SGD-0.1-0
45,0.5173,0.5249,0.7361720186730797,0.7361,SmallMLP-Tanh-SGD-0.1-0
46,0.5134,0.5165,0.7438110057999717,0.7378,SmallMLP-Tanh-SGD-0.1-0
47,0.5146,0.5129,0.7490451266091385,0.7484,SmallMLP-Tanh-SGD-0.1-0
48,0.5135,0.5384,0.7290988824444758,0.716,SmallMLP-Tanh-SGD-0.1-0
49,0.5164,0.5148,0.7448012448719762,0.7446,SmallMLP-Tanh-SGD-0.1-0
50,0.5123,0.5227,0.7445183194228321,0.7393,SmallMLP-Tanh-SGD-0.1-0
51,0.5128,0.5172,0.7439524685245438,0.7398,SmallMLP-Tanh-SGD-0.1-0
52,0.5158,0.5337,0.7438110057999717,0.7365,SmallMLP-Tanh-SGD-0.1-0
53,0.5115,0.5151,0.7474890366388457,0.7447,SmallMLP-Tanh-SGD-0.1-0
54,0.5146,0.5235,0.7450841703211204,0.7396,SmallMLP-Tanh-SGD-0.1-0
55,0.5169,0.5129,0.7487622011599944,0.7467,SmallMLP-Tanh-SGD-0.1-0
56,0.5122,0.5125,0.7445183194228321,0.739,SmallMLP-Tanh-SGD-0.1-0
57,0.5103,0.5215,0.7350403168765031,0.7349,SmallMLP-Tanh-SGD-0.1-0
58,0.5141,0.5293,0.7432451549016834,0.7381,SmallMLP-Tanh-SGD-0.1-0
59,0.5117,0.5187,0.7384354222662328,0.7373,SmallMLP-Tanh-SGD-0.1-0
60,0.5073,0.5271,0.7421134531051068,0.7362,SmallMLP-Tanh-SGD-0.1-0
61,0.5169,0.5131,0.7431036921771114,0.742,SmallMLP-Tanh-SGD-0.1-0
62,0.5189,0.5282,0.7343330032536427,0.7335,SmallMLP-Tanh-SGD-0.1-0
63,0.51,0.528,0.7285330315461875,0.7278,SmallMLP-Tanh-SGD-0.1-0
